SampleNumber,ProductionArea,BedId,LocalAuthority,GridReference,SamplingPoint,DateSampleCollected,DateSampleArrivedAtWeymouth,SpeciesSampled,PSP_HPLC_Result_PS_NG,PSPMBAResultMBA1,PSPMBAResultMBA2,PSPAverageMBAResult,DSPResultPositive,DSPResultNegative,DomoicAcid,ActionRequired,SampleNumber2
BTX/2006/1983,Silloth,B059H,Allerdale DC,NY11005430,Silloth,2006-10-30,2006-10-31,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/1983
BTX/2006/1984,Swale,B076F,Swale BC,TR04206510,River Swale #6,2006-10-30,2006-10-31,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/1984
BTX/2006/1985,Lune,B066A,Lancaster CC,SD42305430,Plover Scar,2006-10-30,2006-10-31,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/1985
BTX/2006/1986,Portsmouth Harbour,B020B,Portsmouth PHA,SU60290411,Peewit Island W,2006-10-30,2006-10-31,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/1986
BTX/2006/1987,Langstone Harbour,B019A,Portsmouth PHA,SU70600391,Main Channel,2006-10-30,2006-10-31,Native Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/1987
BTX/2006/1988,The Solent,B024Q,Portsmouth PHA,SZ63499696,Spit Bank,2006-10-30,2006-10-31,Native Oysters,Insufficient,,,,,NEGATIVE,<RL,,BTX/2006/1988
BTX/2006/1989,North Kent Coast,B17AM,Canterbury CC,TR08206690,Pollard,2006-10-30,2006-10-31,Pacific Oysters,NG,,,,,NEGATIVE,<RL,,BTX/2006/1989
BTX/2006/1990,North Kent Coast,B17BL,Canterbury CC,TR08206690,Pollard,2006-10-30,2006-10-31,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/1990
BTX/2006/1991,The Wash,,Kings Lynn & W Norfolk BC,,Zone 4,2006-10-30,2006-10-31,Cockles,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2006/1991
BTX/2006/1992,Burry Inlet,B038U,Carmarthenshire CC,SS51409720,Penrhyn Gwyn,2006-10-30,2006-10-31,Cockles,,,,,,,<RL,,BTX/2006/1992
BTX/2006/1994,Brixham,B082A,Torbay BC,SX91125735,Fishcombe Cove,2006-10-31,2006-11-01,Mussels,PS,ND,ND,ND,,NEGATIVE,<RL,,BTX/2006/1994
BTX/2006/1995,Poole,B54BF,Poole BC,SZ09119017,Bournemouth Pier,2006-10-31,2006-11-01,Mussels,NG,,,,,NEGATIVE,<RL,,BTX/2006/1995
BTX/2006/1996,Poole,B054P,Poole BC,SY99538768,Hamworthy,2006-10-31,2006-11-01,Mussels,NG,,,,Insufficient,,<RL,,BTX/2006/1996
