Commoditygroups,DeclarationDate,YearofDeclaration,QuarterofDeclaration,MonthofDeclaration,DayofDeclaration,DecisionControlDateMonth,CountryofOrigin,ArrivalatDPE,Forimport,CommodityCode,Descriptionofcommodity,Producttemperature,Commodityintendedfor,Documentarycheck,AcceptableforTransfer,NotAcceptable,IdentityCheck,PhysicalCheck,LaboratoryTests,TestedFor,Results,Acceptableforreleaseforfreecirculation,NotAcceptable2,ReasonforRefusal,DPEName,NoOfConsignments,NetWeightKg
Other/Miscellaneous edible preparations,2020-02-07,2020,Q1,2,7,2020-03-06,Japan,2020-02-29,For import,21069092,"Containing no milkfats, sucrose, isoglucose, glucose or starch or containing, by weight, less than 1,5|% milkfat, 5|% sucrose or isoglucose, 5|% glucose or starch",Chilled,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Southampton, P",1,17
"Other/Preparations of cereals, flour, starch or milk",2020-02-06,2020,Q1,2,6,2020-03-02,China,2020-02-09,For import,19023090,Other,Frozen,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,3400
"Other/Preparations of cereals, flour, starch or milk",2020-02-07,2020,Q1,2,7,2020-03-02,China,2020-02-10,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,4320
"Other/Preparations of cereals, flour, starch or milk",2020-02-07,2020,Q1,2,7,2020-03-02,China,2020-02-10,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,4500
"Other/Preparations of cereals, flour, starch or milk",2020-02-07,2020,Q1,2,7,2020-03-02,China,2020-02-10,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,1440
"Other/Preparations of cereals, flour, starch or milk",2020-02-07,2020,Q1,2,7,2020-03-03,China,2020-02-10,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,5760
"Other/Preparations of cereals, flour, starch or milk",2020-02-07,2020,Q1,2,7,2020-03-03,China,2020-02-10,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,GM rice,Satisfactory,Human consumption,-,-,"Southampton, P",1,6300
"Other/Preparations of cereals, flour, starch or milk",2020-02-10,2020,Q1,2,10,2020-03-11,China,2020-02-16,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Unauthorised GMO,Satisfactory,Human consumption,-,-,Liverpool,1,16189
"Other/Preparations of cereals, flour, starch or milk",2020-02-17,2020,Q1,2,17,2020-03-16,China,2020-02-23,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Unauthorised GMO,Satisfactory,Human consumption,-,-,Liverpool,1,16200
"Other/Preparations of cereals, flour, starch or milk",2020-02-17,2020,Q1,2,17,2020-03-17,China,2020-02-23,For import,19023090,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Unauthorised GMO,Satisfactory,Human consumption,-,-,Liverpool,1,16200
"Other/Preparations of vegetables, fruit, nuts",2020-02-07,2020,Q1,2,7,2020-03-20,Turkey,,For import,20079997,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B1,Satisfactory,Human consumption,-,-,Heathrow,1,150
"Other/Preparations of vegetables, fruit, nuts",2020-02-07,2020,Q1,2,7,2020-03-20,Turkey,,For import,20079997,Other,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,Heathrow,1,150
"Other/Preparations of vegetables, fruit, nuts",2020-02-14,2020,Q1,2,14,2020-03-03,Turkey,2020-02-23,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,"Felixstowe, P",1,9750
"Other/Preparations of vegetables, fruit, nuts",2020-02-14,2020,Q1,2,14,2020-03-03,Argentina,2020-03-06,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22100
"Other/Preparations of vegetables, fruit, nuts",2020-02-14,2020,Q1,2,14,2020-03-04,Turkey,2020-02-23,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,15000
"Other/Preparations of vegetables, fruit, nuts",2020-02-14,2020,Q1,2,14,2020-03-04,Turkey,2020-02-23,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,15000
"Other/Preparations of vegetables, fruit, nuts",2020-02-17,2020,Q1,2,17,2020-03-04,Turkey,2020-02-23,For import,2008191930,Hazelnuts,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,"Felixstowe, P",1,15000
"Other/Preparations of vegetables, fruit, nuts",2020-02-27,2020,Q1,2,27,2020-03-13,Argentina,2020-03-01,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B1,Satisfactory,Human consumption,-,-,London Gateway,1,22100
"Other/Preparations of vegetables, fruit, nuts",2020-02-27,2020,Q1,2,27,2020-03-13,Argentina,2020-03-01,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,London Gateway,1,22100
"Other/Preparations of vegetables, fruit, nuts",2020-02-27,2020,Q1,2,27,2020-03-13,Argentina,2020-03-01,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B1,Satisfactory,Human consumption,-,-,London Gateway,1,22240
"Other/Preparations of vegetables, fruit, nuts",2020-02-27,2020,Q1,2,27,2020-03-13,Argentina,2020-03-01,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,London Gateway,1,22240
"Other/Preparations of vegetables, fruit, nuts",2020-02-27,2020,Q1,2,27,2020-03-13,Argentina,2020-03-01,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxin B1,Satisfactory,Human consumption,-,-,London Gateway,1,22260
"Other/Preparations of vegetables, fruit, nuts",2020-02-27,2020,Q1,2,27,2020-03-13,Argentina,2020-03-01,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,London Gateway,1,22260
"Other/Preparations of vegetables, fruit, nuts",2020-03-09,2020,Q1,3,9,2020-03-10,Argentina,2020-03-13,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22240
"Other/Preparations of vegetables, fruit, nuts",2020-03-09,2020,Q1,3,9,2020-03-10,Argentina,2020-03-13,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22080
"Other/Preparations of vegetables, fruit, nuts",2020-03-09,2020,Q1,3,9,2020-03-10,Argentina,2020-03-13,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,21960
"Other/Preparations of vegetables, fruit, nuts",2020-03-09,2020,Q1,3,9,2020-03-10,Argentina,2020-03-13,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22240
"Other/Preparations of vegetables, fruit, nuts",2020-03-09,2020,Q1,3,9,2020-03-10,Argentina,2020-03-13,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22080
"Other/Preparations of vegetables, fruit, nuts",2020-03-09,2020,Q1,3,9,2020-03-10,Argentina,2020-03-13,For import,20081191,In immediate packings of a net content exceeding 1|kg,Ambient,Human consumption,Satisfactory,-,-,/,/,no,-,-,Human consumption,-,-,London Gateway,1,22140
Other/Sugars and sugar confectionery,2019-12-17,2019,Q4,12,17,2020-03-03,China,2019-12-21,For import,17049099,Other,Ambient,Human consumption,Not satisfactory,-,Destruction,/,/,no,-,-,-,-,-, ,1,90
"Vegetable products/Coffee, tea, mate and spices",2020-02-28,2020,Q1,2,28,2020-03-07,India,2020-02-25,For import,904219020,Peppers (sweet or other than sweet) (Capsicum spp.),Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,London Gateway,1,500
Vegetable products/Edible fruits and nuts,2020-02-12,2020,Q1,2,12,2020-03-09,Turkey,2020-02-19,For import,8062030,Sultanas,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Ochratoxin A,Satisfactory,Human consumption,-,-,Liverpool,1,21000
Vegetable products/Edible fruits and nuts,2020-02-13,2020,Q1,2,13,2020-03-07,Turkey,2020-02-06,For import,8042090,Dried,Ambient,Human consumption,Satisfactory,-,-,Satisfactory,Satisfactory,yes,Aflatoxins,Satisfactory,Human consumption,-,-,London Gateway,1,21000
