TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
01/02/2024,THE LAW SOCIETY,1314.00,000011361880307
02/02/2024,EPC The Hawkhills,1052.40,000009505197602
02/02/2024,CHARTERED INSTITUTE OF,766.80,000009505197604
06/02/2024,CJS (UK MANAGEMENT),696.00,000009517958598
07/02/2024,ELECTRIC IRELAND,739.68,000009523266776
09/02/2024,EPC The Hawkhills,720.00,000009537365418
09/02/2024,EPC The Hawkhills,720.00,000009537365410
12/02/2024,LEATHERHEAD RESEARCH L,2460.00,000009545040396
12/02/2024,WWW.THEHUBEVENTS.COM,708.00,000009545040398
13/02/2024,PAYPAL  INVESTIGATO,1079.94,000009549317326
13/02/2024,1PP EDUCATION LTD,600.00,000009549038440
14/02/2024,WWW.IOIC.ORG.UK,780.00,000009554642174
15/02/2024,Amazon.co.uk P30O16NL5,814.77,000009560151696
19/02/2024,DETECTAMET,767.04,000011376535739
28/02/2024,WWW.COVENTRYUNIVERSITY,795.00,000011419990831
28/02/2024,WWW.COVENTRYUNIVERSITY,795.00,000011419990835
28/02/2024,WWW.COVENTRYUNIVERSITY,795.00,000011419990833
29/02/2024,Topup240229T1135,2238.00,000011426073263
