TransactionDate,MerchantName,TransactionAmount,ReferenceNumber
01/09/2023,BCVA LTD,2090,000011124133629
03/09/2023,AWS EMEA,1147.38,000011123291911
04/09/2023,BT BUSINESS BILL,820,000011129721521
05/09/2023,GUARDIAN NEWS & MEDIA,1170,000011132897345
06/09/2023,Parallel Project Train,1920,000011137530863
12/09/2023,WWW.ANAPHYLAXIS.ORG.UK,1140,000009099459590
12/09/2023,WWW.ETHNICJOBSITE.CO.U,720,000009099459578
13/09/2023,WWW.RADIOTAXIS-SOUTHAM,680,000009105754136
14/09/2023,ELECTRIC IRELAND,520.85,000009112212240
19/09/2023,WWW.ZINGEVENTS.CO.UK,2854.32,000009133614900
20/09/2023,CHARTERED INSTITUTE OF,1560,000009138835452
20/09/2023,SurveyMonkeyCore,1188,000009138835460
25/09/2023,FACEBK YTYDDSXM92,505.01,000011165916231
26/09/2023,Cellebrite UK Limited,2688,000011170853979
26/09/2023,CJS (UK MANAGEMENT),1980,000011170853989
27/09/2023,Restaurant AO,1063.12,000011176939331
28/09/2023,COPYRIGHT CLEARANCE,2520,000011182681949
29/09/2023,UNITED NATIONS,1690.69,000011191124303
