ArrivalAtBip,CountryOfOriginName,CountryFromWhereConsigned,BCPName,CommodityCode,CommodityGroups,CommodityDescription,SpeciesNomination,GrossWeightKg,NetWeightKg,NumberOfPackages,Temperature,ForInternalMarket,DocumentaryCheck,IdentityCheckType,IdentityCheckResult,PhysicalCheck,PhysicalCheckDone,PhysicalCheckNotDone,LabTestDate,LabTestName,LabTestResult
01/12/2021,Bangladesh,Bangladesh,Felixstowe,3061792,Fish & fish products,Shrimps of the genus Penaeus,Penaeus monodon,20034,11130,2650,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
01/12/2021,Australia,Australia,London Gateway,2044310,Lamb,Of lamb,Ovis aries,12400.11,11782.26,877,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
01/12/2021,Australia,Australia,Felixstowe,2042300,Sheep meat,Boneless,Ovis aries,18507.32,17762,962,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
01/12/2021,Australia,Australia,Felixstowe,2042300,Sheep meat,Boneless,Ovis aries,19699.6,18921.44,1003,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
01/12/2021,Australia,Australia,Felixstowe,2044290,Sheep meat,Other,Ovis aries,16108.9,15803.78,726,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
01/12/2021,Australia,Australia,Felixstowe,2044290,Sheep meat,Other,Ovis aries,16108.9,15803.78,726,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
01/12/2021,Australia,Australia,Felixstowe,20130,Bovine meat and bovine meat products,Boneless,Bos taurus,12010.7,11526.6,639,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
01/12/2021,Vietnam,Vietnam,Felixstowe,16052110,N/A,In immediate packings of a net content not exceeding 2?kg,Penaeus (Litopenaeus) vannamei,20505,14775.28,3190,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
01/12/2021,Vietnam,Vietnam,Felixstowe,16052900,Fish & fish products,Other,Penaeus vannamei,20505,14775.28,3190,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
01/12/2021,New Zealand,New Zealand,Felixstowe,2042300,Sheep meat,Boneless,Ovis aries,8226.18,7815.78,380,chilled,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
01/12/2021,New Zealand,New Zealand,Felixstowe,2042300,Sheep meat,Boneless,Ovis aries,10863.72,10253.92,550,chilled,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
01/12/2021,New Zealand,New Zealand,Felixstowe,2042250,Sheep meat,Legs,Ovis aries,10863.72,10253.92,550,chilled,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
01/12/2021,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,24331.1,23328,36,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
