ArrivalAtBip,CountryOfOriginName,CountryFromWhereConsigned,BCPName,CommodityCode,CommodityGroups,CommodityDescription,SpeciesNomination,GrossWeightKg,NetWeightKg,NumberOfPackages,Temperature,ForInternalMarket,DocumentaryCheck,IdentityCheckType,IdentityCheckResult,PhysicalCheck,PhysicalCheckDone,PhysicalCheckNotDone,LabTestDate,LabTestName,LabTestResult
2021-01-01,Philippines,Philippines,Felixstowe,16041428,Fish & fish products,Other,Katsuwonus (Euthynnus) pelamis,19814.63,15552,2025,ambient,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,2021-01-05,Histamine,satisfactory
2021-01-01,China,China,Felixstowe,3038910,Fish & fish products,Freshwater fish,Tilapia spp,24222,17616,3670,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
2021-01-01,Canada,Canada,Liverpool,3072290,Fish & fish products,Other,Placopecten spp,21901,19910,1991,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-01,Canada,Canada,Liverpool,16052190,Fish & fish products,Other,Pandalus spp,21901,19910,1991,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-01,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,23446,22800,38,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
2021-01-01,Ecuador,Ecuador,Felixstowe,3061792,Fish & fish products,Shrimps of the genus Penaeus,Penaeus (Litopenaeus) vannamei,23400,21600,1800,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,2021-01-06,Chloramphenicol,satisfactory
2021-01-01,Ecuador,Ecuador,Felixstowe,3061792,Fish & fish products,Shrimps of the genus Penaeus,Penaeus (Litopenaeus) vannamei,23400,21600,1800,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,satisfactory,N/A,N/A,2021-01-06,Nitrofurans,satisfactory
2021-01-01,United States,United States,London Gateway,2005,N/A,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen, other than products of heading|2006",N/A,1909.5,1881,5,ambient,HumanConsumption,notsatisfactory,fullidentitycheck,notsatisfactory,notdone,N/A,other,N/A,N/A,N/A
2021-01-01,South Africa,South Africa,London Gateway,1901,Milk,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40|% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of headings|0401|to 0404, not containing cocoa or containing less than 5|% by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included",N/A,237.5,181.8,17,ambient,HumanConsumption,notsatisfactory,fullidentitycheck,notsatisfactory,satisfactory,N/A,N/A,N/A,N/A,N/A
2021-01-01,United States,United States,Grimsby,3049490,Fish & fish products,Other,Theragra chalcogramma,72870.36,68706.33,3060,frozen,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-01,Libya,Libya,Felixstowe,160250,Beef,Of bovine animals,Bos spp,20.5,20,10,ambient,HumanConsumption,notsatisfactory,fullidentitycheck,notsatisfactory,notsatisfactory,N/A,N/A,N/A,N/A,N/A
2021-01-02,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,17523,15930,1593,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,21492.48,19302.4,1856,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,Thailand,Thailand,Felixstowe,160232,Poultry,Of fowls of the species Gallus domesticus,Aves,21492.48,19302.4,1856,frozen,HumanConsumption,satisfactory,sealcheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3074220,Fish & fish products,Loligo spp.,Loligo spp.,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Caranx spp,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Cephalopholis sonnerati,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Epinephelus chlorostigma,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Leiognathus spp,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Lethrinus nebulosus,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Lutjanus sebae,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Nemipterus Japonicus,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Otra pesca,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Parupeneus indicus,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Pinjalo pinjalo,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Scarus ghobban,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Selar crumenophthalmus,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Selaroides leptolepis,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Siganus canaliculatus,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Sphyraena barracuda,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
2021-01-02,India,India,Heathrow,3028990,Fish & fish products,Other,Stolephorus spp,1675,1417,77,chilled,HumanConsumption,satisfactory,fullidentitycheck,satisfactory,notdone,N/A,reducedchecksregime,N/A,N/A,N/A
