"Department, Agency or NDPB",Numbers of exemptions approved and grade for the Period 01/01/12 to 30/09/12,,,,,,
,AA/AO,EO,HEO/SEO,Grade 6/7,SCS level,   Other,TOTAL
DWP Corporate Centre,27,0,2,57,2,0,88
Shared Services,0,0,0,0,0,0,0
Operations,1556,0,16,1,1,0,1574
CMG (now part of DWP),634,0,0,3,3,0,640
HSE,1,2,56,3,2,0,64
The Pensions Regulator,0,0,0,0,0,120,120
NEST/PADA,0,0,0,0,0,42,42
Independent Review Service,0,0,0,0,0,0,0
Remploy Ltd ,0,0,0,0,0,21,21
The Pensions Advisory Service ,0,0,0,0,0,12,12
Pensions Ombudsman ,0,0,2,0,0,1,3
Pensions Protection Fund Ombudsman,0,0,0,0,0,0,0
Pensions Protection Fund,0,0,0,0,0,0,0
Independent Living Fund,0,0,0,0,0,0,0
Disability Living Allowance Advisory Board ,0,0,0,0,0,0,0
Equality 2025 ,0,0,0,0,0,0,0
Industrial Injuries Advisory Council ,0,0,0,0,0,0,0
Social Security Advisory Committee,0,0,0,0,0,0,0
,,,,,,,
,,,,,,,
