Department for Work and Pensions,,,,,
,,,,,
Ministerial Overseas Travel,,,,,
,,,,,
Period : 1 October  – 31 December 2011,,,,,
,,,,,
,,,,,
 Secretary of State for Work and Pensions,,,,,
The Rt Hon Iain Duncan Smith MP ,,,,,
Date(s) of trip,Destination  ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ","Total cost including travel, and accommodation of Minister only"
NIL return,,,,,
,,,,,
Minister of State (Minister for Employment),,,,,
The Rt Hon Chris Grayling MP ,,,,,
Date(s) of trip,Destination  ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ","Total cost including travel, and accommodation of Minister only"
14-Nov,"Geneva, Switzerland",Meeting of the governing body of the International Labour Organisation.,,,£384
30-Nov,Brussels,Launch of Professor Lofstedt report on Health & Safety as commissioned by the Department for Work and Pensions,Eurostar,,£129
,,,,,
Minister of State (Minister for Pensions),,,,,
Steve Webb MP,,,,,
Date(s) of trip,Destination  ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ","Total cost including travel, and accommodation of Minister only"
NIL return,,,,,
,,,,,
Parliamentary Under-Secretary of State (Minister for Disabled People),,,,,
Maria Miller MP ,,,,,
Date(s) of trip,Destination  ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ","Total cost including travel, and accommodation of Minister only"
NIL return,,,,,
,,,,,
,,,,,
Parliamentary Under Secretary of State (Minister for Welfare Reform),,,,,
Lord Freud,,,,,
Date(s) of trip,Destination  ,Purpose of trip,‘No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,"Number of officials accompanying Minister, where non-scheduled travel is used   ","Total cost including travel, and accommodation of Minister only"
NIL return,,,,,
,,,,,
‘* indicates if accompanied by spouse/partner or other family member or friend.,,,,,
