Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy - CCL) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments and notes
,,,Admin officers/admin assistants,,Executive Officers,,Higher Executive Officers/Senior Executive Officers,,Grade 6/7,,Senior Civil Service,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,156,150.4,232,222.9,716,701.2,587,569.5,120,117.5,,,"1,811","1,762",,,21,21,19,19,,,40,40,"1,851","1,802","£6,800,428.70","£24,162.40","£254,788.35","£85,650.58","£1,054,240.70","£561,874.70","£8,781,145.43","£390,261.90","£592,014.08","£982,275.98","£9,763,421.41",
Driving Standards Agency,Executive Agency,Department for Transport,383,327.4,1879,1760.7,262,256.2,53,53,3,3,,,"2,580","2,400",,,,,,,,,0,0,"2,580","2,400","£5,068,246.99","£109,382.37",,"£352,496.49","£934,088.15","£402,276.00","£6,866,490.00",,"£3,905.96","£3,905.96","£6,870,395.96",
Driver & Vehicle Licensing Agency,Executive Agency,Department for Transport,4613,4127.4,939,894,653,642.5,128,123.7,8,8,,,"6,341","5,796",,,2,1.5,17,17,,,16,15.5,"6,357","5,811","£9,761,199.96","£72,631.20","£24,139.60","£306,483.45","£1,742,835.50","£640,842.52","£12,548,132.23","£207,905.85",,"£207,905.85","£12,756,038.08","Includes Shared Services.  For consultancy spend DVLA pay Companies not individuals, it is therefore not appropriate for that expenditure to be included. "
Government Car & Despatch Agency,Executive Agency,Department for Transport,15,15,177,169,15,15,1,1,,,,,208,200,4,4,,,,,,,4,4,212,204,"£450,559.00","£40,159.00",,"£63,699.00","£93,447.00","£43,828.00","£691,692.00","£8,631.00",,"£8,631.00","£700,323.00",
Highways Agency,Executive Agency,Department for Transport,1624,1586.9,356,338.6,1291,1257.5,292,284.3,30,29.1,,,"3,593","3,496",,,,,18,18,,,18,18,"3,611","3,514","£8,022,646.88","£626,883.62","£19,142.83","£68,496.29","£1,589,818.64","£676,958.99","£11,003,947.25","£177,660.24",,"£177,660.24","£11,181,607.49",
Maritime & Coastguard Agency,Executive Agency,Department for Transport,483,451.7,239,232.4,296,276.6,112,110.6,5,4.5,,,"1,135","1,076",9,9,,,,,,,9,9,"1,144","1,085","£2,403,923.02","£219,448.41","£12,625.00","£150,848.84","£497,972.17","£217,247.38","£3,502,064.82","£29,046.90",,"£29,046.90","£3,531,111.72",
Vehicle Certification Agency,Executive Agency,Department for Transport,39,34.6,28,26.9,73,70.8,9,9,1,1,,,150,142,3,3,,,,,,,3,3,153,145,"£415,469.19","£17,027.47",,"£5,895.56","£72,360.81","£73,492.44","£584,245.47","£17,166.45",,"£17,166.45","£601,411.92",
Vehicle & Operator Services Agency,Executive Agency,Department for Transport,1035,972.9,845,832.9,361,357,35,34.9,3,3,,,"2,279","2,201",60,59.2,,,2,1.6,,,62,60.8,"2,341","2,262","£4,547,238.33","£312,274.38","£8,750.00","£161,654.57","£901,207.67","£374,500.53","£6,305,625.48","£122,349.67","£20,792.00","£143,141.67","£6,448,767.15",Consultancy spend to DfTc for IHAC services
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,1,1,6,5.5,1,1,2,2,,,10,10,,,,,1,1,,,1,1,11,11,"£33,966.00","£3,418.00","£2,000.00",£413.00,"£4,344.00","£3,580.00","£47,721.00","£4,800.00","£9,418.00","£14,218.00","£57,139.00",
Directly Operated Railways Ltd,Executive Non-Departmental Public Body,Department for Transport,,,,,,,,,,,5,2.8,5,3,,,,,2,1.05,,,2,1.05,7,4,"£25,750.00",,"£16,250.00",,"£4,061.67","£5,700.05","£51,761.72","£15,350.00",,"£15,350.00","£67,111.72",
High Speed 2,Executive Non-Departmental Public Body,Department for Transport,7,7,4,4,9,8.9,25,24.6,4,3.9,2,2,51,50,13,13,10,9.8,6,5.9,0,0,29,28.7,80,79,"£244,846.25","£1,252.50","£16,500.00","£3,005.20","£31,388.30","£29,757.30","£326,749.55","£165,882.71",,"£165,882.71","£492,632.26","For consultancy spend HS2 pay Companies not individuals, it is therefore not appropriate for that expenditure to be included. "
Northern Lighthouse Board,Executive Non-Departmental Public Body,Department for Transport,30,11,22,22,75,74.7,15,14.8,4,4,72,66.6,218,193,,,,,4,1.3,,,4,1.3,222,194,"£537,733.97","£9,489.62",,"£22,617.86","£2,958.94","£47,664.39","£620,464.78","£7,855.00",,"£7,855.00","£628,319.78",
Passenger Focus,Executive Non-Departmental Public Body,Department for Transport,2,2,11,10.8,13,13,12,12,3,3,,,41,41,1,1,1,0.4,3,0.7,,,5,2.1,46,43,"£143,726.00",£374.00,,£89.00,"£27,016.00","£14,831.00","£186,036.00","£7,928.93",,"£7,928.93","£193,964.93",
Railway Heritage Committee,Executive Non-Departmental Public Body,Department for Transport,,,,,,,1,1,,,,,1,1,,,,,,,,,0,0,1,1,,,,,,,£0.00,,,£0.00,£0.00,"The salary of the RHC's one employee is paid by BRB (Residuary) Ltd, and should therefore be accounted for in the BRBR return."
Trinity House,Executive Non-Departmental Public Body,Department for Transport,,,,,,,,,,,316,309,316,309,5,5,0,0,0,0,0,0,5,5,321,314,"£841,878.88","£16,759.42",,"£17,599.15",£189.77,"£80,835.27","£957,262.49",,,£0.00,"£957,262.49",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
