Minister,Date,Name of External Organisation,Purpose of meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-13,Sydney and London Properties,To discuss high speed rail
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-13,Confederation of British Industry,To discuss high speed rail
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-13,Costain PLC,To discuss transport technology and innovation
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-13,Eurostar International Ltd,Introductory meeting with the new Chairman
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-13,British Cycling,To discuss cycling
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Oct-13,Greater Manchester Chamber of Commerce,To discuss high speed rail
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-13,East Midlands Trains,To discuss rail
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-13,Birmingham Chamber of Commerce,To discuss high speed rail
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-13,Country Land and Business Association,To discuss high speed rail
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-13,P&O Cruises,To discuss maritime issues
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-13,BMW,Launch of the new mini
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-13,Network Rail,To discuss rail
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-13,Bombardier,To discuss rail and aviation
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-13,Alstom,To discuss rail
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Nov-13,Airbus,To discuss aviation
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-13,Delta Rail,To discuss rail
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-13,Campaign for Better Transport,To discuss various transport issues
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-13,Laing O’Rourke,Visit of manufacturing facility
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-13,Newlife Foundation,To discuss specialist safety equipment
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-13,First Group,To discuss rail
Minister of State for Transport - Baroness Kramer,Oct-13,Alec Shelbrooke MP and Cllr Stewart Golton,Discuss HS2
Minister of State for Transport - Baroness Kramer,Oct-13,Liberal Youth,Buses
Minister of State for Transport - Baroness Kramer,Nov-13,Royal National Institute for the Blind,Disability Awareness
Minister of State for Transport - Baroness Kramer,Nov-13,National Federation for the Blind,Shared Spaces
Minister of State for Transport - Baroness Kramer,Nov-13,Canal and River Trust,HS2
Minister of State for Transport - Baroness Kramer,Nov-13,Canadian Minister for Natural Resources,Fuel and energy issues
Minister of State for Transport - Baroness Kramer,Nov-13,Sir Richard Leese,Rail
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Oct-13,UKL Tar sands Network,Discussion on tar sands extraction
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Oct-13,British Cycling,Discussion on cycling
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Oct-13,Association of British Insurance,Discussion on young drivers
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Nov-13,Malcolm Harbour MEP,"Discussion on E-call, roadworthiness testing and historic vehicles"
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Nov-13,Sustrans,Roundtable meeting on cycling
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Nov-13,Bicycle Association,Roundtable meeting on cycling
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Nov-13,Cyclists Tourist Club,Roundtable meeting on cycling
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Nov-13,Passenger Transport Executive Group,Roundtable meeting on cycling
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Nov-13,British Cycling,Roundtable meeting on cycling
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Nov-13,Transport for Greater Manchester,Roundtable meeting on cycling
Parliamentary Under Secretary of State for Transport - Robert Goodwill MP,Nov-13,AA,Roundtable meeting on cycling
