Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode
Department for Transport,Department for Transport,02/10/2017,Agency Staff Costs,Local,BROOK STREET (UK) LIMITED,2000011444,517.9,Agency staff,AL1 4JB
Department for Transport,Department for Transport,02/10/2017,Corporate Clothing,Air Accident Investigation Branch,BURLINGTON UNIFORMS LTD,2000011429,661.62,BURLINGTON UNIFORMS BRANCH CLOTHING,EN3 7PX
Department for Transport,Department for Transport,02/10/2017,Other Professional F,Group Human Resources,Arvato Ltd,2000011456,775,#,HU10 6DN
Department for Transport,Department for Transport,02/10/2017,Other Professional F,Group Human Resources,Arvato Ltd,2000011456,775,#,HU10 6DN
Department for Transport,Department for Transport,02/10/2017,Training,Air Accident Investigation Branch,TRANSAIR (UK) LTD,2000011443,796.84,TRANSAIR TRAINING EQUIPMENT RC 120917,BN43 5PA
Department for Transport,Department for Transport,02/10/2017,Support Services,Regional Transport Strategies,Communities & Local Government,2000011471,807.19,#,SW1P 4DF
Department for Transport,Department for Transport,02/10/2017,Other Professional F,Group Finance,Arvato Ltd,2000011456,1366,#,HU10 6DN
Department for Transport,Department for Transport,02/10/2017,Contract Cleaning,DG_IS - Rail Accident Investigation Branch,OFFICE CARE LTD,2000011451,1449.93,#,DE24 8AN
Department for Transport,Department for Transport,02/10/2017,Other Professional F,Group Human Resources,Arvato Ltd,2000011456,1530,#,HU10 6DN
Department for Transport,Department for Transport,02/10/2017,Other Professional F,Group Finance,Arvato Ltd,2000011456,1650,#,HU10 6DN
Department for Transport,Department for Transport,02/10/2017,Other Professional F,Group Finance,Arvato Ltd,2000011456,1822,#,HU10 6DN
Department for Transport,Department for Transport,02/10/2017,Rates,Air Accident Investigation Branch,VODAFONE LTD,2000011445,1845.18,VODAFONE 99 MOBILES AAIB AUGUST 2017,RG14 5FF
Department for Transport,Department for Transport,02/10/2017,Telephone charges,Air Accident Investigation Branch,VODAFONE LTD,2000011445,1845.18,VODAFONE 99 MOBILES AAIB AUGUST 2017,RG14 5FF
Department for Transport,Department for Transport,02/10/2017,Security,Group Human Resources,HM REVENUE & CUSTOMS,2000011434,2125,#,BN12 4XH
Department for Transport,Department for Transport,02/10/2017,Contract Cleaning,Air Accident Investigation Branch,Interserve,2000011452,2213.99,#,B70 1DA
Department for Transport,Department for Transport,02/10/2017,Security,Air Accident Investigation Branch,Interserve,2000011452,2213.99,#,B70 1DA
Department for Transport,Department for Transport,02/10/2017,Storage & Distributi,Group Communications,Williams Lea,2000011453,2219.46,#,NR3 1PD
Department for Transport,Department for Transport,02/10/2017,Agency Staff Costs,Group Finance,CAPITA BUSINESS SERVICES LTD,2000011432,2282.46,#,DL1 9HN
Department for Transport,Department for Transport,02/10/2017,IT Consultancy,Group Commercial Services,Zoho Corporation PVT Limited,2000011469,2446,#,603 202
Department for Transport,Department for Transport,02/10/2017,Subscriptions to Pro,Group Assurance,Association for Project Management,1500000016,2626,DfT corporate membership for Association of Project Management,HP27 9LE
Department for Transport,Department for Transport,02/10/2017,Agency Staff Costs,Group Finance,CAPITA BUSINESS SERVICES LTD,2000011432,2646.12,#,DL1 9HN
Department for Transport,Department for Transport,02/10/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000011432,2996.88,#,DL1 9HN
Department for Transport,Department for Transport,02/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000011432,3232.27,#,DL1 9HN
Department for Transport,Department for Transport,02/10/2017,Transport  Consult,DG_RAIL - Network Services,STEER DAVIES & GLEAVE LTD,2000011441,3366,Technical advice,SE1 9PD
Department for Transport,Department for Transport,02/10/2017,Training,Local,EML Learning Ltd,2000011454,4900,Training,LS1 9PX
Department for Transport,Department for Transport,02/10/2017,Agency Staff Costs,DG_Rail - Passenger Services,CAPITA BUSINESS SERVICES LTD,2000011432,5353.2,Interim resource,DL1 9HN
Department for Transport,Department for Transport,02/10/2017,Support Services,Corporate Finance,Department of Health,2000011449,6691.28,#,LS2 7UE
Department for Transport,Department for Transport,02/10/2017,Transport  Consult,DG_RAIL - Network Services,STEER DAVIES & GLEAVE LTD,2000011441,8354,Technical advice,SE1 9PD
Department for Transport,Department for Transport,02/10/2017,Other Professional F,Group Finance,Arvato Ltd,2000011456,9890.5,#,HU10 6DN
Department for Transport,Department for Transport,02/10/2017,Agency Staff Costs,Group Commercial Services,CAPITA BUSINESS SERVICES LTD,2000011432,10574.28,#,DL1 9HN
Department for Transport,Department for Transport,02/10/2017,Property Maintenance,Air Accident Investigation Branch,Interserve,2000011452,10769.57,#,B70 1DA
Department for Transport,Department for Transport,02/10/2017,Transport  Consult,DG_Rail - Passenger Services,STEER DAVIES & GLEAVE LTD,2000011441,20157.91,#,SE1 9PD
Department for Transport,Department for Transport,02/10/2017,Other Professional F,Group Finance,Arvato Ltd,2000011456,20732,#,HU10 6DN
Department for Transport,Department for Transport,02/10/2017,Agency Staff Costs,DG_RAIL - Network Services,CAPITA BUSINESS SERVICES LTD,2000011432,25815.17,Interim resource,DL1 9HN
Department for Transport,Department for Transport,02/10/2017,Transport  Consult,DG_RAIL - Network Services,ATKINS LTD (TRANSPORT PLANNING),2000011433,28044.37,Transport consultancy,WR5 1TX
Department for Transport,Department for Transport,02/10/2017,Financial Consultanc,Major Projects,Gutteridge Haskins & Davey Ltd,2000011463,32163.75,Financial consultancy,EC4A 1BR
Department for Transport,Department for Transport,02/10/2017,Transport  Consult,DG_Rail - Passenger Services,Mott MacDonald Limited,2000011438,97467.16,#,CR0 2EE
Department for Transport,Department for Transport,02/10/2017,Transport  Consult,Major Projects,JACOBS UK LTD,2000011435,119132.7,Project representative fees,G2 7HX
Department for Transport,Department for Transport,02/10/2017,Transport  Consult,HSR Programme and Funding,KPMG,2000011436,182609.86,#,WD17 1DE
Department for Transport,Department for Transport,02/10/2017,Support Services,Aviation,NATIONAL AIR TRAFFIC SERV (ENROUTE),2000011446,199483,#,EH4 1PU
Department for Transport,Department for Transport,02/10/2017,Transport  Consult,HSR Programme and Funding,KPMG,2000011436,205869.94,#,WD17 1DE
Department for Transport,Department for Transport,03/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",Aero Holdings Limited,2000011565,500,Aero Holdings Jul 17 #500,NG22 9US
Department for Transport,Department for Transport,03/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",BMM Contracts Ltd,2000011563,500,BMM Energy Solutions Jul 17 #500,ML6 8NY
Department for Transport,Department for Transport,03/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",BMM Contracts Ltd,2000011563,500,BMM Energy Solutions Apr 17 #500,ML6 8NY
Department for Transport,Department for Transport,03/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",SP Service Hull Ltd,2000011568,500,SP Service Hull Jul 17 #500,HU12 9SW
Department for Transport,Department for Transport,03/10/2017,IT Equip Cap Cost,Group Commercial Services,INSIGHT DIRECT (UK) LTD,2000011537,537,#,UB8 1PH
Department for Transport,Department for Transport,03/10/2017,Agency Staff Costs,Strategic Roads,BROOK STREET (UK) LIMITED,2000011551,703.04,#,AL1 4JB
Department for Transport,Department for Transport,03/10/2017,Training,DG_RAIL - Rail Corporate Centre,Civil Service College,2000011560,780,#,SW1H 9BU
Department for Transport,Department for Transport,03/10/2017,Printing,Group Human Resources,Williams Lea,2000011555,958.41,#,NR3 1PD
Department for Transport,Department for Transport,03/10/2017,Maintenance Other,Strategic Roads,TDC SYSTEMS LIMITED,2000011548,960,#,BS24 9BP
Department for Transport,Department for Transport,03/10/2017,Cap Grt Pri Sec-Cos.,"Energy, Technology and International",BMM Contracts Ltd,2000011563,1000,BMM Energy Solutions Apr 17 #1000,ML6 8NY
