Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
Department of Health,Leicestershire Partnership NHS Trust,01/10/20,Computer Hardware,City 0 – 19 Central Report,DELL COMPUTERS,7402646680,27081.60
Department of Health,Leicestershire Partnership NHS Trust,01/10/20,Computer Software,Trust Headquarters Admin,SMARTWAY2 LTD,2207,39840.00
Department of Health,Leicestershire Partnership NHS Trust,01/10/20,Other Non-Medical Supplies & Services,Inter Unit I & E Distribution,UHL NHS TRUST (RWE),L0244914,150820.00
Department of Health,Leicestershire Partnership NHS Trust,02/10/20,Rent,NSPCC Training Cente,NSPCC,119015,28752.40
Department of Health,Leicestershire Partnership NHS Trust,02/10/20,BOUGHT IN GPs,Mill Lodge,THE LIMES MEDICAL CTR,54,21136.00
Department of Health,Leicestershire Partnership NHS Trust,02/10/20,BOUGHT IN GPs,Stewart House,THE LIMES MEDICAL CTR,54,24016.00
Department of Health,Leicestershire Partnership NHS Trust,02/10/20,BOUGHT IN GPs,Mill Lodge,THE LIMES MEDICAL CTR,53,21136.00
Department of Health,Leicestershire Partnership NHS Trust,02/10/20,BOUGHT IN GPs,Stewart House,THE LIMES MEDICAL CTR,53,24016.00
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,Nurse - Band 6 -Agency,CAMHS Waiting List Monies,HCL SOCIAL CARE,HWSI0000086,21658.18
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,Nurse - Band 6 -Agency,AMH - Central Access Point,HCL NURSING,HNSI0000499,1634.53
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Acacia (Willows),HCL NURSING,HNSI0000499,207.91
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Adult City East CMHT - Merlyn Vaz,HCL NURSING,HNSI0000499,93.54
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,Nurse - Band 6 -Agency,Adult City East CMHT - Merlyn Vaz,HCL NURSING,HNSI0000499,6037.14
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,Nurse - Band 6 -Agency,Adult County Charnwood CMHT - Loughborough Base,HCL NURSING,HNSI0000499,1069.88
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,Nurse - Band 6 -Agency,Adult County West Leicestershire CMHT,HCL NURSING,HNSI0000499,1069.88
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Agnes Unit Management,HCL NURSING,HNSI0000499,7846.76
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Agnes Unit Management,HCL NURSING,HNSI0000499,4139.34
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Ashby Ward (Bradgate Unit),HCL NURSING,HNSI0000499,704.33
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Aston Ward (Bradgate Unit),HCL NURSING,HNSI0000499,370.38
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Beaumont Ward - Bradgate Unit,HCL NURSING,HNSI0000499,1983.30
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Beaumont Ward - Bradgate Unit,HCL NURSING,HNSI0000499,370.38
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Belvoir Psychiatric Intensive Care Unit,HCL NURSING,HNSI0000499,979.77
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,Nurse - Band 6 -Agency,Crisis Resolution,HCL NURSING,HNSI0000499,3146.50
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Griffin Ward (HPC),HCL NURSING,HNSI0000499,1549.80
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Griffin Ward (HPC),HCL NURSING,HNSI0000499,2168.18
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Heather Ward,HCL NURSING,HNSI0000499,507.80
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Maple Ward,HCL NURSING,HNSI0000499,174.73
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,Nurse - Band 6 -Agency,Mental Health Triage Team,HCL NURSING,HNSI0000499,1418.95
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Mill Lodge,HCL NURSING,HNSI0000499,113.29
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Phoenix Ward (HPC),HCL NURSING,HNSI0000499,1037.24
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Watermead Ward (Bradgate Unit),HCL NURSING,HNSI0000499,174.73
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Watermead Ward (Bradgate Unit),HCL NURSING,HNSI0000499,329.81
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 2 - AGENCY,Beechwood Ward,HCL NURSING,HNSI0000484,1491.21
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,Beechwood Ward,HCL NURSING,HNSI0000484,1236.94
Department of Health,Leicestershire Partnership NHS Trust,05/10/20,NURSE - BAND 5 - AGENCY,City Planned Care - East,HCL NURSING,HNSI0000484,18150.72
