OrganisationLabel,OrganisationURI,PublishedDate,DurationFrom,DurationTo,LatestData,ReportingPeriodType,GeoEntityName,GeoCode,GeoName,GeoURI,Year,Provisional,TotalGDHIPoundsBillion,GDHIPoundsPerHead,GDHIPoundsPerHeadIndex_PercentageOfUK
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:00,2021-01-01T00:00:07,2021-12-31T23:59:59,TRUE,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2021,TRUE,14.585,18995,87.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:01,2021-01-01T00:00:07,2021-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2021,TRUE,1.226,17318,79.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:02,2021-01-01T00:00:07,2021-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2021,TRUE,2.653,18561,85.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:03,2021-01-01T00:00:07,2021-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2021,TRUE,1.606,15693,72.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:04,2021-01-01T00:00:07,2021-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2021,TRUE,2.298,19386,89.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:05,2021-01-01T00:00:07,2021-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,2021,TRUE,1.732,18139,83.7
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:06,2021-01-01T00:00:07,2021-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,2021,TRUE,3.144,21864,100.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:07,2021-01-01T00:00:07,2021-12-31T23:59:59,TRUE,Calendar Year,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,2021,TRUE,1.926,20154,93.0
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:08,2020-01-01T00:00:07,2020-12-31T23:59:59,,Calendar Year,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,2020,,14.524,18952,88.4
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:09,2020-01-01T00:00:07,2020-12-31T23:59:59,,Calendar Year,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,2020,,1.307,18448,86
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:10,2020-01-01T00:00:07,2020-12-31T23:59:59,,Calendar Year,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,2020,,2.678,18853,87.9
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:11,2020-01-01T00:00:07,2020-12-31T23:59:59,,Calendar Year,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,2020,,1.601,16004,74.6
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2023-11-27T00:00:12,2020-01-01T00:00:07,2020-12-31T23:59:59,,Calendar Year,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,2020,,2.282,19312,90.1
