Merchant Category,Supplier,Service,Summary of Purpose of Expenditure,invoice_date,net_amount
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,29/11/2023,-35.64
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,29/11/2023,1295.36
Social Care Services,Rainbow Personnel ISF,Services to People,Care Payments,30/11/2023,-378
Social Care Services,Rainbow Personnel ISF,Services to People,Care Payments,30/11/2023,-503.68
Social Care Services,Rainbow Personnel ISF,Services to People,Care Payments,30/11/2023,-512.6
Social Care Services,Rainbow Personnel ISF,Services to People,Care Payments,30/11/2023,27079.72
Social Care Services,Rainbow Personnel ISF,Services to People,Care Payments,30/11/2023,20309.08
Social Care Services,Rainbow Personnel ISF,Services to People,Care Payments,30/11/2023,15797.88
Social Care Services,Heaton Lodge ISF,Services to People,Care Payments,30/11/2023,-82.36
Social Care Services,Heaton Lodge ISF,Services to People,Care Payments,30/11/2023,2841.6
Social Care Services,Heaton Lodge ISF,Services to People,Care Payments,30/11/2023,2841.6
Social Care Services,Heaton Lodge ISF,Services to People,Care Payments,30/11/2023,2841.6
Social Care Services,Heaton Lodge ISF,Services to People,Care Payments,30/11/2023,2841.6
Social Care Services,L'Arche - Manchester,Services to People,Care Payments,30/11/2023,-129.04
Social Care Services,L'Arche - Manchester,Services to People,Care Payments,30/11/2023,-201.84
Social Care Services,L'Arche - Manchester,Services to People,Care Payments,30/11/2023,5603.92
Social Care Services,L'Arche - Manchester,Services to People,Care Payments,30/11/2023,4829.64
Social Care Services,Eclipse Care Group Ltd,Services to People,Care Payments,30/11/2023,-522.48
Social Care Services,Eclipse Care Group Ltd,Services to People,Care Payments,30/11/2023,11760
Social Care Services,Tender Hands Homecare,Services to People,Care Payments,30/11/2023,-36.49
Social Care Services,Tender Hands Homecare,Services to People,Care Payments,30/11/2023,-36.49
Social Care Services,Tender Hands Homecare,Services to People,Care Payments,30/11/2023,-211.92
Social Care Services,Tender Hands Homecare,Services to People,Care Payments,30/11/2023,5120
Social Care Services,Pear Tree House Care Home,Services to People,Care Payments,30/11/2023,3037.36
Social Care Services,Pear Tree House Care Home,Services to People,Care Payments,30/11/2023,1362.64
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,422
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,397.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-20
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,397.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,397.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,397.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-20
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-20
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-20
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,1575.29
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,1575.29
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,3150.58
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,327.24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,245.43
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,163.62
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/12/2023,60.03
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/12/2023,45.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/12/2023,26.26
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,1575.29
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,81.81
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,40.91
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,22.46
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/12/2023,16.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/12/2023,4.92
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,1575.29
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,81.81
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,40.91
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,22.46
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/12/2023,16.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/12/2023,4.92
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,336.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,336.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/12/2023,29.55
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,469.22
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,461.13
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,33.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,33.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/12/2023,24.39
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/12/2023,10.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Mileage Claims /Allowances,01/12/2023,6.6
Welfare Services,Time Specialist Support,Services to People,Care Payments,01/12/2023,1518
Welfare Services,Time Specialist Support,Services to People,Care Payments,01/12/2023,345
Welfare Services,Time Specialist Support,Services to People,Care Payments,01/12/2023,184
Welfare Services,Time Specialist Support,Services to People,Care Payments,01/12/2023,920
Welfare Services,Time Specialist Support,Services to People,Care Payments,01/12/2023,460
Welfare Services,Time Specialist Support,Services to People,Care Payments,01/12/2023,368
Education Services,Wonder Why Learning,Services to People,Fees and Charges,01/12/2023,1247.02
Education Services,Wonder Why Learning,Services to People,Fees and Charges,01/12/2023,975
Social Care Services,First Steps Together,Services to People,Fees and Charges,01/12/2023,1843.64
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,114.21
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,114.21
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,104.51
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,104.51
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-53.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-63.77
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-62.22
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-62.22
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-62.22
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-62.22
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,251.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,114.21
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,104.51
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,91.89
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,167.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,164.03
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,209.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-19.95
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-19.95
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-19.95
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-19.95
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,167.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-9.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-59.95
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,209.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,209.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,209.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-117.15
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,209.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-51.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-15.9
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,167.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,167.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,209.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,209.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,167.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,167.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,163.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,71.7
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,68
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,209.02
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,1000
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-164.03
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,687.92
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,16.32
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,14.93
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,14.54
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,196.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,78.76
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,-272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,432.82
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,84.27
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,33.72
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,32.84
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,183.78
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,122.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,629.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,155.52
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,135.77
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,101.82
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,97.89
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,272.16
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,237.59
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,228.42
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,50
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,49.98
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,458.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,01/12/2023,458.31
