UID,Council,Contract Status,Classification,Name,STAR Category Manager,Route to Market,Contract Type Detail,Start Date,End Date,Maximum Extension Date,Annual Contract Value (average),Value,Supplier Name,Company Registration Number,Postcode,Supplier Type,Customer Name
4582,Stockport Metropolitan Borough Council,Live (On-going),401409 - Social Community Care Supplies & Services - Children - Specialist Needs - Speech & Language,Valley School / Overdale SLT / OT provision, Rachael Tither,-, Contract,01/09/2018,31/08/2022,-,"£40,955.00","£249,451.50",Speechwise Therapy,10936222,SK5 7DL,-,"SMBC - PPL Education, Work & Skills"
4582,Stockport Metropolitan Borough Council,Live (On-going),401409 - Social Community Care Supplies & Services - Children - Specialist Needs - Speech & Language,Lisburne School SLT, Rachael Tither,-, Contract,01/09/2019,31/08/2021,-,"£50,277.50","£266,440.90",Speechwise Therapy,10936222,SK5 7DL,-,"SMBC - PPL Education, Work & Skills"
4322,Stockport Metropolitan Borough Council,Live (On-going),271200 - Information Communication Technology - Hardware,RFID Kiosks, Samantha Power,Mini Competition (External), Call-off Contract,15/02/2018,14/02/2023,-,"£165,000.00","£165,000.00",Bibliotheca,-,SK8 7BS,-,"Stockport Metropolitan Borough Council, SMBC - Corporate & Support Services, SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT)"
4384,Stockport Metropolitan Borough Council,Live (On-going),271200 - Information Communication Technology - Hardware,Open Library System , Samantha Power,Call Off (External), Contract,21/01/2018,01/02/2023,-,"£9,936.46","£157,825.80",Bibliotheca,-,SK8 7BS,-,"Stockport Metropolitan Borough Council, SMBC - Corporate & Support Services, SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT)"
4479,Stockport Metropolitan Borough Council,Live (On-going),271440 - Information Communication Technology - Software,"LACHS Claim Handling System Update, Support and Maintenance", Andrew Bottomley,-, Contract,30/04/2018,29/04/2024,29/04/2024,"£4,999.00","£31,495.00",JC Applications Developments Ltd,-,GU33 6JS,-,SMBC - CSS Insurance
6108,Stockport Metropolitan Borough Council,Live (On-going),271501 - Information Communication Technology - Services,Revenue and Benefits Enterprise Licence, Samantha Power,-, Call-off Contract,03/08/2018,02/08/2025,-,"£120,000.00","£750,000.00",Civica UK Ltd,-,SW15 6AR,-,SMBC - CSS Revenues & Benefits
6076,Stockport Metropolitan Borough Council,Live (On-going),271440 - Information Communication Technology - Software,Trojan Caspar Money Management Software, Samantha Power,RBS - Low - Quick Quote, Contract,29/05/2018,29/05/2023,-,"£25,000.00","£25,000.00",Trojan Consultants Ltd,1542629,W1U 7EU,-,"Stockport Metropolitan Borough Council, SMBC - Corporate & Support Services, SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT), SMBC - CSS People & Organisational Development"
10936,Stockport Metropolitan Borough Council,Live (On-going),401305 - Social Community Care Supplies & Services - Children - Residential Services - Semi-Independent Living & Leaving Care,2020 North West Regional Supported and Independent Living Services (SAILS) FPS (16+) , Rachael Tither,-, Flexible Purchasing System,01/01/2020,31/12/2029,-,£0.00,£0.00,Various Suppliers,-,Various,-,"SMBC - PPL Adult Social Care, SMBC - PPL Children's Social Care "
4077,Stockport Metropolitan Borough Council,Live (On-going),401303 - Social Community Care Supplies & Services - Children - Residential Services - Foster Care,2018 North West Foster Care FPS , Rachael Tither,-, Flexible Purchasing System,05/04/2018,04/04/2028,-,£0.00,"£16,273,320.00",Various Suppliers,-,Various,-,SMBC - PPL Children's Social Care 
10029,Stockport Metropolitan Borough Council,Live (On-going),401501 - Social Community Care Supplies & Services - Children - Support Services & Advocacy Services,Care Leavers Mentoring and Forum Service , Rachael Tither,-, Contract,01/04/2020,31/03/2025,-,"£47,400.00","£142,200.00",Pure Insight,-,SK7 5ER,-,SMBC - PPL Children's Social Care 
4557,Stockport Metropolitan Borough Council,Live (On-going),321899 - Social Community Care Supplies & Services - Adult - Independent Supported Living - Not Elsewhere Classified,Post 18 Supported Accommodation support , Rachael Tither,-, Contract,02/12/2019,01/12/2022,-,£0.00,"£1,391,120.00",Depaul UK ,-,SE1 4QQ,-,SMBC - PPL Children's Social Care 
3189,Stockport Metropolitan Borough Council,Live (On-going),209999 - Financial Services - Not Elsewhere Classified,Early Payment Scheme - Early payment of suppliers,-,-, Contract,05/04/2019,04/04/2024,-,£0.00,£0.00,Oxygen Finance Ltd,-,B2 5QB,-,SMBC - CSS Accountancy
7900,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Provision of Supported Living Services (5), Shirella Simms,Mini Competition (Internal), Contract,07/01/2019,30/06/2024,30/06/2024,"£2,211,448.17","£11,200,000.00",Possabilities,-,OL10 4SY,-,"Stockport Metropolitan Borough Council, SMBC - PPL Adult Social Care"
1275,Stockport Metropolitan Borough Council,Live (On-going),351000 - Street & Traffic Management - Parking - Car Parks,Redrock Car Park Management, Farooq Rashid,OJEU Tender, Contract,18/01/2016,17/01/2023,17/01/2023,"£400,000.00","£2,800,000.00",National Car Parks Ltd (NCP),-,M4 1AZ,-,SMBC - PLA Public Protection
6350,Stockport Metropolitan Borough Council,Live (On-going),271440 - Information Communication Technology - Software,AGMA Electoral Printing Services , Samantha Power,Call Off (External), Contract,08/01/2019,07/01/2023,07/01/2023,"£36,826.83","£73,653.66",Various Suppliers,-,Various,-,Stockport Metropolitan Borough Council
3516,Stockport Metropolitan Borough Council,Live (On-going),151514 - Healthcare - Public Health - Specialist Services,Toxicology Services Framework ,Gary Lee,-, Framework Agreement,21/01/2019,22/01/2023,-,"£151,000.00","£604,000.00",Sheffield Teaching Hospitals NHS Foundation Trust,-,S10 2JF,-,"SMBC - People, SMBC - PPL Adult Social Care, SMBC - PPL Children's Social Care , SMBC - PPL Education, Work & Skills"
4790,Stockport Metropolitan Borough Council,Live (One Off),310000 - Healthcare,PaSH GM (SHIP) Contract, Peter Walpole,-, Contract,01/07/2017,30/06/2024,-,"£33,596.00","£100,788.00",BHA for Equality,-,M15 4AE,-,"Stockport Metropolitan Borough Council, SMBC - People, SMBC - PPL Adult Social Care, SMBC - PPL Children's Social Care , SMBC - PPL Education, Work & Skills"
4630,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Mental Health Services - Lot 1, Shirella Simms,OJEU Tender (Light Touch), Contract,01/05/2019,31/03/2024,-,"£180,000.00","£540,000.00",Stockport Progress and Recovery Centre (SPARC),-,SK2 6RE,-,SMBC - PPL Adult Social Care
4631,Stockport Metropolitan Borough Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Mental Health Services - Lot 2, Shirella Simms,OJEU Tender (Light Touch), Contract,01/04/2019,31/03/2024,-,"£152,000.00","£456,000.00",Pure Innovations Ltd,-,SK7 5ER,-,SMBC - PPL Adult Social Care
4147,Stockport Metropolitan Borough Council,Live (On-going),271501 - Information Communication Technology - Services,OPENChannel Suite plus OPENPortal (API's), Samantha Power,-, Contract,02/03/2018,01/03/2023,-,"£12,750.00","£63,750.00",Civica UK Ltd,-,SW15 6AR,-,SMBC - Place
4181,Stockport Metropolitan Borough Council,Live (On-going),151000 - Consultancy - Business,Management of Stockport Market, Michael Halsall,RBS - Med/High - Advanced (Open), Contract,01/09/2018,31/12/2023,31/12/2025,"£175,214.00","£876,070.00",Market Place  Management,6253601,OL7 0JG,-,SMBC - Place
5307,Stockport Metropolitan Borough Council,Live (On-going),230000 - Highway Equipment & Materials,Automatic Bollards in Stockport Town Centre, Sarah Keating,Exemption, Contract,10/06/2019,09/06/2024,-,"£8,000.00","£40,421.00",ATG Access Ltd,-,WA11 9TP,-,SMBC - Place
8112,Stockport Metropolitan Borough Council,Live (On-going),270000 - Information Communication Technology,"System for Planning Building Control, Land Charges and Regulatory Services 1", Samantha Power,RBS - Low/Med - Simple (RFQ), Contract,01/04/2020,31/03/2023,31/03/2023,"£30,000.00","£90,000.00",Idox Software,3984070,RG7 4SA,-,"SMBC - Corporate & Support Services, SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT), SMBC - CSS People & Organisational Development, SMBC - CSS Insurance, SMBC - CSS Revenues & Benefits, SMBC - CSS Accountancy, SMBC - PLA Estates & Asset Management"
8342,Stockport Metropolitan Borough Council,Live (On-going),270000 - Information Communication Technology,Asset Management System, Samantha Power,Call Off (External), Contract,20/09/2019,20/09/2023,29/07/2021,"£91,020.00","£391,462.00",Pitney Bowes,-,AL10 9UJ,-,"SMBC - Place, SMBC - Corporate & Support Services, SMBC - CSS Technical (IT)"
9218,Stockport Metropolitan Borough Council,Live (On-going),361300 - Public Transport - Passenger Transport,School Swimming Transport (2020), Jamie Cooper,OJEU Tender, Contract,01/09/2020,,31/08/2024,"£132,732.25","£623,164.00",Belle Vue (Mcr) Ltd,3272014,SK4 5DZ,-,"SMBC - PPL Education, Work & Skills"
8551,Stockport Metropolitan Borough Council,Live (On-going),270000 - Information Communication Technology,Supply of Schools back up system , Samantha Power,Call Off (External), Contract,01/04/2020,31/03/2024,31/03/2023,"£15,834.00","£47,500.00",XMA Ltd,-,HX3 6AQ,-,"SMBC - Corporate & Support Services, SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT), SMBC - CSS People & Organisational Development, SMBC - CSS Insurance, SMBC - CSS Revenues & Benefits, SMBC - CSS Accountancy, SMBC - PLA Estates & Asset Management"
2304,Stockport Metropolitan Borough Council,Live (On-going),271510 - Information Communication Technology - Services - Application Service Provision,Provision of an Education Management Information and Case Management System ,-,-, Contract,01/04/2016,31/03/2025,-,"£108,996.05","£980,964.40",Tribal Education Ltd,-,LA1 1PP,-,"SMBC - Corporate & Support Services, Link4Life"
4556,Stockport Metropolitan Borough Council,Live (On-going),321810 - Social Community Care Supplies & Services - Adult - Independent Supported Living - Extra Care,Extra Care Housing Support Lot 2 (Heald Green), Shirella Simms,Mini Competition (Internal),Please Select,05/11/2020,03/11/2024,-,"£312,678.76","£1,250,715.00",Human Support Group,3513906,M20 3JG,-,"Stockport Metropolitan Borough Council, SMBC - PPL Adult Social Care"
4556,Stockport Metropolitan Borough Council,Live (On-going),321810 - Social Community Care Supplies & Services - Adult - Independent Supported Living - Extra Care,Extra Care Housing Support Lot 4 (Reddish), Shirella Simms,Mini Competition (Internal), Contract,01/11/2019,03/11/2024,-,"£501,599.37","£2,006,398.00",Creative Support,-,SK1 3TS,-,"Stockport Metropolitan Borough Council, SMBC - PPL Adult Social Care"
5191,Stockport Metropolitan Borough Council,Live (On-going),120000 - Cemetery & Crematorium,Framework for Inspections and Repairs to Headstones, Sarah Keating,-, Framework Agreement,02/12/2019,01/12/2022,-,£0.00,£0.00,Memsafe Limited,-,NP12 4AD,-,"SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
5025,Stockport Metropolitan Borough Council,Live (On-going),182012 - Environmental Services - Waste Management - Recycling,Compostable Liners (Caddy Liners), Sarah Keating,Mini Competition (External), Contract,20/01/2020,19/01/2023,19/01/2024,"£245,440.00","£732,230.00",The Compost Bag Company Ltd,4151564,PR26 7PF,-,"SMBC - Place, SMBC - Public Health, SMBC - PLA Highways & Transport, SMBC - PLA Strategic Housing, SMBC - PLA Neighbourhoods, SMBC - PLA Public Protection, SMBC - PLA Culture & Leisure, SMBC - PLA Economy, Work and Skills, SMBC - PLA Development & Regeneration"
8706,Stockport Metropolitan Borough Council,Live (One Off),200000 - Financial Services,Claims Underwriting Claims Provider,Gary Lee,RBS - Low - Quick Quote, Contract,01/10/2020,01/10/2023,01/10/2023,"£3,300.00","£9,900.00",CRIF Decision Solutions Ltd,-,EC2M 1RX,-,"SMBC - Corporate & Support Services, SMBC - CSS Business Support (Commissioning & Contracts), SMBC - CSS Technical (IT), SMBC - CSS People & Organisational Development, SMBC - CSS Insurance, SMBC - CSS Revenues & Benefits, SMBC - CSS Accountancy, SMBC - PLA Estates & Asset Management"
