Supplier Name,Company Registration Number,Supplier Postcode,UID,Council,Contract Status,Classification,Name,Route to Market,Contract Type Detail,Start Date,End Date,Annual Contract Value (average),Value,Customer Name
Public-I-Group Ltd,-,HX1 5DZ,650,Stockport Metropolitan Council,Live (One Off),271501 - Information Communication Technology - Services,Fixed Webcasting Service for Council Meetings 2016,-,Contract,10/10/2016,09/10/2021,"£13,487.00","£72,800.00",ICT
Oxford Innovation Ltd,-,OX1 1BY,908,Stockport Metropolitan Council,Live (One Off),151000 - Consultancy - Business,Service Support for Business Incubator,-,Contract,01/09/2013,20/07/2021,"£260,302.00","£11,925.00",Corporate and Support Services
Together Trust,301722,SK8 1JE,1194,Stockport Metropolitan Council,Live,401409 - Social Community Care Supplies & Services - Children - Specialist Needs - Speech & Language,Enhanced SLT / OT therapy service,-,Contract,01/10/2016,31/08/2021,"£300,000.00","£2,045,308.00","SPEND Hub, Education"
Stockport Homes Ltd,-,SK1 3NQ,1204,Stockport Metropolitan Council,Live (On-going),321000 - Social Community Care Supplies & Services - Adult,Targeted Prevention Alliance,-,Contract,01/08/2020,31/07/2021,"£300,000.00","£9,758,251.00",Adult Social Care
Age UK Stockport,-,SK1 3AQ,1314,Stockport Metropolitan Council,Live,321000 - Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 1 - Wellbeing and Independence at Home,-,Contract,01/10/2015,31/03/2022,"£300,000.00","£1,710,000.00",Adult Social Care
Manchester University Foundation Trust (previously Central Manchester University Hospitals NHS Foundation Trust),-,M13 9WL,3169,Stockport Metropolitan Council,Live (On-going),310000 - Healthcare,"Sexual and Reproductive Health Services for the boroughs of Stockport, Tameside and Trafford",-,Contract,16/09/2016,31/03/2022,"£1,652,313.00","£8,978,322.00","Stockport Metropolitan Borough Council, People"
Various Suppliers,-,Various,3245,Stockport Metropolitan Council,Live,"391111 - Works - Construction, Repair & Maintenance - Buildings - Repair & Maintenance",Associated Building Contractor Framework 1 (Building & Roofing),-,Framework Agreement,01/08/2017,31/07/2021,"£9,000,000.00","£36,000,000.00",People
Sheffield Teaching Hospitals NHS Foundation Trust,-,S10 2JF,3516,Stockport Metropolitan Council,Live (On-going),151514 - Healthcare - Public Health - Specialist Services,Toxicology Services Framework,-,Framework Agreement,21/01/2019,22/01/2023,"£151,000.00","£604,000.00","People, Adult Social Care, Childrens Social Care , Education"
Xerox (UK) Ltd,-,M12 6LB,4017,Stockport Metropolitan Council,Live,271400 - Information Communication Technology - Office & Reprographics Equipment,Multi-functional devices (MFD’s),-,Contract,18/11/2017,17/11/2022,"£215,000.00","£1,075,000.00","Stockport Metropolitan Borough Council, Corporate and Support Services, SPEND Hub, ICT"
Mosaic Event Catering Ltd,-,SK7 3NX,4096,Stockport Metropolitan Council,Live (On-going),111200 - Catering - Food & Beverages,Provision of Catering Services to Stockport Metropolitan Council,-,Contract,01/10/2019,30/09/2022,"£122,202.00","£488,808.00","Corporate and Support Services, SPEND Hub, ICT, HR Services, Insurance, Revenues and Benefits, Accountancy, Estates and Asset Management"
