Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS,Information and Communications Technology,Information Communication Technology  ,27.04.2022,16.05.2022,GPC04220000001,30.00
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS,Information and Communications Technology,Information Communication Technology  ,24.04.2022,16.05.2022,GPC04220000002,23.99
Stockport MBC,Corporate and Support Services,Central Support Costs,MIRO.COM,Information and Communications Technology,Information Communication Technology  ,24.04.2022,16.05.2022,GPC04220000003,231.28
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS,Information and Communications Technology,Information Communication Technology  ,23.04.2022,16.05.2022,GPC04220000004,12.59
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS,Information and Communications Technology,Information Communication Technology  ,19.04.2022,16.05.2022,GPC04220000005,25.18
Stockport MBC,Corporate and Support Services,Central Support Costs,EASILY LTD,Information and Communications Technology,Information Communication Technology  ,15.04.2022,16.05.2022,GPC04220000006,"1,039.94"
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB,Information and Communications Technology,Information Communication Technology  ,14.04.2022,16.05.2022,GPC04220000007,79.00
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,13.04.2022,16.05.2022,GPC04220000008,9.52
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,11.04.2022,16.05.2022,GPC04220000009,377.63
Stockport MBC,Corporate and Support Services,Central Support Costs,ATLASSIAN,Information and Communications Technology,Information Communication Technology  ,08.04.2022,16.05.2022,GPC04220000010,561.04
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS,Information and Communications Technology,Information Communication Technology  ,07.04.2022,16.05.2022,GPC04220000011,6.34
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,05.04.2022,16.05.2022,GPC04220000012,157.29
Stockport MBC,Corporate and Support Services,Central Support Costs,AWS EMEA,Information and Communications Technology,Information Communication Technology  ,03.04.2022,16.05.2022,GPC04220000013,"1,222.89"
Stockport MBC,Corporate and Support Services,Central Services to the public,AMAZON.CO.UK 2P9XW4PB4,COVID SUPPLIES,COVID SUPPLIES,25.04.2022,16.05.2022,GPC04220000014,221.12
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  5WALZDFMG2,Office Expenses,Facilities & Management Services  ,30.04.2022,16.05.2022,GPC04220000015,550.12
Stockport MBC,Corporate and Support Services,Central Support Costs,ENVATO 62232323,Information and Communications Technology,Information Communication Technology  ,28.04.2022,16.05.2022,GPC04220000016,61.28
Stockport MBC,Corporate and Support Services,Central Support Costs,APPLE.COM/BILL,Information and Communications Technology,Information Communication Technology  ,26.04.2022,16.05.2022,GPC04220000017,5.83
