Jun-23,,,,,
,,,,,
Organisation Name,Supplier (Beneficiary),Procurement (Merchant) Category,Purchase Date,Settlement Date,Gross Amount (£)
Stockport MBC,AMAZON.CO.UK WH64U2JU5,DIRECT MARKETING-OTHER DIRECT MARKETERS/NOT ELSEW.,30/06/2023,16.07.2023,18.99
Stockport MBC,NATIONAL EXPRESS LIMIT,BUS LINES,29/06/2023,16.07.2023,12
Stockport MBC,NATIONAL EXPRESS LIMIT,BUS LINES,29/06/2023,16.07.2023,34.8
Stockport MBC,POUNDLAND LTD - 1235,DISCOUNT STORES,29/06/2023,16.07.2023,1.5
Stockport MBC,AMZNMKTPLACE AMAZON.CO,MISCELLANEOUS AND SPECIALTY RETAIL STORES,29/06/2023,16.07.2023,141.64
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",29/06/2023,16.07.2023,37.25
Stockport MBC,ASDA STORES 4840,"GROCERY STORES, SUPERMARKETS",29/06/2023,16.07.2023,50.75
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",29/06/2023,16.07.2023,13
Stockport MBC,WWW.ELKLAN.CO.UK,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,29/06/2023,16.07.2023,25.2
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,29/06/2023,16.07.2023,11.65
Stockport MBC,AMZNMKTPLACE AMAZON.CO,MISCELLANEOUS AND SPECIALTY RETAIL STORES,29/06/2023,16.07.2023,9.59
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,29/06/2023,16.07.2023,16.21
Stockport MBC,ASDA GROCERIES ONLINE,"GROCERY STORES, SUPERMARKETS",29/06/2023,16.07.2023,125.54
Stockport MBC,CO-OP GROUP 108689,"GROCERY STORES, SUPERMARKETS",29/06/2023,16.07.2023,0.95
Stockport MBC,ASDA GROCERIES ONLINE,"GROCERY STORES, SUPERMARKETS",29/06/2023,16.07.2023,-1.19
Stockport MBC,THE LIGHT CINEMAS,MOTION PICTURE THEATERS,28/06/2023,16.07.2023,20.6
Stockport MBC,AMZNMKTPLACE AMAZON.CO,MISCELLANEOUS AND SPECIALTY RETAIL STORES,28/06/2023,16.07.2023,25.48
Stockport MBC,ASDA GROCERIES ONLINE,"GROCERY STORES, SUPERMARKETS",28/06/2023,16.07.2023,6.5
Stockport MBC,"INVISIONAPP, INC","COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS",28/06/2023,16.07.2023,213.99
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",28/06/2023,16.07.2023,20.61
Stockport MBC,"TYPEFORM, S.L.",COMPUTER SOFTWARE STORES,28/06/2023,16.07.2023,458.33
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,28/06/2023,16.07.2023,22.99
Stockport MBC,AMZNMKTPLACE,MISCELLANEOUS AND SPECIALTY RETAIL STORES,28/06/2023,16.07.2023,28.88
Stockport MBC,WETRANSFER,"COMP PROGRAMING,DATA PRCSNG,INTGRTD SYS DSGN SRVS",28/06/2023,16.07.2023,11
Stockport MBC,SAINSBURY'S S/MKT,"GROCERY STORES, SUPERMARKETS",28/06/2023,16.07.2023,4.7
Stockport MBC,TESCO STORES 3378,"GROCERY STORES, SUPERMARKETS",28/06/2023,16.07.2023,24
Stockport MBC,ALDI 84 773,"GROCERY STORES, SUPERMARKETS",28/06/2023,16.07.2023,58.05
Stockport MBC,WM MORRISONS STORE,"GROCERY STORES, SUPERMARKETS",28/06/2023,16.07.2023,44.5
Stockport MBC,NHS SUPPLYCHAIN PORTAL,"HEALTH PRACTITIONERS, MEDICAL SRVCS-NOT ELSEWHERE",28/06/2023,16.07.2023,109.2
Stockport MBC,CO-OP GROUP 108689,"GROCERY STORES, SUPERMARKETS",28/06/2023,16.07.2023,7.5
Stockport MBC,TESCO STORES 3378,"GROCERY STORES, SUPERMARKETS",28/06/2023,16.07.2023,129.4
Stockport MBC,STAVERTON PARK HOTEL,MARRIOTT,28/06/2023,16.07.2023,169
