Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,01.06.2021,16.06.2021,GPC05210000001,8.69
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,31.05.2021,16.06.2021,GPC05210000002,92.40
Stockport MBC,Corporate and Support Services,Central Support Costs,MIRO.COM,Information and Communications Technology,Information Communication Technology  ,24.05.2021,16.06.2021,GPC05210000003,128.49
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,17.05.2021,16.06.2021,GPC05210000004,25.07
Stockport MBC,Corporate and Support Services,Central Support Costs,GITHUB,Information and Communications Technology,Information Communication Technology  ,14.05.2021,16.06.2021,GPC05210000005,73.51
Stockport MBC,Corporate and Support Services,Central Support Costs,AWS EMEA,Information and Communications Technology,Information Communication Technology  ,16.05.2021,16.06.2021,GPC05210000006,9.46
Stockport MBC,Corporate and Support Services,Central Support Costs,FASTHOSTS INTERNET,Information and Communications Technology,Information Communication Technology  ,15.05.2021,16.06.2021,GPC05210000007,25.18
Stockport MBC,Corporate and Support Services,Central Support Costs,AUTH0.COM,Information and Communications Technology,Information Communication Technology  ,13.05.2021,16.06.2021,GPC05210000008,8.78
Stockport MBC,Corporate and Support Services,Central Support Costs,ATLASSIAN,Information and Communications Technology,Information Communication Technology  ,08.05.2021,16.06.2021,GPC05210000009,986.32
Stockport MBC,Corporate and Support Services,Central Support Costs,WWW.CONTENTFUL.COM,Information and Communications Technology,Information Communication Technology  ,09.05.2021,16.06.2021,GPC05210000010,705.58
