Merchant Category,Supplier,Service,Summary of Purpose of Expenditure,invoice_date,net_amount
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,948.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1712.24
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,549.12
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,399.36
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Leasing /Transport Hire,30/11/2022,288
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,249.6
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,187.2
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,124.8
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,352.52
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,352.48
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,2117.92
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,449.28
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,100
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,3330
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,560
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,420
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,252
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,100
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-94.64
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,-530
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,500
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,299.52
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,1896.96
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,898.56
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,549.12
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/11/2022,399.36
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Fees and Charges,30/11/2022,380
