Merchant Category,Supplier,Service,Summary of purpose of expenditure,invoice_date,paid_date,net_amount
Childcare Provision,*Redact - Personal Information,Services to People,Third party payments - Private/Voluntary Sector,27/08/2019,10/09/2019,655.2
Childcare Provision,*Redact - Personal Information,Services to People,Third party payments - Private/Voluntary Sector,30/08/2019,02/09/2019,1310.4
Childcare Provision,*Redact - Personal Information,Services to People,Third party payments - Private/Voluntary Sector,12/09/2019,13/09/2019,803.25
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,207.3
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,207.3
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,116.45
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,116.45
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,116.45
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,116.45
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,207.3
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,106.69
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,76.71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,76.71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,399.88
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,399.88
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,207.3
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,106.69
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,106.69
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,76.71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,76.71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,76.71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,76.71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,549.23
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,207.3
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,116.45
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,116.45
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,207.3
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,207.3
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,549.23
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,207.3
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,207.3
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,118.46
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,118.46
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,116.45
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,116.45
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,97.74
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,55.85
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,55.85
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,55.85
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,55.85
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,399.88
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,76.71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,76.71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,-45.31
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,399.88
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,76.71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,76.71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,106.69
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,106.69
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,76.71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,76.71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,76.71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,76.71
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,207.3
Client/Customer (Non-Trade),*Redact - Personal Information,Services to People,Care Payments,30/08/2019,02/09/2019,207.3
