Date Awarded,Time period for which grant has been given,Department,Beneficiary,Company or Charity Registration Numbers,Purpose,Amount
13/08/2018,31/03/2019,Growth & Neighbourhoods,Old Moat Youth Outreach Project,1054096,Open access creative play/activities in Old Moat Park.,1386
01/04/2018,31/03/2019,Growth & Neighbourhoods,Better Things,510031,Grant towards community event and equipment to deliver  sessions in the community.,2368
20/07/2018,20/07/2019,Growth & Neighbourhoods,Whalley Range Forum,NA,Grant for community age friendly sessions.,1120
28/06/2018,31/03/2019,Growth & Neighbourhoods,Beech Road Association of Traders,NA,Grant for planters on Beach Road.,1300
10/08/2018,31/03/2018,Growth & Neighbourhoods,NEPHRA residents Association,NA,Grant to develop the Eastwood Road site as a community hub offering a range of activities.,1250
08/08/2018,31/03/2019,Growth & Neighbourhoods,Manchester Malayalee Cultural Association,07939306,Grant contribution for a community festival.,3000
27/07/2018,27/07/2019,Growth & Neighbourhoods,Whalley Range Youth Opps Asc WHIZ,NA,Grant contribution towards playscheme.,1500
09/08/2018,09/08/2019,Growth & Neighbourhoods,Gorton Events Committee,NA,Grant contribution towards Gorton Awards Ceremony for volunteers.,1000
28/06/2018,28/06/2019,Growth & Neighbourhoods,Youth on Solid Ground,1139378,Grant towards delivery of football sessions.,2000
09/07/2018,31/03/2019,Growth & Neighbourhoods,Wythenshawe Park Bee Club,NA,Gant towards improvements to the bee club.,1940
01/07/2018,30/09/2018,Growth & Neighbourhoods,Sow the City,06872177,"Landscape project to convert site into Community Garden.
",3000
27/07/2018,27/08/2019,Growth & Neighbourhoods,Mirfield Road Community Gardens,NA,Grant towards a community fun day event.,860
09/08/2018,31/03/2019,Growth & Neighbourhoods,Didsbury Playing Fields Association,1141644,Grant for repairs to the roof of the club house.,5000
06/08/2018,06/09/2019,Growth & Neighbourhoods,Rusholme & Fallowfield Comm Forum,1116307,Grant for community event and activities.,1225
05/07/2018,31/03/2019,Growth & Neighbourhoods,Northern Moor Gardening Society,NA,Grant towards an annual gardening society show.,500
28/06/2018,31/03/2019,Growth & Neighbourhoods,Chorlton Traders Association,NA,Grant towards community cohesion project.,3295
06/08/2018,06/09/2019,Growth & Neighbourhoods,Healthy Me Healthy Communities,08259109,"Grant to print, distribute and promote the Rusholme People Powered Map.",551
27/07/2018,31/08/2018,Growth & Neighbourhoods,Healthy Me Healthy Communities,08259109,Grant towards a project to set up a community grocer in Aquarius centre.,500
31/07/2018,31/03/2019,Growth & Neighbourhoods,Didsbury Traders & Business Assoc,NA,"Grant towards publicity, events and initiatives to promote Didsbury as a destination, raising funds and awareness and increasing community engagement.",1404
28/06/2018,28/06/2019,Growth & Neighbourhoods,Rainbow Surprise,1165007,Grant for a carnival in Crumpsall Park.,3950
08/08/2018,31/03/2019,Growth & Neighbourhoods,Friends of Gartside Gardens,NA,Grant towards a community fun day.,2306.2
28/06/2018,31/05/2018,Growth & Neighbourhoods,392nd Manchester Scout Group,NA,Grant to purchase equipment for group.,750
11/06/2018,31/03/2019,Growth & Neighbourhoods,Forget Me Not Garden,NA,Gardening tools and equipment to maintain community garden.,1169.67
05/07/2017,05/07/2019,Growth & Neighbourhoods,Delamere Neighbourhood Group,NA,Clean up programme focusing on alleyway transformation projects including accessible community space.,2000
28/06/2018,28/06/2019,Growth & Neighbourhoods,North Manchester Sports Forum,NA,Grant for sports activity based fun day in Crumpsall Park.,600
13/06/2018,13/06/2019,Growth & Neighbourhoods,Friends of Fallowfield,NA,Grant towards Friends of Fallowfield Film Club To help prevent loneliness among older people.,500
06/08/2018,06/09/2019,Growth & Neighbourhoods,Hulme & Moss Side Sport Forum,NA,Grant for community event and activities.,524
27/07/2018,31/03/2018,Growth & Neighbourhoods,Hulme & Moss Side Sport Forum,NA, Grant towards community event which consisted of outdoor sports activities.,524
01/07/2018,31/03/2020,Growth & Neighbourhoods,Young Manchester,1166873,Grant to programme to develop positive and sustained approaches to improving opportunities for children and young people and reduce antisocial behaviour.,62500
06/07/2018,31/03/2019,Growth & Neighbourhoods,Newton Heath Locos F C,NA,Grant towards improvement to the Football Club facilities.,5000
20/08/2018,20/08/2019,Growth & Neighbourhoods,Gorton Imagination Library,1177843,Grant towards book gifting project supporting children to be ready for school.,1968
24/08/2018,24/02/2019,Growth & Neighbourhoods,JB Shorts,NA,Grant to help fund the show JB Shorts 20 - in terms of rehearsal space hire.,500
28/11/2017,31/12/2019,Growth & Neighbourhoods,Amity hcd Limited,08964481,Fund a community leaders programme as set out in their application to the Our Manchester Investment Fund and in line with the grant agreement.,21854.7
01/07/2018,31/07/2019,Growth & Neighbourhoods,The Bread and Butter Thing,1169383,Provide a food membership scheme to low-income families.,33000
27/07/2018,27/07/2019,Growth & Neighbourhoods,Yew Tree & Rosford Alleyway,NA,Grant towards alley way renovation project.,1900
27/07/2018,27/07/2019,Growth & Neighbourhoods,Strike Soccer School,NA,Grant towards sports sessions.,750
27/06/2018,27/06/2019,Growth & Neighbourhoods,May Grove Community Group,NA,Grant towards alleyway improvement which include a community garden place.,1000
31/07/2018,31/03/2019,Growth & Neighbourhoods,Barnes Green Bowling,NA,Grant to replace boards surrounding bowling at recreational area.,2050
08/12/2017,31/03/2018,Growth & Neighbourhoods,Smile,NA,"Grant towards delivery of 10 sessions of the Think, Believe, Achieve programme.",2000
01/04/2018,31/03/2019,Growth & Neighbourhoods,M13 Youth Project,1069401,Grant towards supporting young parents.,38000
01/04/2018,31/03/2019,Children & Families,The Factory Youth Zone,1134580,To deliver a youth offer from the Factory Youth Zone site that engages young people 8-19 (up to 25 for young people with additional needs) across North Manchester.,150000
24/07/2018,31/03/2019,Growth & Neighbourhoods,Manchester Camerata,1128463,Grant is to provide bridge funding for Camerata's tour.,35000
01/04/2018,31/03/2019,Growth & Neighbourhoods,National Football Museum,1050792,Grant towards National Football Museum operating costs.,137500
24/08/2018,31/03/2019,Growth & Neighbourhoods,Hawshaw's Bird of Prey Centre,NA,Bird of prey display at Bee Blackley launch - community fun day event.,150.00
27/06/2018,31/03/2019,Growth & Neighbourhoods,C.S.S.S.R.G,NA,Grant for skip at clean up event.,200.00
28/06/2018,31/03/2019,Growth & Neighbourhoods,Hamptom Environmental,NA,Grant for a community event for residents.,300.00
24/07/2018,30/09/2018,Growth & Neighbourhoods,The Arch Medical Practice,NA,Grant towards planters and creating a green space .,300.00
02/08/2018,02/02/2019,Growth & Neighbourhoods,MCALD Neighbourhood Watch,NA,Grant towards Home Watch Signage.,355.00
10/08/2018,31/03/2019,Growth & Neighbourhoods,Assist,1062675,Grant towards resurface of a snooker club table used at socialising group.,384.00
07/08/2018,07/02/2019,Growth & Neighbourhoods,Levenshulme Community Association,NA,"Grant towards Levy pride event, promoting community cohesion.",450.00
06/08/2018,06/08/2019,Growth & Neighbourhoods,Gorton Horticultural Society,NA,Grant towards summer show to showcase work and provide a family fun day.,499.00
30/07/2018,31/01/2019,Growth & Neighbourhoods,Ancoats Festival Through The Mill,NA,Grant towards community festival.,2400
