Date Awarded,Time period for which grant has been given,Department,Beneficiary,Company or Charity Registration Numbers,Purpose,Amount
01/05/2020,31/03/2021,Neighbourhoods and Growth & Development,First Asian Support Trust,1095379,Grant to achieve employment support outcomes for Manchester Residents,9000
01/05/2020,31/03/2021,Neighbourhoods and Growth & Development,Impact For All,7351396,Grant to achieve employment support outcomes for Manchester Residents,8000
01/05/2020,31/03/2021,Neighbourhoods and Growth & Development,Manchester Deaf Centre Ltd,1110373,Grant to achieve employment support outcomes for Manchester Residents,5000
19/09/2019,31/03/2021,Neighbourhoods and Growth & Development,Carol Bartram Associates Ltd,INT CBAL001,"Consultancy Services for bringing businesses together and creating a shared, single vision",1294.55
22/07/2020,22/07/2020,Neighbourhoods and Growth & Development,The Byrons Social Club,INTTBSC001,Roof installation and garden area development,470
26/02/2020,31/03/2021,Neighbourhoods and Growth & Development,Parkhill & Cleveland RA,INTPACRA001,Grant for funding towards community garden space,2636
16/08/2017,31/03/2021,Children & Families,Manchester Mind,1102058,"Grant for funding a service that will recruit, train and coordinate a team of volunteers, to support the Homelessness and Housing Options initial contact service",6039.16
17/06/2020,30/06/2020,Neighbourhoods and Growth & Development,Amey Highways Lighting (Manchester),INTAMEY001,Grant to move battery operated vehicle speed sign,287.89
17/07/2020,17/07/2021,Neighbourhoods and Growth & Development,Attercliffe Borders In Bloom,INTABIB001,Regeneration of allotment area,395
10/07/2020,31/10/2020,Neighbourhoods and Growth & Development,Revolution Youth,INTRY001,Grant towards providing food support to families during covid19,7500
10/07/2020,10/07/2021,Neighbourhoods and Growth & Development,Wythenshawe Anglican Team,INTWAT001,Grant towards funding a breakfast club,6000
03/08/2020,03/08/2021,Neighbourhoods and Growth & Development,Barlow Moor Community Association,1142217,Grant to purchase resources and equipment to enable safe re-opening,2945.51
01/06/2020,01/06/2021,Neighbourhoods and Growth & Development,BBMB Residents Group,INTBBMBRG001,Creation of community Garden BBMB RG,1290.55
01/08/2020,31/08/2021,Neighbourhoods and Growth & Development,The Friends of Manley Park,INTFOMP001,Grant to carry out park improvements,1035
01/06/2020,01/06/2021,Neighbourhoods and Growth & Development,Upping It,INTUI001,Creation of community Garden,727
06/03/2020,31/03/2021,Chief Executives,National Football Museum,1050792,National Football Museum Grant 20/21,120833.33
26/03/2020,31/03/2021,Chief Executives,HOME,"1681278/
 514719",Greater Manchester Arts Contract,105699.5
01/01/2019,31/03/2021,Chief Executives,Millenium Quarter Trust Admin Acct,1090859,CVC Grant to Millennial Quarter,41000
10/07/2020,01/09/2020,Neighbourhoods and Growth & Development,On Top Of The World,INTOTOTW001,VCSE Grant for distribution of Keep Busy Packs,300
22/07/2020,01/12/2020,Neighbourhoods and Growth & Development,Levenshulme News,INTLN001,Grant towards publishing Levenshulme News,300
24/06/2020,31/08/2020,Neighbourhoods and Growth & Development,Clowes Street TARA,INT CSTREET TARA 001,Grant to support children and families during summer holidays 2020,3000
30/06/2020,10/12/2020,Neighbourhoods and Growth & Development,Greenbank Bowling Club,INTGBC001,Grant to  install a shelter adjacent to the green,1248
08/07/2020,06/10/2020,Neighbourhoods and Growth & Development,Somali Adult Social Care Agency,1143949,NIF Grant towards printing costs of SASCA Newsletter,1200
30/06/2020,30/06/2021,Neighbourhoods and Growth & Development,Indian Association (Manchester),517880,Grant for funding to run online yoga sessions,600
01/10/2020,01/10/2020,Neighbourhoods and Growth & Development,Hulme & Moss Side Sport Forum,INTHAMSSF001,Grant for purchasing bulbs and flowers,524
30/06/2020,31/03/2021,Chief Executives,Manchester Camerata,1128463,Cultural Partnership Agreements. The purpose of this funding is to support cultural organisations in Manchester which are delivering the City's priorities and meeting the themes of the Cultural Ambition,5000
30/06/2020,31/03/2021,Chief Executives,Streetwise Opera,1092931,Cultural Partnership Agreements. The purpose of this funding is to support cultural organisations in Manchester which are delivering the City's priorities and meeting the themes of the Cultural Ambition,3812.5
30/06/2020,31/03/2021,Chief Executives,Quarantine,1100469,Cultural Partnership Agreements. The purpose of this funding is to support cultural organisations in Manchester which are delivering the City's priorities and meeting the themes of the Cultural Ambition,3250
30/06/2020,31/03/2021,Chief Executives,Castlefield Gallery Limited,515571,Cultural Partnership Agreements. The purpose of this funding is to support cultural organisations in Manchester which are delivering the City's priorities and meeting the themes of the Cultural Ambition,2500
01/04/2020,31/03/2021,Neighbourhoods and Growth & Development,Manchester Youth Zone,1134580,"Delivery, coordination and strategic shaping of youth and play services",200000
01/04/2020,31/03/2021,Neighbourhoods and Growth & Development,Manchester Youth Zone - East,1134580,"The purpose of the grant is for the delivery, coordination and strategic shaping of youth and play services and other associated activities.",200000
01/09/2020,31/07/2021,Neighbourhoods and Growth & Development,Young Shakespeares Education Ltd.,INTYSEL001,To provide regular creative writing workshops to disadvantaged young people aged 14-18 within the north and south areas of Manchester,21250
01/10/2020,01/10/2021,Neighbourhoods and Growth & Development,Uprising Leadership,1149905,To provide mentoring service for young people in Manchester,20000
