Date,Merchant Name,Item Description,Sum of Line Value
01.11.20,MONGODBCLOUD TNA ATLAS,MongoAtlas Database,671.18
05.11.20,APPLIANCEDIRECT CO,Appliance replacements,651.99
06.11.20,SP * CREWELWORK.COM,Goods for retail sale,588
09.11.20,ADOBE PS CREATIVE CLD,Adobe monthly charges,"1,395.75"
12.11.20,Barriers Direct,Tensa Barrier black reels  for wall mounting,1274.54
20.11.20,JetBrains,IDE software for Developers,4169.55
24.11.20,WWW.CITY.AC.UK,Training,560
26.11.20,BSRIA LIMITED,2021 corporate subscription ,1020
26.11.20,PRICELULU UK,Mobile equipments ,719.98
27.11.20,WWW.FISHER.CO.UK,Vacuum pumps,691.08
27.11.20,AMZNMktplace,Minor IT equipment,579.6
27.11.20,HALFMOONBAY.CO.UK,Goods for retail sale,747.48
30.11.20,AMZNMktplace,Minor IT equipment,925.26
30.11.20,FACEBK *EWA47Y6PT2,Facebook advertising,700
