Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,invoice number - delete,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
The National Archives,The National Archives,13/01/2017,IT Maintenance & Support - Software,"Central, ASD & Corporate",VODAFONE CORPORATE LTD,138171,24025,"15,544.40",Government Intranet Service,RG14 5FF,,CM796,,Administration
The National Archives,The National Archives,16/01/2017,Govt Procurement Card (GPC) purchases,Operations Directorate,ROYAL BANK OF SCOTLAND PLC,138282,24047,"24,554.36",Monthly Govt procurement card bill,SS99 6YY,,,,Administration
The National Archives,The National Archives,10/01/2017,IT Maintenance & Support - Hardware,"Central, ASD & Corporate",LOGICALIS UK LTD,138059,23991,"11,607.89",Switches and firewall support,SL1 4PF,,CM889,,Administration
The National Archives,The National Archives,10/01/2017,Pensions Administration,"Central, ASD & Corporate",CABINET OFFICE,138088,23999,"19,751.16",Pension administration,FY5 3TA,,CM459,,Administration
The National Archives,The National Archives,04/01/2017,Grants paid,"Central, ASD & Corporate",ARCHIVES AND RECORDS ASSOCIATION,137868,23942,"14,875.00",Grant payment,TA1 1SW,,,,Programme
The National Archives,The National Archives,04/01/2017,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,137746,23916,"14,175.00",Design for web services,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,04/01/2017,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,137748,23917,"14,692.50",Legislation iteration,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,04/01/2017,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,137766,23926,"14,782.50",Legislation iteration,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,06/01/2017,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,137900,23951,"10,080.00",Legislation iteration,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,06/01/2017,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,137902,23952,"14,017.50",Legislation iteration,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,06/01/2017,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,137917,23959,"13,927.50",Legislation iteration,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,06/01/2017,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,137931,23963,"11,047.50",Legislation iteration,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,06/01/2017,Official publications in public libraries subsidy,Information Policy & Services,LATITUDE MAPPING LTD,137984,23973,"12,928.57",Library subsidy,EN6 4PS,,,,Programme
The National Archives,The National Archives,06/01/2017,Contracted Services,Information Policy & Services,THE STATIONERY OFFICE LTD,137904,23953,"12,654.00",Legislation cloud iteration,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,06/01/2017,Contracted Services,Information Policy & Services,THE STATIONERY OFFICE LTD,137906,23954,"9,364.50",Legislation cloud iteration,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,10/01/2017,Contracted Services,"Central, ASD & Corporate",TWISTED PURPLE LTD,138051,23988,"11,220.00",IT consultancy,SP85LG,,CM858,,Programme
The National Archives,The National Archives,13/01/2017,Contracted Services,"Central, ASD & Corporate",AOC ARCHITECTURE LTD,138163,24017,"10,665.82",Professional fees,E27RG,,CM810,,Programme
The National Archives,The National Archives,04/01/2017,Facilities Management,"Central, ASD & Corporate",BOUYGUES E&S FM UK LIMITED,137834,23932,"121,367.09",Facilities management monthly fee,BN1 1HG,,CM440,,Programme
The National Archives,The National Archives,04/01/2017,Records Storage Space Rental,Public Engagement,DEEPSTORE,137870,23943,31152.74,Record storage space,CW7 2PA,,CM499,,Programme
The National Archives,The National Archives,10/01/2017,PSI Website Hosting,Information Policy & Services,THE STATIONERY OFFICE LTD,138120,24006,23528.33,Legislation operating costs,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,06/01/2017,Accomodation charge: rates,"Central, ASD & Corporate",LONDON BOROUGH OF RICHMOND UPON THAMES,137897,23950,180950,Business rates,TW1 3BZ,,,,Programme
The National Archives,The National Archives,06/01/2017,Electricity,"Central, ASD & Corporate",EDF ENERGY,138009,23976,60570.28,Energy,PL3 5XQ,,CM441,,Programme
The National Archives,The National Archives,16/01/2017,Minor IT,"Central, ASD & Corporate",CCS MEDIA LIMITED,138290,24050,17265.12,IT equipment,S402EX,,,,Administration
