Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
The National Archives,The National Archives,04/06/2014,Facilities Management,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,106379,"116,908.94",May Core Fees,BN1 1HG,,CM440,,Programme
The National Archives,The National Archives,04/06/2014,Contractors,Information Policy & Services,MAGNETIC IT LTD,106384,"10,090.08",Data Centre project,WC2H 8AD,,CM656,,Programme
The National Archives,The National Archives,04/06/2014,Facilities Management,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,106398,"116,883.93",April Core Fees,BN1 1HG,,CM440,,Programme
The National Archives,The National Archives,04/06/2014,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,106408,"16,500.00",Publishing system improvements,NR3 1QZ,,,,Programme
The National Archives,The National Archives,04/06/2014,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,106410,"16,500.00",Publishing system improvements,NR3 1QZ,,,,Programme
The National Archives,The National Archives,04/06/2014,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,106416,"15,175.00",Legislation tool,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,04/06/2014,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,106421,"16,000.00",DWP data migration,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,04/06/2014,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,106423,"16,000.00",DWP data migration,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,04/06/2014,PAS - On-line development,Information Policy & Services,THE STATIONERY OFFICE LTD,106425,"9,500.00",User interface,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,04/06/2014,Accomodation charge: rates,Finance & Corporate Services,LONDON BOROUGH OF RICHMOND UPON THAMES,106461,"527,100.00",LB of Richmond Rates,TW1 3BZ,,,,Programme
The National Archives,The National Archives,04/06/2014,Records Storage Space Rental,Public Services,DEEPSTORE LTD,106480,"28,560.09",Record storage space,CW7 2PA,,,,Programme
The National Archives,The National Archives,04/06/2014,Contracted Services,Public Services,TRANSMEDIA TECHNOLOGY LIMITED,106500,"21,273.22",Scanning microfiche,SA5 4DL,,,,Programme
The National Archives,The National Archives,13/06/2014,Travel & Subsistence,Finance & Corporate Services,REDFERN TRAVEL LTD,106567,"12,051.79",Business travel,B1 3AZ,,,,Administration
The National Archives,The National Archives,13/06/2014,IT Maintenance & Support - Software,Technology & Preservation,ADAPTAVIST.COM LIMITED,106573,"29,808.00",Confluence software maintenance,WA3 5BG,,CM352,,Programme
The National Archives,The National Archives,13/06/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,106576,"17,389.38",Building work - Lighting Q1,BN1 1HG,,,,Programme
The National Archives,The National Archives,13/06/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,106581,"47,153.70",Building work - Lighting Q2,BN1 1HG,,,,Programme
The National Archives,The National Archives,13/06/2014,Electricity,Finance & Corporate Services,EDF ENERGY,106606,"59,968.70",Energy bill ,PL3 5XQ,,,,Programme
The National Archives,The National Archives,13/06/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,106631,"27,473.62",Building work - fire compt upgrade,BN1 1HG,,,,Programme
The National Archives,The National Archives,13/06/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,106646,"10,443.74",Building work - Cooling Towers,BN1 1HG,,,,Programme
The National Archives,The National Archives,13/06/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,106652,"23,894.98",Building work - Cooling Towers,BN1 1HG,,,,Programme
The National Archives,The National Archives,13/06/2014,Plant and Equipment additions,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,106654,"81,386.72",Building work - Cooling Towers,BN1 1HG,,,,Programme
The National Archives,The National Archives,13/06/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,106656,"12,815.54",Building work - fire stopping Q1,BN1 1HG,,,,Programme
The National Archives,The National Archives,13/06/2014,Plant and Equipment additions,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,106691,"14,290.92",Building work - irrigation system,BN1 1HG,,,,Programme
The National Archives,The National Archives,13/06/2014,Office machinery maintenance,Technology & Preservation,ZEUTSCHEL UK LTD,106742,"13,375.50",Annual maintenance for scanners,MK18 2LR,,CM498,,Administration
The National Archives,The National Archives,19/06/2014,PSI Website Hosting,Information Policy & Services,THE STATIONERY OFFICE LTD,106845,"17,633.33",Legislation tool,NR3 1QZ,,CM478,,Programme
The National Archives,The National Archives,19/06/2014,Repairs and Maintenance - Planned,Finance & Corporate Services,BOUYGUES E&S FM UK LIMITED,106912,"34,921.20",Building works - various,BN1 1HG,,,,Programme
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
