Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount
DCMS,National Gallery,31/05/2011,Main Contractors,Building (Core),Fairhurst Ward Abbotts Ltd.,10174733,"129,000.00"
DCMS,National Gallery,01/06/2011,Direct Orders,Building (Core),EDF Energy 1 Limited,10174732,"80,142.57"
DCMS,National Gallery,01/06/2011,Main Contractors,Office Services & Cleaning,DOC Cleaning Limited,10174943,"47,727.57"
DCMS,National Gallery,02/06/2011,Main Contractors,Building (Core),Montagu Evans LLP,10174736,"55,188.61"
DCMS,National Gallery,16/06/2011,Main Contractors,Building (Core),Norland Managed Services Limited,10175224,"132,370.00"
DCMS,National Gallery,16/06/2011,Transport,Registrar,Momart Ltd,10175174,"24,642.05"
DCMS,National Gallery,16/06/2011,Transport,Registrar,Momart Ltd,10175174,384.50
DCMS,National Gallery,17/06/2011,Display,Design,Benchworks Ltd,10175002,"25,000.00"
DCMS,National Gallery,30/06/2011,Contract cleaning,Office Services & Cleaning,DOC Cleaning Limited,10174943,"47,727.57"
,National Gallery,,,,,,
,,,,,,,
,,,,,,,"542,182.87"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,`,,,,
