Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Department of Health,National Institute For Health And Care Excellence,30/12/2021,Contr Other External,BNF - NP,ROYAL PHARMACEUTICAL SOCIETY,,"947,500.00","BNF Knowledge creation costs, Q3 2021-22"
Department of Health,National Institute For Health And Care Excellence,30/12/2021,Contr Other External,Methods and Economics Team - NP,YORK HEALTH ECONOMICS CONSORTIUM,,"45,000.00",Economic Modeling Unit to Support Public Health and Social Care Guidance - Year 6 Q2 2021/22
Department of Health,National Institute For Health And Care Excellence,30/12/2021,Recruitment Agency Fees,HR - NP,RUSSELL REYNOLDS ASSOCIATES,,"25,647.26",Recruitment fees
Department of Health,National Institute For Health And Care Excellence,30/12/2021,Contr Other External,Commissioning Team - NP,ROYAL COLLEGE OF OBSTETRICIANS & GYNAECOLOGISTS,,"763,344.00",National Guideline Alliance Q3 funding 2021-22
Department of Health,National Institute For Health And Care Excellence,30/12/2021,"Books, Journals & Subscr",National Core Content HEE Funding,EBSCO INTERNATIONAL INC,40502613,"134,868.15","Subscriptions - CINAHL - Psychology & Behavioral Sciences Collection, Q3 2021-22"
Department of Health,National Institute For Health And Care Excellence,30/12/2021,Contr Other External,Indicators - NP,CUMBRIA NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,,"58,234.00",NEQOS National Collaborating Centre for Indicator Development - Q3 21-22
Department of Health,National Institute For Health And Care Excellence,30/12/2021,External Consultancy Fees,HR - NP,NHS SOUTH CENTRAL AND WEST COMMISSIONING SUPPORT UNIT,,"88,240.36",Multidisciplinary Consultancy Services June - September 2021
Department of Health,National Institute For Health And Care Excellence,30/12/2021,Contr Other External,Medical Technologies Evaluation Programme - NP,NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,,"77,190.22",External Assessment Centres Framework 21-22 - Q2 July 2021 - September 2021
Department of Health,National Institute For Health And Care Excellence,30/12/2021,External Consultancy Fees,Digital Workplace,CIVICA UK LTD,,"52,552.70",Digital Workplace Strategy services November 2021
Department of Health,National Institute For Health And Care Excellence,30/12/2021,External Consultancy Fees,Digital Workplace,CIVICA UK LTD,,"184,849.52",Digital Workplace Foundation Phase November 2021
Department of Health,National Institute For Health And Care Excellence,30/12/2021,Contr Other External,Evidence Services - NP,CLARITY INFORMATICS LTD,,"44,100.00",NICE Clinical Knowledge Summaries (CKS) Contract - December 2021
