Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Amount,Description
Department of Health,National Institute For Health And Care Excellence,01/02/2022,External Consultancy Fees,HR - NP,DELOITTE LLP," 59,532.00 ",NICE Future Skills Requirement - Professional Services
Department of Health,National Institute For Health And Care Excellence,01/02/2022,Computer Maintenance,Evidence Services - NP,WOLTERS KLUWER HEALTH (MEDICAL RESEARCH) LTD," 120,904.80 ",Licences for access to medical databases (OVID Discovery) Q4 2021/22
Department of Health,National Institute For Health And Care Excellence,01/02/2022,Contr Other External,Science Policy and Research Programme - NP,BASIS RESEARCH LIMITED," 25,413.00 ",NICE Listens: Health Inequalities - Professional Services (Milestone 1)
Department of Health,National Institute For Health And Care Excellence,01/02/2022,Postage & Carriage,BNF - NP,W & J LINNEY LTD," 52,200.00 ",BNF Storage and Distribution - Q3 2021-22
Department of Health,National Institute For Health And Care Excellence,01/02/2022,Contr Other External,Methods and Economics Team - NP,UNIVERSITY OF BRISTOL," 50,000.00 ",Clinical Guidelines Technical Support Unit Q3 2021/22
Department of Health,National Institute For Health And Care Excellence,01/02/2022,External Consultancy Fees,Digital Workplace,CIVICA UK LTD," 139,519.14 ",Digital Workplace Foundation Phase January 2022
Department of Health,National Institute For Health And Care Excellence,01/02/2022,Contr Other External,Science Policy and Research Programme - NP,BASIS RESEARCH LIMITED," 25,413.00 ",NICE Listens: Health Inequalities - Professional Services (Milestone 2)
Department of Health,National Institute For Health And Care Excellence,01/02/2022,Computer Hardware Purch,DIT non pay,CCS MEDIA LTD," 108,385.20 ",Office Hardware supplies - Laptops
Department of Health,National Institute For Health And Care Excellence,01/02/2022,Contr Other External,BNF - NP,ROYAL PHARMACEUTICAL SOCIETY," 947,500.00 ","BNF Knowledge creation costs, Q4 2021-22"
Department of Health,National Institute For Health And Care Excellence,01/02/2022,Contr Other External,Commissioning Team - NP,ROYAL COLLEGE OF PHYSICIANS," 763,344.00 ",National Guideline Centre Q4 Funding 2021-22
Department of Health,National Institute For Health And Care Excellence,01/02/2022,"Books, Journals & Subscr",National Core Content HEE Funding,PROQUEST LLC," 330,361.75 ","Subscriptions - MEDLINE, British Nursing Index, PsycINFO, PsycARTICLES, Health Research Premium Collection Q3 2021-22"
Department of Health,National Institute For Health And Care Excellence,01/02/2022,Contr Other External,Medical Technologies Evaluation Programme - NP,CARDIFF & VALE ULHB," 83,527.20 ",NICE Medical Technology External Assessment Centre contract with CEDAR - Q3 01/10/2021 - 31/12/2021
Department of Health,National Institute For Health And Care Excellence,01/02/2022,Contr Other External,Methods and Economics Team - NP,YORK HEALTH ECONOMICS CONSORTIUM," 45,000.00 ",Economic Modeling Unit to Support Public Health and Social Care Guidance - Year 6 Q3 2021/22
Department of Health,National Institute For Health And Care Excellence,01/02/2022,Contr Other External,Evidence Services - NP,CLARITY INFORMATICS LTD," 44,100.00 ",NICE Clinical Knowledge Summaries (CKS) Contract - February 2022
Department of Health,National Institute For Health And Care Excellence,01/02/2022,External Consultancy Fees,HR - NP,DEAD ERNEST LTD," 57,910.00 ",Support to Culture Change programme
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
