OBJECTID,REF,ACTIVITY,OPERATOR,ADDRESS
1,5/2/1A,Crematorium,City of York Council,"York Crematorium, Bishopthorpe Road, York, YO23 2QD"
32,1/14/1A,Petrol Station,Asda Stores Ltd,"Asda Petrol Station, Jockey Lane, Huntington, York, YO32 9LF"
33,1/14/2A,Petrol Station,Asda Stores Ltd,"Great North Way Service Station, York Business Park, Great North Way, Nether Poppleton, York, YO26 6RB"
34,1/14/4A,Petrol Station,Tesco PLC,"Tesco Petrol Station, Askham Bar, Tadcaster Road, Dringhouses, York, YO24 1LW"
35,1/14/5A,Petrol Station,Tesco PLC,"Tesco Petrol Station, 9 Stirling Road, Clifton Moor Centre, York, YO30 4XZ"
36,1/14/6A,Petrol Station,J Sainsbury Plc,"Sainsburys Petrol Station, Jockey Lane, Huntington, York, YO32 9LG"
37,1/14/7A,Petrol Station,SG Petch Ltd,"Station Garage, Station Road, Haxby, York, YO32 3LX"
38,1/14/12A,Petrol Station,Jorvik SF Connect,"128 Lawrence Street, York, YO10 3EB"
39,1/14/14A,Petrol Station,Valli Forecourt Ltd,"Shell Ace of Spades, 26-30 Hull Road, York,YO1 3LP"
40, 1/14/15A,Petrol Station,Penny Petroleum,"Station Garage, Hull Road, Dunnington, York, YO1 5RY"
41,1/14/17A,Petrol Station,BP Oil UK Ltd,"London Bridge SF Connect, 235 Tadcaster Road, York, YO23 2UB"
42,1/14/20A,Petrol Station,Inner Space Stations,"339-341 Hull Road, Osbaldwick, York, YO10 3LE"
43,1/14/21A,Petrol Station,The Cooperative Service Station,"97 Boroughbridge Road, York, YO26 6AA"
45,1/14/24A,Petrol Station,Applegreen,"Knavesmire Service Station, 20-22 Tadcaster Road, Dringhouses, York, YO24 1LQ"
46,1/14/26A,Petrol Station,York Road Garage,"York Road, York, YO19 6EY"
47,1/14/28A,Petrol Station,Morrisons Supermarket PLC,"Foss Retail Park, Foss Islands Road, York, YO31 7UL"
48,3/1/3A,Concrete Batching,Hanson Aggregates,"York Plant, Outgang Lane, Osbaldwick, York, YO1 3UP"
50,3/1/5A,Concrete Batching,Tarmac Northern Ltd,"Auster Road. Clifton Moor, York, YO30 4XD"
51,3/1/6A,Concrete Batching,Sandsfield Ready Mix Concrete Ltd,"Elvington Industrial Estate, Elvington, York, YO4 5RA"
52,3/1/7A,Concrete Batching,Cemex Ltd,"York Concrete Plant, Hazel Court, Phoenix Business Park, James Street, York, YO10 3DS"
53,3/16/1A,Mobile Crusher,A1 Plant & Haulage,"Drome Farm, York Road, Elvington, York, YO4 5AR"
57,6/34/3A,Vehicle Respraying,JCT 600 Ltd T/A Layerthorpe VW,"Centurion Park, Clifton Moor, York, YO30 4WW"
59,6/34/10A,Vehicle Respraying,Stoneacre Motor Group,"Jockey Lane, Monks Cross, York, YO32 9GY"
60,6/34/11A,Vehicle Respraying,Meridian Coachworks Ltd,"Wetherby Road, Rufforth, York, YO23 3QA"
61,6/23/1A,Metal Coating,Portakabin Ltd,"New Lane, Huntington, York, YO32 9PT"
63,6/29/1A,Di-isocyanate,Portakabin Ltd,"New Lane, Huntington, York, YO32 9PT"
66,6/46/4A,Dry Cleaner,Johnsons The Cleaner,"1a Bishopthorpe Road, York, YO3 1NA"
67,6/2/2A,Timber,Portakabin Ltd,"New Lane, Huntington, York, YO32 9PT"
69,6/2/2A,Timber,Portakabin Ltd,"New Lane, Huntington, York, YO32 9PT"
70,6/46/3A,Dry Cleaner,Johnsons The Cleaner,"5 Ryedale Court, The Village, Haxby, York"
72,6/46/9A,Dry Cleaner,Regency Dry Cleaners,"75 Bootham, York, YO30 7DQ"
73,6/46/11A,Dry Cleaner,Meadowcroft Dry Cleaners,"5-7 Lord Mayors Walk, York, YO31 7HB"
74,6/46/10A,Dry Cleaner,Timpson,"Morrisons, Foss Retail Park, Foss Islands Road, York, YO31 7UL"
75,6/27/2A,Vegetable Matter Drying,Cargill PLC,"Cargill Cocoa York, Wigginton Road, York, YO31 8BA"
321,6/16/3A2,Printers,Walstead York Ltd,"Brinkworth Rush, Airfield Business Park, Elvington, York YO41 4AU"
963,1/14/30,Petrol Station,BP Oil UK Ltd,"Poppleton SF Connect, Boroughbridge Road, York, YO26 6QD"
964,6/29/1A,Di-isocyanate,Portakabin Ltd,"New Lane, Huntington, York, YO32 9PT"
965,6/23/1A,Metal Coating,Portakabin Ltd,"New Lane, Huntington, York, YO32 9PT"
966,1/14/31A,Petrol Station,Penny Petroleum,"Strensall Camp Service Station, 605 Strensall Road, Strensall, York, YO32 5TB"
967,6/47/1A,Schedule 14 Coating,Plowman Brothers Ltd,"Broad Oak Farm, Sutton Road, Wiggington, York, YO61 1ER"
