,,,,,,,,,
,,"Expenditure over £25,000 - Payments made in February 2024",,,,,,,
,,,,,,,,,
Department Family,Entity,Date Paid,Expense Type,Expense Area,Supplier,Transaction Number, Amount in Sterling ,,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Laboratory Tests,Cellular Pathology Lab,Source Bioscience Uk Ltd,32195," £45,954.45 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Roche Managed Serv Contract,Dudley Group Site,Roche Diagnostics,32265," £229,605.79 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Laboratory Consumables,Microbiology Lab,Roche Diagnostics,32286," £102,394.72 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Laboratory Consumables,Cytology,Roche Diagnostics,32305," £147,531.54 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Blood - Factors,Pathology,Sciensus Pharma Services Ltd,32379," £31,987.35 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Sysmex Managed Serv Contract,Haematology,Sysmex Uk Ltd,32460," £28,211.78 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Laboratory Consumables,Microbiology Lab,Biomerieux Uk Ltd,32465," £284,871.38 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Sysmex Managed Serv Contract,Haematology,Sysmex Uk Ltd,32687," £31,413.88 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Subsistence (Staff),Renal,Nester Healthcare Group Ltd,594269," £30,613.04 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Her2 Tests,Oncology,University Hospitals Birmingham Nhs Ft,618797," £136,528.56 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Clinical Sla,Cardiology,Pertemps Medical Limited,628543," £32,322.00 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Emergency System Support,It Services,Ideagen Gael Ltd,633421," £64,356.73 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Patient Equipment,Physio & Occ Therp Services,Blatchford Ltd,636696," £47,317.70 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Professional Services,Trust Executives,The Dudley Group Nhs Foundation Trust,637078," £190,000.00 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Interest Pfi,Centrally Controlled I And E,Wolverhampton Radiology Ltd,639389," £329,187.64 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Pfi Borrowings >1yr,Radiology,Wolverhampton Radiology Ltd,639389," £200,242.52 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Pfi Cch Pacs Phase 3,Radiology,Wolverhampton Radiology Ltd,639389," £6,031.60 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Pfi Service Agreement,Radiology,Wolverhampton Radiology Ltd,639389," £269,682.51 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Drugs Purchases,Pharmacy Control,Sciensus Pharma Services Ltd,640275," £114,007.92 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Drugs Purchases,Pharmacy Control,Sciensus Pharma Services Ltd,640276," £57,003.96 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Drugs Purchases,Pharmacy Control,Sciensus Pharma Services Ltd,640277," £57,003.96 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Drugs Purchases,Pharmacy Control,Sciensus Pharma Services Ltd,640278," £57,004.00 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Fleet Expenditure,Fleet Control,Northumbria Healthcare Nhs Ft,641372," £280,500.91 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Nihr Allocations,Crn Interg Care Research Team,Midlands Partnership Nhs Ft,641491," £3,723.00 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Nihr Allocations,Crn Research Scholars,Midlands Partnership Nhs Ft,641491," £4,120.00 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Nihr Allocations,Crn Specialist Leads,Midlands Partnership Nhs Ft,641491," £1,545.00 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Nihr Allocations,Lcrn Core Payments,Midlands Partnership Nhs Ft,641491," £44,167.50 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Nihr Allocations,Lcrn Strategic Funding Payment,Midlands Partnership Nhs Ft,641491," £8,322.00 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,NHS Supply Chain consumables,Store Issue Control,Nhs Supply Chain Coordination Ltd (Mgnt),641784," £180,329.75 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,NHS Supply Chain consumables,Store Issue Control,Nhs Supply Chain Coordination Ltd (Mgnt),641786," £454,025.15 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Psychology Services,Division 2 Management,Black Country Partnership Nhs Ft,641788," £27,306.02 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Capital Project,Capital Project,Interclass Group,642946," £274,647.82 ",,
Department of Health,The Royal Wolverhampton NHS Trust RL4,01/02/2024,Interpreter Costs,Patient Experiences,Word360 Limited,642960," £39,322.19 ",,
