Sum of Number of Births,,,Month of Birth,,,
Dam Breed Description,Dam Breed Code,Calf Sex,JUL,AUG,SEP,Grand Total
ABERDEEN ANGUS,AA,F,1287,1039,992,3318
,,M,1279,1093,1043,3415
,AA Total,,2566,2132,2035,6733
ABERDEEN ANGUS X,AAX,F,3992,3548,3236,10776
,,M,4119,3570,3327,11016
,AAX Total,,8111,7118,6563,21792
ANGLER ROTVIEH,AR,F,0,2,2,4
,,M,1,1,3,5
,AR Total,,1,3,5,9
ANGLER ROTVIEH X,ARX,F,0,1,3,4
,,M,0,2,3,5
,ARX Total,,0,3,6,9
AUBRAC,AU,M,2,0,0,2
,AU Total,,2,0,0,2
AUBRAC X,AUX,F,0,1,1,2
,AUX Total,,0,1,1,2
AUSTRALIAN LOWLINE,ALL,F,2,0,0,2
,ALL Total,,2,0,0,2
AYRSHIRE,AY,F,1075,1103,1252,3430
,,M,843,912,1000,2755
,AY Total,,1918,2015,2252,6185
AYRSHIRE X,AYX,F,228,274,251,753
,,M,233,230,237,700
,AYX Total,,461,504,488,1453
BAZADAISE,BAZ,F,14,11,20,45
,,M,12,15,19,46
,BAZ Total,,26,26,39,91
BAZADAISE X,BAZX,F,46,29,35,110
,,M,52,35,41,128
,BAZX Total,,98,64,76,238
,BAZ X,M,0,1,0,1
,BAZ X Total,,0,1,0,1
BEEF SHORTHORN,BSH,F,291,195,176,662
,,M,270,176,172,618
,BSH Total,,561,371,348,1280
BEEF SHORTHORN X,BSHX,F,289,217,205,711
,,M,269,278,256,803
,BSHX Total,,558,495,461,1514
BELGIAN BLUE,BB,F,184,117,107,408
,,M,144,134,101,379
,BB Total,,328,251,208,787
BELGIAN BLUE X,BBX,F,1530,1084,1058,3672
,,M,1595,1211,1136,3942
,BBX Total,,3125,2295,2194,7614
BELTED GALLOWAY,BG,F,245,152,139,536
,,M,225,142,123,490
,BG Total,,470,294,262,1026
BELTED GALLOWAY X,BGX,F,39,37,26,102
,,M,45,36,24,105
,BGX Total,,84,73,50,207
BELTED WELSH BLACK,BWB,F,4,5,4,13
,,M,1,3,4,8
,BWB Total,,5,8,8,21
BELTED WELSH BLACK X,BWBX,F,1,0,0,1
,,M,0,2,0,2
,BWBX Total,,1,2,0,3
BISON,BI,F,8,1,4,13
,,M,4,0,5,9
,BI Total,,12,1,9,22
BLONDE D'AQU (RED) X,BARX,F,2,0,0,2
,,M,0,3,1,4
,BARX Total,,2,3,1,6
BLONDE D'AQU(BLACK)X,BABX,M,2,1,0,3
,BABX Total,,2,1,0,3
BLONDE D'AQU(WHITE)X,BAWX,F,1,0,1,2
,BAWX Total,,1,0,1,2
BLONDE D'AQUITAINE,BA,F,192,126,103,421
,,M,175,114,118,407
,BA Total,,367,240,221,828
BLONDE D'AQUITAINE X,BAX,F,692,485,422,1599
,,M,734,510,433,1677
,BAX Total,,1426,995,855,3276
BLUE ALBION,BAL,F,4,2,2,8
,,M,6,6,1,13
,BAL Total,,10,8,3,21
BLUE ALBION X,BALX,F,3,4,4,11
,,M,2,6,6,14
,BALX Total,,5,10,10,25
BLUE GREY,BLG,F,123,77,56,256
,,M,138,90,77,305
,BLG Total,,261,167,133,561
BLUE GREY X,BLGX,F,2,5,1,8
,,M,3,2,4,9
,BLGX Total,,5,7,5,17
BRAHMAN X,BRX,F,0,1,0,1
,BRX Total,,0,1,0,1
BRITISH BLUE,BRB,F,179,138,155,472
,,M,204,144,164,512
,BRB Total,,383,282,319,984
BRITISH BLUE X,BRBX,F,1598,1241,1405,4244
,,M,1612,1267,1347,4226
,BRBX Total,,3210,2508,2752,8470
BRITISH FRIESIAN,BF,F,6924,8508,9213,24645
,,M,6651,8036,8829,23516
,BF Total,,13575,16544,18042,48161
BRITISH FRIESIAN X,BFX,F,1403,2506,2700,6609
,,M,1345,2236,2595,6176
,BFX Total,,2748,4742,5295,12785
BRITISH HOLSTEIN,BH,F,346,514,475,1335
,,M,283,420,392,1095
,BH Total,,629,934,867,2430
BRITISH HOLSTEIN X,BHX,F,97,147,156,400
,,M,70,117,113,300
,BHX Total,,167,264,269,700
BRITISH WHITE,BW,F,45,41,26,112
,,M,80,56,28,164
,BW Total,,125,97,54,276
BRITISH WHITE X,BWX,F,25,24,10,59
,,M,27,19,17,63
,BWX Total,,52,43,27,122
BROWN SWISS,BS,F,198,242,262,702
,,M,188,240,260,688
,BS Total,,386,482,522,1390
BROWN SWISS X,BSX,F,301,611,583,1495
,,M,340,552,563,1455
,BSX Total,,641,1163,1146,2950
CANADIAN ANGUS X,CAX,F,2,0,0,2
,CAX Total,,2,0,0,2
CHAROLAIS,CH,F,661,503,483,1647
,,M,679,492,478,1649
,CH Total,,1340,995,961,3296
CHAROLAIS X,CHX,F,1655,1182,1051,3888
,,M,1658,1310,1049,4017
,CHX Total,,3313,2492,2100,7905
CHIANINA X,CHIX,F,0,1,0,1
,,M,0,0,1,1
,CHIX Total,,0,1,1,2
CROSS BREED BEEF,CB,F,8,7,4,19
,,M,16,5,8,29
,CB Total,,24,12,12,48
CROSS BREED DAIRY,CD,F,33,132,103,268
,,M,37,95,121,253
,CD Total,,70,227,224,521
DAIRY SHORTHORN,DS,F,170,193,317,680
,,M,186,198,287,671
,DS Total,,356,391,604,1351
,DSHO,F,39,41,41,121
,,M,39,64,45,148
,DSHO Total,,78,105,86,269
DAIRY SHORTHORN X,DSX,F,127,171,170,468
,,M,138,155,173,466
,DSX Total,,265,326,343,934
DANISH RED,DR,F,76,108,96,280
,,M,58,98,107,263
,DR Total,,134,206,203,543
DANISH RED X,DRX,F,73,100,75,248
,,M,59,90,90,239
,DRX Total,,132,190,165,487
DEVON,DEV,F,338,263,205,806
,,M,321,246,211,778
,DEV Total,,659,509,416,1584
DEVON X,DEVX,F,143,86,94,323
,,M,162,106,80,348
,DEVX Total,,305,192,174,671
DEXTER,DEX,F,457,316,291,1064
,,M,465,346,329,1140
,DEX Total,,922,662,620,2204
DEXTER X,DEXX,F,17,11,14,42
,,M,19,10,14,43
,DEXX Total,,36,21,28,85
DUN GALLOWAY,DG,F,0,1,0,1
,DG Total,,0,1,0,1
ESTONIAN RED,ER,F,0,1,0,1
,ER Total,,0,1,0,1
FLECKVIEH,FKV,F,28,50,46,124
,,M,21,47,51,119
,FKV Total,,49,97,97,243
FLECKVIEH CROSS,FKVX,F,87,186,178,451
,,M,106,167,151,424
,FKVX Total,,193,353,329,875
FRIESIAN,FR,F,34,27,21,82
,,M,31,28,32,91
,FR Total,,65,55,53,173
FRIESIAN X,FRX,F,2,4,2,8
,,M,2,1,1,4
,FRX Total,,4,5,3,12
GALLOWAY,GA,F,287,265,261,813
,,M,281,244,266,791
,GA Total,,568,509,527,1604
GALLOWAY X,GAX,F,54,64,33,151
,,M,92,52,32,176
,GAX Total,,146,116,65,327
GASCONNE,GAS,F,5,4,0,9
,,M,9,7,3,19
,GAS Total,,14,11,3,28
GASCONNE X,GASX,F,2,3,0,5
,,M,0,1,0,1
,GASX Total,,2,4,0,6
GELBVIEH,GE,F,9,8,11,28
,,M,4,9,4,17
,GE Total,,13,17,15,45
GELBVIEH X,GEX,F,19,21,13,53
,,M,22,20,13,55
,GEX Total,,41,41,26,108
GLOUCESTER,GL,F,33,20,8,61
,,M,24,21,23,68
,GL Total,,57,41,31,129
GLOUCESTER X,GLX,F,1,4,3,8
,,M,2,5,1,8
,GLX Total,,3,9,4,16
GRONINGER BLAARKOP,GB,F,0,2,1,3
,GB Total,,0,2,1,3
GRONINGER BLAARKOP X,GBX,F,1,0,2,3
,,M,0,1,1,2
,GBX Total,,1,1,3,5
GUERNSEY,GU,F,176,248,239,663
,,M,136,177,198,511
,GU Total,,312,425,437,1174
GUERNSEY X,GUX,F,13,10,11,34
,,M,9,9,19,37
,GUX Total,,22,19,30,71
HEREFORD,H,F,4,0,1,5
,,M,1,0,,1
,H Total,,5,0,1,6
,HE,F,664,525,676,1865
,,M,657,545,688,1890
,HE Total,,1321,1070,1364,3755
HEREFORD (BLACK),HEBL,F,1,0,0,1
,HEBL Total,,1,0,0,1
HEREFORD (BLACK) X,HEBLX,F,14,7,4,25
,,M,10,5,3,18
,HEBLX Total,,24,12,7,43
HEREFORD (RED),HER,M,0,0,1,1
,HER Total,,0,0,1,1
HEREFORD (RED) X,HERX,F,2,0,2,4
,,M,1,1,4,6
,HERX Total,,3,1,6,10
HEREFORD X,HEX,F,2252,1830,1692,5774
,,M,2394,1773,1743,5910
,HEX Total,,4646,3603,3435,11684
,HX,F,9,9,4,22
,,M,13,8,2,23
,HX Total,,22,17,6,45
HIGHLAND,HI,F,424,259,192,875
,,M,425,266,229,920
,HI Total,,849,525,421,1795
,HL,F,0,3,3,6
,,M,3,4,1,8
,HL Total,,3,7,4,14
HIGHLAND X,HIX,F,34,18,25,77
,,M,49,27,18,94
,HIX Total,,83,45,43,171
HOLSTEIN,HO,F,6402,7688,7125,21215
,,M,5698,6328,5847,17873
,HO Total,,12100,14016,12972,39088
HOLSTEIN FRIESIAN,HF,F,38755,46340,46247,131342
,,M,34064,39840,39762,113666
,HF Total,,72819,86180,86009,245008
HOLSTEIN FRIESIAN X,HFX,F,2242,3408,3555,9205
,,M,2081,2995,3139,8215
,HFX Total,,4323,6403,6694,17420
HOLSTEIN X,HOX,F,523,697,682,1902
,,M,444,546,572,1562
