Government Regions,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
,,,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011
East Midland,Dairy,F,"1,708","1,505","1,519","1,278","1,520","1,524","1,391","1,488","1,629","1,358","1,414","1,520","1,383","1,447","1,501","1,791","1,700","1,734","2,155","2,102","1,948","2,350","2,418","2,568","2,446","2,633",0,"2,342","2,182",0,"2,120","2,021",0,"1,699","1,891",0,"22,021","22,321","13,943"
,,M,"1,274","1,222","1,073","1,074","1,215","1,176","1,199","1,244","1,341","1,214","1,189","1,167","1,209","1,164","1,149","1,560","1,514","1,385","1,820","1,778","1,606","2,051","1,933","2,014","2,115","1,998",0,"1,918","1,638",0,"1,625","1,345",0,"1,378","1,235",0,"18,437","17,475","10,911"
,Non Dairy,F,"2,206","2,129","2,248","2,694","2,965","2,876","5,633","5,794","5,870","6,173","6,306","6,795","4,866","5,071","5,256","3,519","3,527","3,510","2,935","3,254","3,000","2,433","2,720","2,396","2,223","2,343",0,"2,138","2,188",0,"1,943","1,942",0,"1,767","1,750",0,"38,530","39,989","31,951"
,,M,"2,227","2,085","2,197","2,615","2,914","2,948","5,657","5,868","5,863","6,528","6,557","6,929","4,959","5,095","5,315","3,583","3,627","3,692","3,043","3,410","3,234","2,553","2,754","2,570","2,288","2,433",0,"2,189","2,262",0,"2,082","2,002",0,"1,831","1,898",0,"39,555","40,905","32,748"
East Midlands/Yorkshire and the Humber,Dairy,F,124,169,173,117,94,133,116,131,134,100,97,89,91,83,93,120,105,82,159,179,177,200,193,264,246,260,0,232,194,0,210,197,0,203,188,0,"1,918","1,890","1,145"
,,M,129,120,135,125,118,123,151,128,142,114,94,66,97,58,104,99,107,94,176,154,146,205,178,236,224,215,0,231,199,0,198,156,0,178,163,0,"1,927","1,690","1,046"
,Non Dairy,F,692,771,783,"1,063","1,220","1,377","2,097","2,110","2,254","1,564","1,755","1,624",942,889,945,525,545,549,405,464,399,318,370,351,413,385,0,508,483,0,570,489,0,494,596,0,"9,591","10,077","8,282"
,,M,701,736,732,"1,026","1,207","1,330","2,009","2,231","2,245","1,627","1,757","1,657","1,007",928,964,552,546,521,419,442,370,360,360,352,447,447,0,471,443,0,583,503,0,510,591,0,"9,712","10,191","8,171"
Eastern,Dairy,F,576,512,486,480,433,393,448,467,448,438,470,355,439,439,405,443,451,377,526,590,541,787,744,610,731,822,0,687,706,0,655,659,0,596,588,0,"6,806","6,881","3,615"
,,M,460,457,429,364,372,340,394,441,369,397,391,309,387,402,403,424,374,382,470,526,447,675,682,509,679,614,0,631,602,0,596,527,0,552,496,0,"6,029","5,884","3,188"
,Non Dairy,F,"1,364","1,392","1,473","1,910","1,973","2,006","3,823","4,082","4,114","3,615","3,772","3,908","2,637","2,579","2,490","1,454","1,500","1,618","1,008","1,142","1,136","1,025","1,027",993,"1,031","1,095",0,990,"1,095",0,977,932,0,"1,088","1,118",0,"20,922","21,707","17,738"
,,M,"1,392","1,384","1,442","1,868","2,149","2,057","3,939","4,127","4,227","3,768","4,056","4,156","2,669","2,681","2,566","1,472","1,549","1,619","1,088","1,235","1,234","1,091","1,044","1,008","1,095","1,086",0,"1,062","1,118",0,978,948,0,"1,048","1,059",0,"21,470","22,436","18,309"
North East,Dairy,F,321,264,333,314,312,311,344,332,335,363,325,316,333,302,298,306,274,313,328,376,316,385,385,416,385,383,0,372,332,0,350,401,0,304,349,0,"4,105","4,035","2,638"
,,M,240,225,220,273,211,259,292,295,278,291,250,253,273,231,240,261,255,238,320,303,265,365,366,291,348,306,0,287,274,0,306,286,0,294,264,0,"3,550","3,266","2,044"
,Non Dairy,F,"1,545","1,592","1,568","1,803","1,919","1,789","5,683","5,830","5,541","6,923","7,347","7,737","5,237","5,470","5,406","2,766","2,924","2,926","1,946","2,065","2,340","2,018","2,197","1,792","2,203","2,517",0,"2,118","1,982",0,"1,602","1,316",0,"1,234","1,422",0,"35,078","36,581","29,099"
,,M,"1,393","1,510","1,612","1,811","1,762","1,723","5,528","5,668","5,469","7,179","7,384","7,787","5,399","5,567","5,541","2,811","3,023","3,023","1,972","2,131","2,352","2,064","2,116","1,994","2,278","2,617",0,"2,161","2,062",0,"1,679","1,392",0,"1,280","1,334",0,"35,555","36,566","29,501"
North West,Dairy,F,"5,786","5,698","6,009","5,350","6,319","6,441","6,042","6,560","6,994","5,821","6,029","6,181","5,345","5,751","5,955","6,395","6,814","6,702","7,520","7,895","8,265","8,193","8,624","9,102","7,972","8,689",0,"7,142","7,193",0,"6,884","7,011",0,"5,861","6,250",0,"78,311","82,833","55,649"
,,M,"4,579","4,886","4,619","4,567","5,372","5,095","5,399","5,815","5,623","5,407","5,072","5,258","5,324","5,157","5,170","5,803","6,020","5,604","6,770","6,937","7,080","7,095","7,296","7,681","7,075","7,011",0,"6,212","5,847",0,"6,135","5,327",0,"5,076","4,557",0,"69,442","69,297","46,130"
,Non Dairy,F,"4,543","4,392","4,329","4,577","4,843","4,503","8,633","8,511","8,625","11,925","11,742","12,051","11,179","11,713","11,626","8,701","8,886","8,481","7,368","7,589","8,006","6,326","6,549","6,711","5,487","5,841",0,"5,102","4,922",0,"4,758","4,292",0,"3,993","4,049",0,"82,592","83,329","64,332"
,,M,"4,780","4,487","4,529","4,849","5,037","4,778","8,859","8,842","8,760","12,216","11,966","12,602","11,635","12,155","12,095","8,960","9,428","8,767","7,657","8,027","8,234","6,682","6,982","7,125","5,874","6,178",0,"5,416","5,299",0,"5,091","4,521",0,"4,139","4,274",0,"86,158","87,196","66,890"
Scotland,Dairy,F,"4,184","4,252","4,340","4,056","4,388","4,705","4,670","4,983","5,319","3,960","4,079","4,338","3,590","3,882","4,146","4,047","4,070","4,108","4,519","4,674","4,819","5,161","5,036","5,267","4,956","5,093",0,"5,023","4,681",0,"4,721","4,593",0,"4,035","4,312",0,"52,922","54,043","37,042"
,,M,"2,646","3,275","2,886","2,902","3,356","2,961","3,462","3,969","3,804","3,161","3,468","3,399","2,973","3,158","3,075","3,234","3,379","3,325","3,777","3,669","3,909","4,140","3,860","4,361","4,132","3,684",0,"4,151","3,260",0,"3,710","3,148",0,"3,201","2,713",0,"41,489","40,939","27,720"
,Non Dairy,F,"7,348","7,586","7,766","10,879","11,767","11,474","37,587","39,473","39,145","50,511","51,060","54,079","38,080","38,459","39,050","20,176","20,486","20,297","12,840","12,938","13,823","12,561","13,089","12,696","13,395","14,099",0,"11,425","10,917",0,"10,389","9,502",0,"5,742","6,247",0,"230,933","235,623","198,330"
,,M,"7,339","7,716","7,804","10,713","11,281","11,035","37,149","38,974","38,603","51,757","52,899","55,613","39,651","40,581","41,170","20,678","21,428","21,344","13,155","13,604","14,471","12,790","13,303","13,115","14,016","14,672",0,"11,939","11,392",0,"10,232","9,713",0,"5,947","6,539",0,"235,366","242,102","203,155"
