Government Regions,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,July,,August,,September,,October,,November,,December,,Totals to Date,,
,,,2010,2011,2012,2010,2011,2012,2010,2011,2012,2010,2011,2012,2010,2011,2012,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2010,2011,2012
East Midland,Dairy,F,"1,506","1,520","1,543","1,521","1,523","1,641","1,490","1,626","1,664","1,412","1,519","1,331","1,445","1,494","1,398","1,699","1,735","2,101","1,947","2,421","2,565","2,635","2,249","2,184","2,262","2,015","2,059","1,889","1,791","22,318","22,290","7,577"
,,M,"1,221","1,072","1,171","1,215","1,176","1,338","1,243","1,340","1,422","1,189","1,169","1,212","1,167","1,151","1,135","1,514","1,389","1,776","1,609","1,930","2,018","1,996","1,826","1,639","1,741","1,348","1,578","1,235","1,439","17,473","17,508","6,278"
,Non Dairy,F,"2,128","2,246","2,169","2,968","2,873","3,458","5,790","5,870","6,364","6,308","6,800","5,954","5,067","5,265","5,113","3,523","3,517","3,255","3,005","2,724","2,401","2,350","2,179","2,190","2,071","1,940","1,926","1,754","1,764","39,997","39,917","23,058"
,,M,"2,086","2,202","2,161","2,912","2,955","3,464","5,873","5,875","6,472","6,558","6,934","6,203","5,099","5,317","5,271","3,634","3,688","3,413","3,233","2,751","2,578","2,426","2,316","2,262","2,190","2,007","2,012","1,898","1,855","40,919","41,155","23,571"
East Midlands/Yorkshire and the Humber,Dairy,F,169,173,163,94,133,117,131,134,163,96,89,101,83,93,103,105,82,179,176,193,264,260,234,194,219,197,200,188,207,"1,889","2,004",647
,,M,120,135,142,118,123,145,128,142,130,95,66,126,58,104,94,107,94,154,147,178,236,215,204,199,208,156,193,163,177,"1,691","1,829",637
,Non Dairy,F,770,785,775,"1,223","1,373","1,532","2,110","2,252","2,227","1,757","1,623","1,413",893,943,838,545,549,464,397,370,352,384,398,482,450,490,569,595,577,"10,083","10,268","6,785"
,,M,737,730,800,"1,204","1,334","1,494","2,231","2,248","2,193","1,755","1,658","1,555",924,966,819,546,523,442,365,360,351,448,411,444,505,502,589,592,541,"10,185","10,221","6,861"
Eastern,Dairy,F,513,485,486,432,393,440,466,448,386,470,355,365,439,405,359,451,378,591,541,744,610,820,653,707,646,658,536,588,481,"6,879","5,931","2,036"
