,,Number Of Births,,,,,,,,,,,,,,,,,,,
,,England,,,,,,,Scotland,,,,,,Wales,,,,,,Total Births For Breed
,,Birth Application,,Register by Death,,,Temporary Calf Passport (PPAF),,Birth Application,,Register by Death,,Temporary Calf Passport (PPAF),,Birth Application,,Register by Death,,Temporary Calf Passport (PPAF),,
,,F,M,F,M,,F,M,F,M,F,M,F,M,F,M,F,M,F,M,
ANGLER ROTVIEH,Non Dairy,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
BAZADAISE,Non Dairy,190,184,0,0,0,0,0,13,11,0,0,0,0,25,15,0,0,0,0,438
BAZADAISE X,Non Dairy,"1,273","1,267",1,0,0,13,10,171,186,0,0,0,0,128,134,0,0,0,0,"3,183"
BEEF SHORTHORN,Non Dairy,"1,283","1,326",3,3,0,0,2,580,650,0,0,0,0,107,137,0,0,0,0,"4,091"
BEEF SHORTHORN X,Non Dairy,"1,062","1,073",1,1,0,0,0,"1,713","1,606",0,0,1,1,79,62,0,0,0,0,"5,599"
BELTED GALLOWAY,Non Dairy,721,751,1,0,0,0,0,274,233,0,0,0,0,22,24,0,0,0,0,"2,026"
BELTED GALLOWAY X,Non Dairy,258,279,1,0,0,0,1,55,69,0,0,0,0,22,13,0,0,0,0,698
BELTED WELSH BLACK,Non Dairy,7,5,0,0,0,0,0,0,0,0,0,0,0,14,19,0,0,0,0,45
BELTED WELSH BLACK X,Non Dairy,0,1,0,0,0,0,0,0,0,0,0,0,0,9,11,0,0,0,0,21
BLONDE D'AQUITAINE,Non Dairy,"2,489","2,634",4,4,0,10,2,307,332,2,2,0,0,382,376,0,2,0,1,"6,547"
BLONDE D'AQUITAINE X,Non Dairy,"25,118","25,169",18,28,0,74,75,"3,622","3,639",2,6,5,1,"2,979","3,015",3,5,7,4,"63,770"
BLUE GREY,Non Dairy,221,195,0,0,0,0,0,167,152,0,0,0,0,0,1,0,0,0,0,736
BLUE GREY X,Non Dairy,2,6,0,0,0,0,0,6,4,0,0,0,0,1,7,0,0,0,0,26
BRETONNE PIE-NOIRE X,Non Dairy,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BRITISH WHITE,Non Dairy,558,531,1,0,0,0,0,4,6,0,0,0,0,62,48,0,0,0,0,"1,210"
BRITISH WHITE X,Non Dairy,297,269,0,0,0,0,0,11,9,0,0,0,0,4,10,0,0,0,0,600
CHIANINA,Non Dairy,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
CHIANINA X,Non Dairy,34,36,0,0,0,0,0,12,11,0,0,0,0,4,3,0,0,0,0,100
CHILLINGHAM,Non Dairy,2,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8
CHILLINGHAM X,Non Dairy,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,4
CROSS BREED BEEF,Non Dairy,124,113,1,1,0,0,0,3,4,0,0,0,0,8,14,0,0,0,0,268
DEVON,Non Dairy,"2,931","2,934",2,3,0,6,2,18,19,0,0,0,0,12,15,0,0,0,0,"5,942"
DEVON X,Non Dairy,"2,457","2,493",1,4,0,50,49,28,36,0,0,0,0,15,28,0,0,0,0,"5,161"
DEXTER,Non Dairy,"2,670","2,825",4,6,0,1,1,88,96,0,0,0,0,233,235,1,0,0,0,"6,160"
DEXTER X,Non Dairy,170,188,1,0,0,2,0,6,8,0,0,0,0,13,12,0,0,0,0,400
GALLOWAY,Non Dairy,"1,024",947,0,2,0,0,0,953,964,3,3,0,0,24,22,0,0,0,0,"3,942"
GALLOWAY X,Non Dairy,267,262,0,0,0,1,0,197,232,0,0,0,1,11,12,0,0,0,0,983
GASCONNE,Non Dairy,10,11,0,0,0,0,0,24,21,0,0,0,0,0,0,0,0,0,0,66
GASCONNE X,Non Dairy,23,21,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,52
GELBVIEH,Non Dairy,168,163,0,1,0,0,0,0,0,0,0,0,0,54,54,0,0,0,0,440
GELBVIEH X,Non Dairy,568,572,0,1,0,0,1,25,34,0,0,0,0,226,248,0,0,1,1,"1,677"
GLOUCESTER,Non Dairy,163,208,1,0,0,0,0,4,2,0,0,0,0,1,3,0,0,0,0,382
GLOUCESTER X,Non Dairy,66,70,0,0,0,1,0,8,12,0,0,0,0,1,2,0,0,0,0,160
HEREFORD,Non Dairy,"6,258","6,432",16,30,0,67,74,372,379,3,0,1,0,"1,244","1,329",6,3,12,19,"16,245"
HEREFORD X,Non Dairy,"29,192","30,373",59,74,0,411,394,"1,864","1,920",5,8,11,16,"7,329","7,565",40,18,90,111,"79,480"
HIGHLAND,Non Dairy,"1,252","1,268",1,2,0,0,0,"2,047","1,942",8,3,0,1,122,109,0,0,0,0,"6,755"
HIGHLAND X,Non Dairy,212,198,0,1,0,1,0,166,198,0,2,0,0,14,12,0,0,0,0,804
IRISH MOILED,Non Dairy,88,77,0,0,0,0,0,3,4,0,0,0,0,8,7,0,0,0,0,187
IRISH MOILED X,Non Dairy,23,41,0,2,0,0,0,3,6,0,0,0,0,0,1,0,0,0,0,76
LINCOLN RED,Non Dairy,822,770,4,0,0,0,0,22,24,0,0,0,0,0,0,0,0,0,0,"1,642"
LINCOLN RED X,Non Dairy,464,500,2,0,0,0,0,29,25,0,0,0,0,38,45,0,0,0,0,"1,103"
LONGHORN,Non Dairy,"1,365","1,409",3,2,0,0,0,72,69,0,0,0,0,132,131,0,0,0,0,"3,183"
LONGHORN X,Non Dairy,483,441,0,0,0,1,6,65,79,0,0,0,0,33,48,0,0,0,0,"1,156"
