,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
,,,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013
,Dairy,F,"1,465","1,084","1,222","1,097","1,268","1,301","1,329","1,289","1,607",909,"1,129","1,284",732,843,760,651,708,549,737,640,0,813,876,0,899,959,0,818,"1,068",0,944,"1,161",0,"1,135","1,221",0,"11,529","12,246","6,723"
,Dairy,M,"1,495","1,266","1,336","1,161","1,470","1,607","1,415","1,567","1,691","1,080","1,356","1,361",883,"1,079",907,782,890,652,817,915,0,961,"1,014",0,"1,150","1,046",0,"1,118","1,277",0,"1,196","1,302",0,"1,306","1,373",0,"13,364","14,555","7,554"
,Non-Dairy,F,819,659,647,734,791,680,"1,210","1,180","1,204","1,482","1,531","1,756","1,154","1,436","1,366",764,865,658,510,590,0,575,522,0,510,520,0,502,589,0,661,658,0,649,734,0,"9,570","10,075","6,311"
,Non-Dairy,M,"1,068",862,869,869,"1,015",907,"1,533","1,439","1,549","1,777","1,876","2,192","1,465","1,692","1,872",926,985,866,646,723,0,611,671,0,678,653,0,661,737,0,805,898,0,884,952,0,"11,923","12,503","8,255"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breed,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
,,,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013,2011,2012,2013
ABERDEEN ANGUS,Non Dairy,F,12,12,16,10,21,13,38,32,50,58,54,61,29,45,52,10,21,21,11,18,0,11,10,0,13,9,0,6,12,0,7,17,0,9,12,,214,263,213
,,M,24,11,22,15,32,20,58,29,48,65,57,86,39,59,58,22,31,30,10,13,0,13,14,0,13,19,0,12,26,0,6,12,0,14,19,,291,322,264
ABERDEEN ANGUS X,Non Dairy,F,117,96,98,117,111,101,163,161,174,182,222,254,154,207,175,102,127,101,76,90,0,79,76,0,71,81,0,78,89,0,121,88,0,112,93,,"1,372","1,441",903
,,M,135,135,141,118,136,160,212,198,264,214,280,318,200,237,261,98,132,127,75,104,0,81,99,0,93,83,0,112,134,0,117,158,0,133,134,,"1,588","1,830","1,271"
AUBRAC,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
AUBRAC X,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,1,0,0
AYRSHIRE,Dairy,F,24,15,19,17,12,10,22,21,25,13,23,43,13,14,19,13,13,8,13,8,0,8,18,0,14,16,0,19,16,0,24,16,0,20,20,,200,192,124
,,M,18,15,19,12,14,12,9,14,15,9,22,13,10,17,13,6,12,8,15,10,0,12,15,0,11,13,0,8,13,0,16,5,0,13,13,,139,163,80
AYRSHIRE X,Dairy,F,9,4,3,8,4,5,3,6,12,1,3,10,3,5,5,2,3,0,1,2,0,2,3,0,1,3,0,0,4,0,4,1,0,6,2,,40,40,35
,,M,5,1,1,1,8,6,9,6,9,3,5,10,1,1,2,1,3,3,1,4,0,0,1,0,1,0,0,0,4,0,3,4,0,4,4,,29,41,31
BAZADAISE,Non Dairy,F,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,2,2,1
,,M,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2,2,0
BAZADAISE X,Non Dairy,F,2,2,1,0,4,0,1,3,2,2,2,3,1,2,3,2,0,2,0,2,0,0,2,0,0,0,0,0,2,0,1,2,0,0,1,,9,22,11
,,M,3,2,1,1,2,0,5,5,1,2,3,3,0,2,3,0,1,2,1,1,0,2,0,0,3,0,0,0,0,0,0,1,0,3,0,,20,17,10
BEEF SHORTHORN,Non Dairy,F,0,1,1,0,2,1,6,2,4,4,7,9,3,8,7,0,2,3,2,3,0,1,5,0,1,0,0,1,1,0,0,3,0,1,0,,19,34,25
,,M,1,1,0,1,1,1,5,1,9,3,10,8,5,7,8,0,1,1,0,2,0,0,0,0,1,2,0,0,2,0,0,0,0,1,1,,17,28,27
BEEF SHORTHORN X,Non Dairy,F,1,3,2,1,1,1,4,5,4,12,6,7,3,11,14,3,3,3,1,3,0,6,1,0,3,2,0,1,1,0,2,2,0,2,1,,39,39,31
,,M,2,3,4,2,3,0,3,6,10,10,7,17,4,6,16,5,4,7,0,1,0,2,4,0,3,1,0,1,2,0,2,3,0,5,3,,39,43,54
BEEFALO,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0
BELTED DUTCH CROSS,Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,2,0,0
BELTED GALLOWAY,Non Dairy,F,2,1,1,0,0,0,1,2,6,2,3,3,3,3,1,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,,11,13,12
,,M,2,0,0,0,0,1,1,1,0,2,3,0,3,2,1,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,3,,13,12,3
BELTED GALLOWAY X,Non Dairy,F,0,0,1,2,0,1,0,3,1,3,0,0,1,1,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,,10,6,3
,,M,1,0,0,1,1,1,1,1,1,1,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,,8,3,4
BELTED WELSH BLACK X,Non Dairy,M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
BISON,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
,,M,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,2,1
BLONDE D'AQUITAINE,Non Dairy,F,5,0,2,4,1,2,4,0,2,3,3,1,4,3,0,3,0,1,0,0,0,0,0,0,1,0,0,1,1,0,5,3,0,0,1,,30,12,8
,,M,1,1,2,1,3,2,2,5,7,4,3,3,5,2,7,2,3,2,3,3,0,1,1,0,3,0,0,1,0,0,2,2,0,0,2,,25,25,23
BLONDE D'AQUITAINE X,Non Dairy,F,19,8,13,21,15,15,37,24,19,39,42,36,36,27,26,14,10,10,14,13,0,11,4,0,4,6,0,7,6,0,8,12,0,11,9,,221,176,119
,,M,17,11,19,18,17,21,26,32,38,38,54,43,34,41,30,17,26,13,19,16,0,9,11,0,10,6,0,7,15,0,18,13,0,17,16,,230,258,164
BLUE ALBION,Dairy,M,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
BLUE ALBION X,Dairy,F,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
,,M,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0
BLUE GREY,Non Dairy,F,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,3,1,0
,,M,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,4,0,3
BLUE GREY X,Non Dairy,F,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,4,3,1
,,M,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,2,3
BRAHMAN X,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
BRITISH BLUE,Non Dairy,F,9,8,6,8,7,6,7,9,7,9,11,9,9,13,5,9,8,2,7,9,0,12,7,0,8,7,0,9,5,0,10,4,0,6,5,,103,93,35
,,M,12,12,6,9,15,9,17,19,10,12,9,15,7,13,13,6,5,5,12,5,0,8,7,0,11,6,0,7,12,0,11,12,0,14,12,,126,127,58
BRITISH BLUE X,Non Dairy,F,125,115,108,85,90,94,119,120,112,112,136,147,102,142,107,96,83,71,64,80,0,89,94,0,85,88,0,84,113,0,122,133,0,125,151,,"1,208","1,345",639
,,M,178,136,150,127,148,133,156,186,141,145,170,172,126,149,139,115,110,110,100,102,0,104,137,0,131,129,0,104,113,0,143,190,0,162,171,,"1,591","1,741",845
BRITISH FRIESIAN,Dairy,F,88,60,67,84,85,83,121,118,147,75,78,106,50,68,62,39,30,24,39,51,0,53,74,0,82,65,0,63,74,0,49,74,0,64,64,,807,841,489
,,M,122,107,105,89,126,141,176,190,156,114,133,135,88,106,89,71,59,70,80,60,0,77,77,0,115,93,0,90,119,0,102,95,0,98,102,,"1,222","1,267",696
BRITISH FRIESIAN X,Dairy,F,24,17,22,34,42,75,70,94,123,54,70,72,17,28,31,11,17,11,7,13,0,14,33,0,28,37,0,23,47,0,12,24,0,11,30,,305,452,334
,,M,36,28,39,62,95,119,128,193,196,65,105,95,25,38,32,20,21,18,13,18,0,27,27,0,37,38,0,36,43,0,13,48,0,29,38,,491,692,499
BRITISH HOLSTEIN,Dairy,F,21,14,6,8,12,12,4,9,2,3,15,12,10,7,3,9,1,10,6,5,0,7,8,0,6,7,0,9,17,0,6,13,0,2,10,,91,118,45
,,M,12,9,7,4,12,12,8,5,9,8,20,12,4,8,5,8,5,4,9,8,0,3,7,0,6,3,0,5,7,0,2,8,0,13,7,,82,99,49
BRITISH HOLSTEIN X,Dairy,F,3,0,3,2,1,1,2,1,5,6,0,5,2,0,2,0,2,0,0,2,0,0,0,0,0,2,0,1,0,0,1,1,0,1,3,,18,12,16
,,M,0,1,3,3,3,5,1,3,3,0,1,5,1,1,2,0,3,2,1,1,0,0,0,0,2,2,0,2,2,0,3,2,0,3,3,,16,22,20
BRITISH WHITE,Non Dairy,F,0,0,0,1,0,1,1,2,1,2,3,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,,6,7,4
,,M,1,1,0,1,1,0,0,2,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,4,7,2
BRITISH WHITE X,Non Dairy,F,1,0,0,0,0,0,0,0,2,0,1,0,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,5,4
,,M,1,0,0,1,0,1,2,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,10,1,1
BROWN SWISS,Dairy,F,15,5,8,2,6,6,13,4,5,1,5,6,4,6,5,6,7,8,4,4,0,3,4,0,3,2,0,7,5,0,6,6,0,2,7,,66,61,38
,,M,7,3,5,2,5,0,5,4,3,5,2,2,3,7,3,2,5,3,2,2,0,6,3,0,4,2,0,6,9,0,5,8,0,3,4,,50,54,16
BROWN SWISS X,Dairy,F,14,4,7,11,3,8,6,7,11,8,4,11,4,4,3,2,2,3,8,4,0,5,2,0,3,6,0,7,13,0,0,1,0,1,5,,69,55,43
,,M,11,8,12,11,11,6,12,6,9,9,6,11,7,13,9,3,6,3,7,5,0,8,12,0,12,7,0,11,6,0,9,8,0,9,8,,109,96,50
CHAROLAIS,Non Dairy,F,4,8,5,3,8,9,9,13,13,19,16,15,21,15,23,11,20,9,9,8,0,6,7,0,5,5,0,5,6,0,5,7,0,4,8,,101,121,74
,,M,9,11,1,12,13,12,21,10,16,25,22,19,23,28,22,20,13,10,16,12,0,9,6,0,8,9,0,8,8,0,7,10,0,6,8,,164,150,80
CHAROLAIS X,Non Dairy,F,42,34,39,45,51,35,98,97,91,184,150,227,139,158,183,71,106,76,42,58,0,40,37,0,31,47,0,32,41,0,39,39,0,34,40,,797,858,651
,,M,72,44,39,73,58,45,118,110,101,234,224,284,173,193,247,92,105,94,47,71,0,42,36,0,36,44,0,45,47,0,38,42,0,49,47,,"1,019","1,021",810
CHIANINA,Non Dairy,F,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0
CHIANINA X,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,2,0,0
,,M,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,1,2
CROSS BREED BEEF,Non Dairy,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,1
,,M,0,0,1,1,4,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,,2,9,3
CROSS BREED DAIRY,Dairy,F,3,3,2,19,17,34,27,21,23,4,27,9,0,6,5,0,0,0,0,1,0,0,4,0,1,2,0,2,4,0,0,2,0,2,2,,58,89,73
,,M,1,2,1,25,5,12,43,16,29,11,22,6,1,1,1,0,0,0,1,0,0,1,1,0,6,1,0,2,0,0,0,0,0,0,0,,91,48,49
DAIRY SHORTHORN,Dairy,F,1,1,0,4,3,2,4,0,3,2,3,5,2,1,1,0,2,1,2,0,0,1,2,0,3,7,0,4,1,0,0,10,0,2,4,,25,34,12
,,M,3,3,1,0,2,0,0,3,3,2,0,5,0,1,3,1,3,2,0,5,0,2,1,0,0,2,0,3,10,0,0,3,0,0,4,,11,37,14
DAIRY SHORTHORN X,Dairy,F,4,3,3,4,4,2,6,3,4,6,2,3,0,1,2,1,1,1,0,1,0,3,0,0,1,0,0,1,3,0,6,7,0,2,3,,34,28,15
,,M,6,4,2,3,0,2,3,3,3,1,4,3,1,1,3,1,3,1,2,1,0,4,3,0,0,3,0,1,0,0,1,6,0,3,5,,26,33,14
DANISH RED,Non Dairy,F,2,0,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,3,2,4
,,M,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,2,1,3
DANISH RED X,Non Dairy,F,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,1,,3,5,4
,,M,0,1,1,2,0,0,0,0,0,1,0,3,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,,7,5,5
DEVON,Non Dairy,F,0,2,0,1,1,1,5,11,16,9,9,15,6,8,10,1,8,2,1,2,0,2,2,0,1,1,0,2,2,0,1,1,0,1,2,,30,49,44
,,M,3,2,2,0,2,6,11,17,20,17,19,15,8,9,15,4,7,6,1,3,0,1,0,0,5,3,0,1,1,0,1,1,0,1,1,,53,65,64
DEVON X,Non Dairy,F,1,4,3,1,7,1,3,7,2,7,1,6,2,4,8,0,4,0,0,1,0,1,3,0,1,2,0,1,2,0,5,1,0,4,5,,26,41,20
,,M,2,5,4,3,4,5,8,5,4,7,6,4,7,9,9,3,2,5,6,5,0,2,5,0,5,1,0,4,4,0,2,7,0,2,6,,51,59,31
DEXTER,Non Dairy,F,1,1,2,3,0,1,5,2,2,1,2,2,2,5,0,1,0,3,1,1,0,0,3,0,0,2,0,0,2,0,1,1,0,2,4,,17,23,10
,,M,2,3,2,1,2,1,2,5,4,4,4,4,3,4,5,3,0,2,1,2,0,0,1,0,0,1,0,0,0,0,2,1,0,1,5,,19,28,18
DEXTER X,Non Dairy,F,0,0,0,2,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,3
,,M,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,2
FLECKVIEH,Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,1,0
,,M,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,,1,2,3
FLECKVIEH CROSS,Dairy,F,1,2,4,3,0,4,0,0,5,1,1,2,2,2,1,2,0,3,4,4,0,0,2,0,4,3,0,0,2,0,2,0,0,3,6,,22,22,19
,,M,3,1,13,4,7,2,1,3,3,1,2,2,1,5,6,0,2,3,5,0,0,5,3,0,5,1,0,2,3,0,5,8,0,1,2,,33,37,29
FRISONA ESPAGNOLA,Dairy,F,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0
,,M,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,4,0,0
GALLOWAY,Non Dairy,F,0,1,1,0,1,3,1,5,2,3,4,4,0,2,2,1,0,2,1,1,0,0,0,0,0,0,0,1,0,0,3,0,0,3,2,,13,16,14
,,M,0,1,1,0,0,3,1,3,5,1,5,3,3,2,5,1,1,0,1,2,0,3,0,0,0,0,0,0,1,0,0,1,0,1,1,,11,17,17
GALLOWAY X,Non Dairy,F,0,1,0,0,1,1,1,0,2,0,1,2,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,,7,4,7
,,M,0,1,1,2,0,4,2,2,1,0,4,3,1,2,1,0,0,1,0,2,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,,8,14,11
GASCONNE,Non Dairy,F,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1
GELBVIEH,Non Dairy,M,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,1
GELBVIEH X,Non Dairy,F,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,,4,1,2
,,M,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,2,1,0,2,0,0,0,0,0,2,0,0,1,0,,10,3,1
GLOUCESTER,Non Dairy,F,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,3,1,3
,,M,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,3,1,3
GLOUCESTER X,Non Dairy,F,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,2,1,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0
