Birth Year,Birth Month,Country,Gov Region,County,Breed Type,Breed,Sex,Application Type,Number Of Births
2015,June     ,England,South West,Avon,Non Dairy,ABERDEEN ANGUS,M,Birth Application,27
2015,June     ,England,Eastern,Cambridgeshire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,7
2015,June     ,England,South East,Berkshire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,6
2015,June     ,England,West Midlands,Shropshire,Non Dairy,ABERDEEN ANGUS,F,Birth Application,26
2015,June     ,England,South West,Gloucestershire,Non Dairy,ABERDEEN ANGUS,F,Birth Application,32
2015,June     ,England,South West,Gloucestershire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,34
2015,June     ,England,Yorkshire and the Humber,North Yorkshire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,124
2015,June     ,England,Yorkshire and the Humber,West Yorkshire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,24
2015,June     ,England,South West,Devon,Non Dairy,ABERDEEN ANGUS,M,Birth Application,164
2015,June     ,England,South East,Berkshire,Non Dairy,ABERDEEN ANGUS,F,Birth Application,10
2015,June     ,England,East Midland,Derbyshire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,61
2015,June     ,England,South East,East Sussex,Non Dairy,ABERDEEN ANGUS,M,Birth Application,8
2015,June     ,England,Eastern,Suffolk,Non Dairy,ABERDEEN ANGUS,M,Birth Application,12
2015,June     ,England,North East,Cleveland,Non Dairy,ABERDEEN ANGUS,M,Birth Application,6
2015,June     ,England,South East,Kent,Non Dairy,ABERDEEN ANGUS,M,Birth Application,9
2015,June     ,England,East Midland,Leicestershire,Non Dairy,ABERDEEN ANGUS,F,Birth Application,9
2015,June     ,England,South East,Oxfordshire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,37
2015,June     ,England,South West,Dorset,Non Dairy,ABERDEEN ANGUS,M,Birth Application,35
2015,June     ,England,South West,Cornwall,Non Dairy,ABERDEEN ANGUS,F,Birth Application,95
2015,June     ,England,East Midland,Northamptonshire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,12
2015,June     ,England,South East,Isle Of Wight,Non Dairy,ABERDEEN ANGUS,F,Birth Application,6
2015,June     ,England,North East,Durham,Non Dairy,ABERDEEN ANGUS,M,Birth Application,38
2015,June     ,England,South East,Buckinghamshire,Non Dairy,ABERDEEN ANGUS,F,Birth Application,5
2015,June     ,England,Eastern,Bedfordshire,Non Dairy,ABERDEEN ANGUS,M,Birth Application,6
2015,June     ,England,North East,Tyne & Wear,Non Dairy,ABERDEEN ANGUS,F,Birth Application,5
2015,June     ,England,North West,Merseyside,Non Dairy,ABERDEEN ANGUS,F,Birth Application,3
2015,June     ,England,South East,Isle Of Wight,Non Dairy,ABERDEEN ANGUS,M,Birth Application,5
2015,June     ,England,Eastern,Suffolk,Non Dairy,ABERDEEN ANGUS,F,Birth Application,10
2015,June     ,England,South West,Somerset,Non Dairy,ABERDEEN ANGUS,M,Birth Application,99
2015,June     ,England,West Midlands,Hereford & Worcester,Non Dairy,ABERDEEN ANGUS,F,Birth Application,33
2015,June     ,England,South West,Wiltshire,Non Dairy,ABERDEEN ANGUS,F,Birth Application,89
