,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
,,,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011
,Dairy,F,"1,208","1,278","1,395","1,023","1,147","1,026","1,039","1,265","1,242",872,941,812,653,723,675,581,679,582,632,748,649,624,734,0,781,896,0,733,892,0,917,"1,021",0,"1,156","1,705",0,"10,219","12,029","6,381"
,Dairy,M,"1,399","1,549","1,414","1,221","1,454","1,094","1,269","1,534","1,311","1,047","1,211",993,907,915,795,820,831,692,951,946,711,974,994,0,"1,041","1,155",0,"1,044","1,072",0,"1,199","1,307",0,"1,433","1,820",0,"13,305","14,788","7,010"
,Non-Dairy,F,733,802,787,681,822,698,"1,014","1,250","1,156","1,335","1,685","1,417","1,133","1,274","1,100",775,718,719,467,519,471,460,455,0,412,522,0,402,531,0,582,625,0,654,891,0,"8,648","10,094","6,348"
,Non-Dairy,M,924,977,"1,038",885,"1,015",836,"1,187","1,515","1,477","1,631","2,046","1,691","1,394","1,547","1,375",902,963,842,632,678,586,525,603,0,523,658,0,574,655,0,719,811,0,879,"1,190",0,"10,775","12,658","7,845"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breed,Breed Type,Sex,January,,,February,,,March,,,April,,,May,,,June,,,July,,,August,,,September,,,October,,,November,,,December,,,Totals to Date,,
,,,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011,2009,2010,2011
ABERDEEN ANGUS,Non Dairy,F,11,16,12,8,13,10,21,43,34,35,57,57,25,40,29,18,21,8,11,7,11,8,9,0,4,15,0,5,4,0,11,7,0,10,13,0,167,245,161
,,M,16,15,24,16,20,15,35,39,50,63,65,60,33,43,34,26,31,18,6,15,10,15,6,0,6,16,0,13,12,0,16,17,0,12,14,0,257,293,211
ABERDEEN ANGUS X,Non Dairy,F,92,102,114,85,107,111,147,188,156,183,227,174,142,160,144,72,71,98,67,75,67,42,59,0,57,95,0,57,67,0,86,91,0,84,120,0,"1,114","1,362",864
,,M,104,123,133,120,134,115,172,221,207,178,275,200,138,221,189,98,101,90,64,81,66,51,101,0,72,87,0,69,84,0,97,116,0,122,178,0,"1,285","1,722","1,000"
ANGLER ROTVIEH X,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0
ANKOLE,Non Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AUSTRALIAN LOWLINE,Dairy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
AYRSHIRE,Dairy,F,9,21,24,17,16,16,16,21,20,9,16,13,8,15,13,9,21,10,21,15,12,17,10,0,14,16,0,13,17,0,9,13,0,14,33,0,156,214,108
,,M,16,15,18,11,12,12,8,15,9,10,18,9,6,15,9,26,8,5,10,6,11,12,12,0,17,13,0,17,10,0,14,18,0,16,18,0,163,160,73
AYRSHIRE X,Dairy,F,3,2,9,3,4,5,9,5,3,3,4,1,2,4,3,0,2,2,1,2,0,1,3,0,2,2,0,2,8,0,1,4,0,6,7,0,33,47,23
,,M,2,4,5,4,1,1,9,7,9,4,7,3,3,3,1,1,1,1,0,4,1,2,7,0,1,3,0,1,6,0,0,2,0,2,2,0,29,47,21
BAZADAISE,Non Dairy,F,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,1,3,2
BAZADAISE X,Non Dairy,F,0,2,2,0,6,0,2,2,1,2,2,2,0,5,1,0,0,2,0,2,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,6,22,8
,,M,0,2,3,1,3,1,0,4,5,1,9,2,4,1,0,2,0,0,2,2,1,0,2,0,1,0,0,1,0,0,1,2,0,2,2,0,15,27,12
BEEF SHORTHORN,Non Dairy,F,0,2,0,1,1,0,2,2,6,2,9,4,3,2,3,0,1,0,1,3,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,10,22,15
,,M,0,0,1,0,2,1,3,7,3,9,13,3,4,7,5,5,1,0,1,3,0,0,2,0,0,2,0,2,1,0,0,0,0,0,0,0,24,38,13
BEEF SHORTHORN X,Non Dairy,F,1,2,1,1,1,1,1,6,4,5,9,12,3,9,2,0,4,2,2,0,1,2,4,0,1,0,0,2,0,0,0,0,0,3,1,0,21,36,23
,,M,1,3,2,1,5,2,1,1,4,6,2,9,5,3,2,3,6,3,2,1,0,2,1,0,0,1,0,2,0,0,2,2,0,2,6,0,27,31,22
BEEFALO,Non Dairy,F,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
BELGIAN BLUE,Non Dairy,F,9,0,0,6,0,0,5,0,0,6,0,0,7,0,0,8,0,0,6,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,53,0,0
,,M,15,0,0,8,0,0,6,0,0,10,0,0,10,0,0,12,0,0,9,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,82,0,0
BELGIAN BLUE X,Non Dairy,F,95,0,0,73,0,0,84,0,0,98,0,0,73,0,0,53,0,0,43,0,0,60,0,0,29,0,0,0,0,0,0,0,0,0,0,0,608,0,0
,,M,149,0,0,101,0,0,89,0,0,101,0,0,97,0,0,67,0,0,64,0,0,72,0,0,32,0,0,0,0,0,0,0,0,0,0,0,772,0,0
BELTED GALLOWAY,Non Dairy,F,1,2,2,0,0,0,3,0,1,2,2,2,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,9,10,9
,,M,0,0,2,0,1,0,1,1,1,0,3,2,1,0,3,1,2,1,0,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,2,0,7,9,10
