1 to 31 DECEMBER 2007,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country of Export,Breed,Sex,Age,,,,,,,,,,,,,
,,,12- 24 Months,24 - 36 Months,36 - 48 Months,48 - 60 Months,60 - 72 Months,Over 72 Months and Over,Total Number of Exports,,,,,,,
Belgium, BLONDE D'AQUITAINE , M ,0,0,0,0,0,1,1,,,,,,,
, BRITISH FRIESIAN , F ,0,0,0,0,1,1,2,,,,,,,
, CHAROLAIS , M ,0,0,0,0,0,1,1,,,,,,,
, CHAROLAIS X , M ,0,0,0,1,0,0,1,,,,,,,
, DEVON , M ,0,0,0,0,0,1,1,,,,,,,
, FRIESIAN , F ,0,0,0,0,0,1,1,,,,,,,
, HEREFORD , M ,0,0,1,0,0,0,1,,,,,,,
, HOLSTEIN FRIESIAN , F ,0,0,0,0,2,0,2,,,,,,,
, HOLSTEIN FRIESIAN , F ,0,0,0,0,0,1,1,,,,,,,
, SIMMENTAL , M ,0,0,0,0,0,1,1,,,,,,,
Ireland, BELGIAN BLUE , M ,1,2,0,0,0,0,3,,,,,,,
Totals,,,1,2,1,1,3,7,15,,,,,,,
,,,,,,,,,,,,,,,,
1st to 24th JANUARY 2008,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country of Export,Breed,Sex,Age,,,,,,,,,,,,,Total Number of Exports
,,,Under 1 Month Old,1 - 2 Months,2 - 3 Months,3 - 4 Months,4 - 5 Months,5 - 6 Months,6 - 12 Months,12- 24 Months,24 - 36 Months,36 - 48 Months,48 - 60 Months,60 - 72 Months,Over 72 Months and Over,
Belgium, AYRSHIRE , M ,1,1,0,0,0,0,0,0,0,0,0,0,0,2
, AYRSHIRE X , M ,2,0,0,0,0,0,0,0,0,0,0,0,0,2
, BRITISH FRIESIAN , M ,83,21,0,0,0,0,0,0,0,0,0,0,0,104
, BRITISH FRIESIAN X , M ,25,4,0,0,0,0,0,0,0,0,0,0,0,29
, BRITISH HOLSTEIN , M ,10,2,0,0,0,0,0,0,0,0,0,0,0,12
, BRITISH HOLSTEIN X , M ,1,2,0,0,0,0,0,0,0,0,0,0,0,3
, BROWN SWISS , M ,1,0,0,0,0,0,0,0,0,0,0,0,0,1
, BROWN SWISS X , M ,1,0,0,0,0,0,0,0,0,0,0,0,0,1
, DAIRY SHORTHORN , M ,3,0,0,0,0,0,0,0,0,0,0,0,0,3
