2006,Number of Notifications,,,,,,,,,,,,,,,,,,
,Agricultural Holding,,,,,,Slaughterhouse,,,,Unallocated,,,,,,Totals,,
,24 TO 36 MONTHS,,37 TO 42 MONTHS,,OVER 42 MONTHS,,24 TO 36 MONTHS,37 TO 42 MONTHS,OVER 42 MONTHS,,24 TO 36 MONTHS,,37 TO 42 MONTHS,,OVER 42 MONTHS,,,,
,Casualty,Fallen Stock,Casualty,Fallen Stock,Casualty,Fallen Stock,Fallen Stock,Fallen Stock,Casualty,Fallen Stock,Casualty,Fallen Stock,Casualty,Fallen Stock,Casualty,Fallen Stock,,,
ABDOMINAL CATASTROPHE,0,86,0,46,108,425,2,0,0,19,0,2,0,0,125,2,815,,
ABOMASTITIS,0,86,0,43,0,555,3,0,0,5,0,0,0,0,0,5,697,,
ABOMASUL PROBLEMS,0,37,0,26,0,228,0,0,0,0,0,0,0,0,0,0,291,,
ACETONAEMIA (KETOSIS),0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,12,,
ARTHRITIS,0,41,0,17,0,"1,154",0,0,0,0,0,0,0,0,0,4,"1,216",,
ATAXIA,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,,
BLACK LEG,0,91,0,18,0,151,0,0,0,0,0,0,0,0,1,0,261,,
BLIND,0,20,0,4,0,72,0,0,0,0,0,0,0,0,0,0,96,,
BLOAT,0,489,0,153,1,"1,844",1,0,0,0,0,1,0,0,0,1,"2,490",,
BLOOD POISONING,0,26,0,3,0,124,0,0,0,0,0,0,0,0,0,0,153,,
BOVINE VIRUS DIARRHOEA,0,37,0,8,0,42,0,0,0,0,0,0,0,0,0,0,87,,
BREATHING PROBLEMS,0,42,0,14,0,148,0,0,0,0,0,0,0,0,0,0,204,,
BROKEN LEG,0,944,0,400,59,"2,434",4,1,0,2,0,1,0,0,79,3,"3,927",,
BROKEN NECK,0,33,0,14,0,96,0,0,0,0,0,0,0,0,2,0,145,,
BULLING INJURY,0,59,0,26,65,252,0,0,0,0,0,0,0,0,64,1,467,,
CALVING PROBLEMS,0,"3,925",0,"1,781",19,"19,333",0,0,0,0,0,2,0,0,14,11,"25,085",,
CANCER,0,11,0,9,0,161,0,0,0,1,0,0,0,0,0,0,182,,
CHOKED,0,141,0,32,0,352,0,0,0,0,0,0,0,0,1,0,526,,
COLIC,0,2,0,2,0,15,0,0,0,0,0,0,0,0,0,0,19,,
DIED AFTER OPERATION,0,11,0,5,0,44,0,0,0,0,0,0,0,0,0,0,60,,
DIGESTIVE PROBLEMS,0,36,0,10,0,160,0,0,0,0,0,0,0,0,0,0,206,,
DOWNER COW,0,"2,172",0,"1,373",34,"18,900",9,4,0,68,0,1,0,1,18,18,"22,598",,
DROWNED,0,163,0,46,0,705,0,0,0,0,0,0,0,0,0,3,917,,
DYSTOCIA,0,116,0,75,0,610,1,0,0,0,0,0,0,0,0,0,802,,
EMPHYSEMA,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,,
ENTORITIS,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,,
EPISTAXIS,0,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,9,,
FARM ACCIDENT,0,50,0,23,265,175,0,0,1,0,0,1,0,0,210,1,726,,
