Country,Breed,Breed Type,Sex,Age Groups,Number of Cattle
 Wales , ABERDEEN ANGUS , Non Dairy , F , 0 to 6 months ,458
 Wales , ABERDEEN ANGUS , Non Dairy , F , 6 to 12 months ,908
 Wales , ABERDEEN ANGUS , Non Dairy , F , 12 to 18 months ,478
 Wales , ABERDEEN ANGUS , Non Dairy , F , 18 to 24 months ,706
 Wales , ABERDEEN ANGUS , Non Dairy , F , 24 to 30 months ,221
 Wales , ABERDEEN ANGUS , Non Dairy , F , 30 to 36 months ,421
 Wales , ABERDEEN ANGUS , Non Dairy , F , 36 to 42 months ,138
 Wales , ABERDEEN ANGUS , Non Dairy , F , 42 to 48 Months ,294
 Wales , ABERDEEN ANGUS , Non Dairy , F , 48 to 54 months ,135
 Wales , ABERDEEN ANGUS , Non Dairy , F , 54 to 60 months ,286
 Wales , ABERDEEN ANGUS , Non Dairy , F , 60 to 66 months ,70
 Wales , ABERDEEN ANGUS , Non Dairy , F , 66 to 72 months ,234
 Wales , ABERDEEN ANGUS , Non Dairy , F , 72 to 78 months ,110
 Wales , ABERDEEN ANGUS , Non Dairy , F , 78 to 84 months ,203
 Wales , ABERDEEN ANGUS , Non Dairy , F , 84 to 90 months ,88
 Wales , ABERDEEN ANGUS , Non Dairy , F , 90 to 96 months ,153
 Wales , ABERDEEN ANGUS , Non Dairy , F , 96 to102 months ,72
 Wales , ABERDEEN ANGUS , Non Dairy , F , 102+months ,638
 Wales , ABERDEEN ANGUS , Non Dairy , F ,,7
 Wales , ABERDEEN ANGUS , Non Dairy , M , 0 to 6 months ,509
 Wales , ABERDEEN ANGUS , Non Dairy , M , 6 to 12 months ,958
 Wales , ABERDEEN ANGUS , Non Dairy , M , 12 to 18 months ,471
 Wales , ABERDEEN ANGUS , Non Dairy , M , 18 to 24 months ,547
 Wales , ABERDEEN ANGUS , Non Dairy , M , 24 to 30 months ,136
 Wales , ABERDEEN ANGUS , Non Dairy , M , 30 to 36 months ,148
 Wales , ABERDEEN ANGUS , Non Dairy , M , 36 to 42 months ,29
 Wales , ABERDEEN ANGUS , Non Dairy , M , 42 to 48 Months ,97
 Wales , ABERDEEN ANGUS , Non Dairy , M , 48 to 54 months ,15
 Wales , ABERDEEN ANGUS , Non Dairy , M , 54 to 60 months ,65
 Wales , ABERDEEN ANGUS , Non Dairy , M , 60 to 66 months ,10
 Wales , ABERDEEN ANGUS , Non Dairy , M , 66 to 72 months ,42
 Wales , ABERDEEN ANGUS , Non Dairy , M , 72 to 78 months ,9
 Wales , ABERDEEN ANGUS , Non Dairy , M , 78 to 84 months ,26
 Wales , ABERDEEN ANGUS , Non Dairy , M , 84 to 90 months ,2
 Wales , ABERDEEN ANGUS , Non Dairy , M , 90 to 96 months ,13
 Wales , ABERDEEN ANGUS , Non Dairy , M , 96 to102 months ,3
 Wales , ABERDEEN ANGUS , Non Dairy , M , 102+months ,22
 Wales , ABERDEEN ANGUS , Non Dairy , M ,,4
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 0 to 6 months ,"2,909"
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 6 to 12 months ,"3,281"
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 12 to 18 months ,"2,104"
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 18 to 24 months ,"2,472"
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 24 to 30 months ,943
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 30 to 36 months ,928
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 36 to 42 months ,467
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 42 to 48 Months ,752
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 48 to 54 months ,343
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 54 to 60 months ,595
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 60 to 66 months ,272
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 66 to 72 months ,608
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 72 to 78 months ,337
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 78 to 84 months ,475
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 84 to 90 months ,258
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 90 to 96 months ,329
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 96 to102 months ,196
 Wales , ABERDEEN ANGUS X , Non Dairy , F , 102+months ,"1,644"
 Wales , ABERDEEN ANGUS X , Non Dairy , F ,,22
 Wales , ABERDEEN ANGUS X , Non Dairy , M , 0 to 6 months ,"2,949"
 Wales , ABERDEEN ANGUS X , Non Dairy , M , 6 to 12 months ,"3,726"
 Wales , ABERDEEN ANGUS X , Non Dairy , M , 12 to 18 months ,"2,029"
 Wales , ABERDEEN ANGUS X , Non Dairy , M , 18 to 24 months ,"2,040"
 Wales , ABERDEEN ANGUS X , Non Dairy , M , 24 to 30 months ,581
 Wales , ABERDEEN ANGUS X , Non Dairy , M , 30 to 36 months ,127
 Wales , ABERDEEN ANGUS X , Non Dairy , M , 36 to 42 months ,32
 Wales , ABERDEEN ANGUS X , Non Dairy , M , 42 to 48 Months ,13
 Wales , ABERDEEN ANGUS X , Non Dairy , M , 48 to 54 months ,3
 Wales , ABERDEEN ANGUS X , Non Dairy , M , 54 to 60 months ,6
 Wales , ABERDEEN ANGUS X , Non Dairy , M , 60 to 66 months ,2
 Wales , ABERDEEN ANGUS X , Non Dairy , M , 66 to 72 months ,8
 Wales , ABERDEEN ANGUS X , Non Dairy , M , 78 to 84 months ,5
 Wales , ABERDEEN ANGUS X , Non Dairy , M , 102+months ,6
 Wales , ABERDEEN ANGUS X , Non Dairy , M ,,8
 Wales , ABERDEEN ANGUS X , Non Dairy ,, 0 to 6 months ,1
 Wales , ANGLER ROTVIEH , Non Dairy , F , 36 to 42 months ,1
 Wales , ANGLER ROTVIEH , Non Dairy , F , 78 to 84 months ,1
 Wales , ANGLER ROTVIEH , Non Dairy , F , 84 to 90 months ,4
 Wales , ANGLER ROTVIEH , Non Dairy , F , 90 to 96 months ,1
 Wales , ANGLER ROTVIEH , Non Dairy , F , 96 to102 months ,1
 Wales , ANGLER ROTVIEH , Non Dairy , M , 12 to 18 months ,1
 Wales , ANGLER ROTVIEH X , Non Dairy , F , 6 to 12 months ,1
 Wales , ANGLER ROTVIEH X , Non Dairy , F , 18 to 24 months ,1
 Wales , ANGLER ROTVIEH X , Non Dairy , F , 102+months ,1
 Wales , ANKOLE , Non Dairy , F , 24 to 30 months ,1
 Wales , AUSTRALIAN LOWLINE , Non Dairy , M , 18 to 24 months ,1
 Wales , AYRSHIRE , Dairy , F , 0 to 6 months ,409
 Wales , AYRSHIRE , Dairy , F , 6 to 12 months ,353
 Wales , AYRSHIRE , Dairy , F , 12 to 18 months ,385
 Wales , AYRSHIRE , Dairy , F , 18 to 24 months ,339
 Wales , AYRSHIRE , Dairy , F , 24 to 30 months ,376
 Wales , AYRSHIRE , Dairy , F , 30 to 36 months ,291
 Wales , AYRSHIRE , Dairy , F , 36 to 42 months ,436
 Wales , AYRSHIRE , Dairy , F , 42 to 48 Months ,313
 Wales , AYRSHIRE , Dairy , F , 48 to 54 months ,310
 Wales , AYRSHIRE , Dairy , F , 54 to 60 months ,218
 Wales , AYRSHIRE , Dairy , F , 60 to 66 months ,251
 Wales , AYRSHIRE , Dairy , F , 66 to 72 months ,172
 Wales , AYRSHIRE , Dairy , F , 72 to 78 months ,165
 Wales , AYRSHIRE , Dairy , F , 78 to 84 months ,147
 Wales , AYRSHIRE , Dairy , F , 84 to 90 months ,146
 Wales , AYRSHIRE , Dairy , F , 90 to 96 months ,113
 Wales , AYRSHIRE , Dairy , F , 96 to102 months ,113
 Wales , AYRSHIRE , Dairy , F , 102+months ,339
 Wales , AYRSHIRE , Dairy , F ,,1
 Wales , AYRSHIRE , Dairy , M , 0 to 6 months ,94
 Wales , AYRSHIRE , Dairy , M , 6 to 12 months ,86
 Wales , AYRSHIRE , Dairy , M , 12 to 18 months ,81
 Wales , AYRSHIRE , Dairy , M , 18 to 24 months ,28
 Wales , AYRSHIRE , Dairy , M , 24 to 30 months ,31
 Wales , AYRSHIRE , Dairy , M , 30 to 36 months ,28
 Wales , AYRSHIRE , Dairy , M , 36 to 42 months ,11
 Wales , AYRSHIRE , Dairy , M , 42 to 48 Months ,9
 Wales , AYRSHIRE , Dairy , M , 48 to 54 months ,7
 Wales , AYRSHIRE , Dairy , M , 60 to 66 months ,2
 Wales , AYRSHIRE , Dairy , M , 72 to 78 months ,2
 Wales , AYRSHIRE , Dairy , M , 84 to 90 months ,1
 Wales , AYRSHIRE X , Dairy , F , 0 to 6 months ,141
 Wales , AYRSHIRE X , Dairy , F , 6 to 12 months ,115
 Wales , AYRSHIRE X , Dairy , F , 12 to 18 months ,79
 Wales , AYRSHIRE X , Dairy , F , 18 to 24 months ,105
 Wales , AYRSHIRE X , Dairy , F , 24 to 30 months ,84
 Wales , AYRSHIRE X , Dairy , F , 30 to 36 months ,178
 Wales , AYRSHIRE X , Dairy , F , 36 to 42 months ,92
 Wales , AYRSHIRE X , Dairy , F , 42 to 48 Months ,128
 Wales , AYRSHIRE X , Dairy , F , 48 to 54 months ,64
 Wales , AYRSHIRE X , Dairy , F , 54 to 60 months ,93
 Wales , AYRSHIRE X , Dairy , F , 60 to 66 months ,30
 Wales , AYRSHIRE X , Dairy , F , 66 to 72 months ,80
 Wales , AYRSHIRE X , Dairy , F , 72 to 78 months ,71
 Wales , AYRSHIRE X , Dairy , F , 78 to 84 months ,68
 Wales , AYRSHIRE X , Dairy , F , 84 to 90 months ,51
 Wales , AYRSHIRE X , Dairy , F , 90 to 96 months ,33
 Wales , AYRSHIRE X , Dairy , F , 96 to102 months ,30
 Wales , AYRSHIRE X , Dairy , F , 102+months ,107
 Wales , AYRSHIRE X , Dairy , M , 0 to 6 months ,75
 Wales , AYRSHIRE X , Dairy , M , 6 to 12 months ,33
 Wales , AYRSHIRE X , Dairy , M , 12 to 18 months ,44
 Wales , AYRSHIRE X , Dairy , M , 18 to 24 months ,27
 Wales , AYRSHIRE X , Dairy , M , 24 to 30 months ,22
 Wales , AYRSHIRE X , Dairy , M , 30 to 36 months ,16
 Wales , AYRSHIRE X , Dairy , M , 36 to 42 months ,2
 Wales , BAZADAISE , Non Dairy , F , 0 to 6 months ,3
 Wales , BAZADAISE , Non Dairy , F , 6 to 12 months ,7
 Wales , BAZADAISE , Non Dairy , F , 12 to 18 months ,1
 Wales , BAZADAISE , Non Dairy , F , 18 to 24 months ,2
 Wales , BAZADAISE , Non Dairy , F , 24 to 30 months ,1
 Wales , BAZADAISE , Non Dairy , F , 30 to 36 months ,2
 Wales , BAZADAISE , Non Dairy , F , 42 to 48 Months ,6
 Wales , BAZADAISE , Non Dairy , F , 48 to 54 months ,1
 Wales , BAZADAISE , Non Dairy , F , 54 to 60 months ,2
 Wales , BAZADAISE , Non Dairy , F , 60 to 66 months ,1
 Wales , BAZADAISE , Non Dairy , F , 66 to 72 months ,4
 Wales , BAZADAISE , Non Dairy , F , 78 to 84 months ,1
 Wales , BAZADAISE , Non Dairy , F , 84 to 90 months ,2
 Wales , BAZADAISE , Non Dairy , F , 90 to 96 months ,11
 Wales , BAZADAISE , Non Dairy , F , 102+months ,15
 Wales , BAZADAISE , Non Dairy , M , 0 to 6 months ,2
 Wales , BAZADAISE , Non Dairy , M , 6 to 12 months ,4
 Wales , BAZADAISE , Non Dairy , M , 12 to 18 months ,1
 Wales , BAZADAISE , Non Dairy , M , 18 to 24 months ,1
 Wales , BAZADAISE , Non Dairy , M , 24 to 30 months ,2
 Wales , BAZADAISE , Non Dairy , M , 30 to 36 months ,2
 Wales , BAZADAISE , Non Dairy , M , 42 to 48 Months ,3
 Wales , BAZADAISE , Non Dairy , M , 48 to 54 months ,1
 Wales , BAZADAISE , Non Dairy , M , 54 to 60 months ,3
 Wales , BAZADAISE , Non Dairy , M , 66 to 72 months ,2
 Wales , BAZADAISE , Non Dairy , M , 72 to 78 months ,1
 Wales , BAZADAISE , Non Dairy , M , 102+months ,1
 Wales , BAZADAISE X , Non Dairy , F , 0 to 6 months ,33
 Wales , BAZADAISE X , Non Dairy , F , 6 to 12 months ,57
 Wales , BAZADAISE X , Non Dairy , F , 12 to 18 months ,48
 Wales , BAZADAISE X , Non Dairy , F , 18 to 24 months ,33
 Wales , BAZADAISE X , Non Dairy , F , 24 to 30 months ,27
 Wales , BAZADAISE X , Non Dairy , F , 30 to 36 months ,13
 Wales , BAZADAISE X , Non Dairy , F , 36 to 42 months ,6
 Wales , BAZADAISE X , Non Dairy , F , 42 to 48 Months ,17
 Wales , BAZADAISE X , Non Dairy , F , 48 to 54 months ,2
 Wales , BAZADAISE X , Non Dairy , F , 54 to 60 months ,7
 Wales , BAZADAISE X , Non Dairy , F , 60 to 66 months ,7
 Wales , BAZADAISE X , Non Dairy , F , 66 to 72 months ,6
 Wales , BAZADAISE X , Non Dairy , F , 84 to 90 months ,6
 Wales , BAZADAISE X , Non Dairy , F , 90 to 96 months ,7
 Wales , BAZADAISE X , Non Dairy , F , 102+months ,24
 Wales , BAZADAISE X , Non Dairy , M , 0 to 6 months ,38
 Wales , BAZADAISE X , Non Dairy , M , 6 to 12 months ,65
 Wales , BAZADAISE X , Non Dairy , M , 12 to 18 months ,34
 Wales , BAZADAISE X , Non Dairy , M , 18 to 24 months ,18
 Wales , BAZADAISE X , Non Dairy , M , 24 to 30 months ,5
 Wales , BAZADAISE X , Non Dairy , M , 30 to 36 months ,1
 Wales , BEEF SHORTHORN , Non Dairy , F , 0 to 6 months ,65
 Wales , BEEF SHORTHORN , Non Dairy , F , 6 to 12 months ,130
 Wales , BEEF SHORTHORN , Non Dairy , F , 12 to 18 months ,36
 Wales , BEEF SHORTHORN , Non Dairy , F , 18 to 24 months ,124
 Wales , BEEF SHORTHORN , Non Dairy , F , 24 to 30 months ,39
