Age at Import (months),Breed Type,Sex,DENMARK,FRANCE,GERMANY,IRELAND,ITALY,NETHERLANDS,NORTHERN IRELAND,SWEDEN,Totals
Under 1,Non Dairy,F,0,0,0,0,0,0,0,1,1
4 to 5,Dairy,F,0,0,0,0,0,0,1,0,1
,Non Dairy,F,0,0,0,0,0,0,0,0,0
5 to 6,Dairy,F,0,0,0,0,0,0,3,0,3
6 to 12,Dairy,F,0,0,0,0,0,0,20,0,20
,,M,0,0,0,0,0,3,0,0,3
,Non Dairy,F,0,4,0,0,0,0,0,0,4
,,M,0,3,0,0,0,0,2,0,5
12 to 24,Dairy,F,17,4,79,290,0,165,29,0,584
,,M,0,0,1,2,0,4,23,0,30
,Non Dairy,F,0,16,0,3,0,0,58,0,77
,,M,2,5,0,1,0,0,110,1,119
24 to 30,Dairy,F,4,74,238,130,0,306,1,0,753
,,M,0,0,0,0,0,0,5,0,5
,Non Dairy,F,0,11,0,0,0,0,46,0,57
,,M,0,0,0,0,0,0,59,0,59
30 to 36,Dairy,F,1,25,62,97,0,37,0,0,222
,,M,0,0,0,1,0,0,2,0,3
,Non Dairy,F,0,2,0,0,0,0,33,1,36
,,M,0,0,0,0,0,0,33,0,33
36 to 48,Dairy,F,0,28,15,42,0,22,0,0,107
,Non Dairy,F,0,16,0,1,0,0,3,0,20
,,M,0,0,0,0,0,0,1,0,1
48 to 60,Dairy,F,0,2,0,10,0,0,0,0,12
,Non Dairy,F,0,4,0,0,0,0,0,0,4
60 to 72,Dairy,F,0,2,0,3,0,0,0,0,5
,,M,0,0,2,0,2,0,0,0,4
,Non Dairy,F,0,0,0,0,0,0,0,0,0
72 and Over,Dairy,F,0,0,0,3,0,0,0,0,3
,,M,0,0,1,0,2,0,0,0,3
,Non Dairy,F,0,2,0,0,0,0,0,0,2
,,M,0,1,0,0,0,0,0,0,1
Totals,,,24,199,398,583,4,537,429,3,"2,177"
