,,Leases In,,Leases Out,,
ENGLAND,County,No. of Leases,Quota Leased,No. of Leases,Quota Leased,Net
,Avon,0,0,0,0,0
,Bedfordshire,0,0,0,0,0
,Berkshire,0,0,0,0,0
,Buckinghamshire,0,0,0,0,0
,Cambridgeshire,0,0,0,0,0
,Cheshire,0,0,0,0,0
,Cleveland,0,0,0,0,0
,Cornwall & Isles of Scilly,0,0,0,0,0
,Cumbria,0,0,0,0,0
,Derbyshire,0,0,0,0,0
,Devon,0,0,0,0,0
,Dorset,0,0,0,0,0
,Durham,0,0,0,0,0
,East Sussex,0,0,0,0,0
,Essex,0,0,0,0,0
,Gloucestershire,0,0,0,0,0
,Greater London,0,0,0,0,0
,Greater Manchester,0,0,0,0,0
,Hampshire,0,0,0,0,0
,Hereford and Worcester,0,0,0,0,0
,Hertfordshire,0,0,0,0,0
,Humberside,0,0,0,0,0
,Isle of Wight,0,0,0,0,0
,Kent,0,0,0,0,0
,Lancashire,0,0,0,0,0
,Leicestershire,0,0,0,0,0
,Lincolnshire,0,0,0,0,0
,Merseyside,0,0,0,0,0
,Norfolk,0,0,0,0,0
,North Yorkshire,0,0,0,0,0
,Northamptonshire,0,0,0,0,0
,Northumberland,0,0,0,0,0
,Nottinghamshire,0,0,0,0,0
,Oxfordshire,0,0,0,0,0
,Shropshire,0,0,0,0,0
,Somerset,1,"1,800,000",1,"-1,800,000",0
,South Yorkshire,0,0,0,0,0
,Staffordshire,0,0,0,0,0
,Suffolk,0,0,0,0,0
,Surrey,0,0,0,0,0
,Tyne and Wear,0,0,0,0,0
,Warwickshire,0,0,0,0,0
,West Midlands,0,0,0,0,0
,West Sussex,0,0,0,0,0
,West Yorkshire,0,0,0,0,0
,Wiltshire,0,0,0,0,0
,Total,1,"1,800,000",1,"-1,800,000",0
,,,,,,
WALES,County,No. of Leases,Quota Leased,No. of Leases,Quota Leased,Net
,Clwyd,0,0,0,0,0
,Dyfed,0,0,0,0,0
,Gwent,0,0,0,0,0
,Gwynedd,0,0,0,0,0
,Mid Glamorgan,0,0,0,0,0
,Powys,0,0,0,0,0
,South Glamorgan,0,0,0,0,0
,West Glamorgan,0,0,0,0,0
,Total,0,0,0,0,0
SCOTLAND,County,No. of Leases,Quota Leased,No. of Leases,Quota Leased,Net
,Borders,0,0,0,0,0
,Central,0,0,0,0,0
,Dumfries and Galloway,0,0,0,0,0
,Fife,0,0,0,0,0
,Grampian,0,0,0,0,0
,Highland,0,0,0,0,0
,Lothian,0,0,0,0,0
,Orkney,0,0,0,0,0
,Strathclyde,0,0,0,0,0
,Tayside,0,0,0,0,0
,Western Isles,0,0,0,0,0
,Total,0,0,0,0,0
N IRELAND,County,No. of Leases,Quota Leased,No. of Leases,Quota Leased,Net
,Antrim,0,0,1,"-800,000","-800,000"
,Armagh,0,0,0,0,0
,Down,0,0,0,0,0
,Fermanagh,0,0,0,0,0
,Londonderry,0,0,0,0,0
,Tyrone,1,"800,000",0,0,"800,000"
,Total,1,"800,000",1,"-800,000",0
,UK Totals,2,"2,600,000",2,"-2,600,000",0
