,,,,,,,,,
ENGLAND,Region,No. of Direct Sellers,Total Volume Sold,,,,,,
,"East (Bedfordshire, Cambridgeshire, Essex, Hertfordshire, Norfolk, Suffolk)",13,"1,196,180",,,,,,
,"East Midlands (Derbyshire, Leicestershire, Lincolnshire, Northants, Nottinghamshire)",16,"5,388,282",,,,,,
,"North East (Cleveland, Durham, Northumberland, Tyne & Wear)",4,"1,159,055",,,,,,
,Cheshire,10,"808,433",,,,,,
,Cumbria,9,"633,596",,,,,,
,Greater Manchester,12,"3,093,296",,,,,,
,Lancashire & Merseyside,26,"13,406,767",,,,,,
,"South East (Berks, Bucks, Hants, IoW, Kent, London, Oxon, Surrey, East & West Sussex)",30,"4,878,253",,,,,,
,"Avon, Somerset, Dorset, Wilts & Gloucs",38,"27,739,188",,,,,,
,Cornwall & Isles of Scilly,13,"1,327,022",,,,,,
,Devon,15,"2,803,334",,,,,,
,"West Midlands (inc. Hereford & Worcester, Shropshire, Staffordshire & Warwickshire)",18,"9,779,266",,,,,,
,Humberside & Yorkshire,38,"16,641,325",,,,,,
,Grand Total,242,"88,853,997",,,,,,
"N I, S & W",Country,No. of Direct Sellers,Total Volume Sold,,,,,,
,Wales,11,"2,239,875",,,,,,
,Scotland,16,"9,121,107",,,,,,
,Northern Ireland,3,"6,437,688",,,,,,
,Grand Total,30,"17,798,670",,,,,,
,,No. of Direct Sellers,Total Volume Sold,,,,,,
,UK Totals,272,"106,652,667",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
