,England,,Wales,,Scotland,,Northern Ireland,,Total,
Amount of Permanent Wholesale Quota,No. of Quota Holders,Permanent Quota,No. of Quota Holders,Permanent Quota,No. of Quota Holders,Permanent Quota,No. of Quota Holders,Permanent Quota,No. of Quota Holders,Permanent Quota
"< 100,000",895,"15,298,568",141,"1,607,344",66,"1,245,973",27,"30,060,556","1,129","48,212,441"
"100,000 - 199,999",105,"14,706,711",5,"629,687",13,"1,933,029",0,0,123,"17,269,427"
"200,000 - 499,999",114,"36,771,844",3,"865,555",11,"2,998,301",1,"449,235",129,"41,084,935"
"500,000 - 749,999",36,"21,681,789",1,"619,544",6,"3,588,802",0,0,43,"25,890,135"
"750,000 - 999,999",22,"19,179,795",0,0,1,"779,660",1,"840,882",24,"20,800,337"
"1,000,000 - 1,249,999",10,"11,191,323",0,0,4,"4,157,246",1,"1,050,698",15,"16,399,267"
"1,250,000 - 1,499,999",2,"2,909,539",0,0,1,"1,471,231",0,0,3,"4,380,770"
"1,500,000 - 1,749,999",3,"4,740,893",0,0,1,"1,525,961",1,"1,509,263",5,"7,776,117"
"1,750,000 - 1,999,999",1,"1,820,124",0,0,0,0,1,"1,952,453",2,"3,772,577"
"2,000,000 - 2,249,999",4,"8,660,719",0,0,0,0,0,0,4,"8,660,719"
"2,250,000 - 2,499,999",1,"2,430,540",0,0,0,0,0,0,1,"2,430,540"
"2,500,000 - 2,749,999",0,0,0,0,0,0,0,0,0,0
"2,750,000 - 2,999,999",1,"2,750,229",0,0,0,0,0,0,1,"2,750,229"
"3,000,000 - 4,999,999",2,"8,374,157",0,0,0,0,0,0,2,"8,374,157"
"> 5,000,000",8,"81,546,442",0,0,0,0,0,0,8,"81,546,442"
Totals,"1,204","232,062,673",150,"3,722,130",103,"17,700,203",32,"35,863,087","1,489","289,348,093"
