Premise Type,Dairy,Non Dairy,Totals,Dairy holdings,,Herd ,Number of cattle ,Number of holdings
Agricultural Holding,1,0,1,100.00%,,<10,"6,922","2,422"
Agricultural Holding,1,0,1,100.00%,,10 to <30,"13,936",761
Agricultural Holding,1,0,1,100.00%,,30 to <40,"9,004",261
Agricultural Holding,1,0,1,100.00%,,40 to <50,"11,088",249
Agricultural Holding,1,0,1,100.00%,,50 to <70,"33,407",560
Agricultural Holding,1,0,1,100.00%,,70 to <100,"87,639","1,028"
Agricultural Holding,1,0,1,100.00%,,100 to <200,"569,850","3,804"
Agricultural Holding,1,0,1,100.00%,,200 and over ,"2,615,205","6,968"
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,Totals,"3,347,051","16,053"
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,200 to <300,736446,3002
Agricultural Holding,1,0,1,100.00%,,300 to <400,625179,1812
Agricultural Holding,1,0,1,100.00%,,400 to <500,427080,964
Agricultural Holding,1,0,1,100.00%,,500 to <600,294587,542
Agricultural Holding,1,0,1,100.00%,,600 to <700,174286,270
Agricultural Holding,1,0,1,100.00%,,700 to <800,108073,145
Agricultural Holding,1,0,1,100.00%,,800 to <900,77134,91
Agricultural Holding,1,0,1,100.00%,,900 to <1000,43198,46
Agricultural Holding,1,0,1,100.00%,,1000 and over,129222,96
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,2615205,6968
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Landless Keeper,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Landless Keeper,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Landless Keeper,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
Agricultural Holding,1,0,1,100.00%,,,,
