,,Direct Sales Quota,,Wholesale Quota,,Total,
ENGLAND,County Name,No. of Holders,Permanent Quota,No. of Holders,Permanent Quota,Distinct Holders,Permanent Quota
,Avon,6,"6,446,946",181,"176,242,974",181,"182,689,920"
,Bedfordshire,0,0,18,"21,228,814",18,"21,228,814"
,Berkshire,4,"376,684",26,"46,191,730",27,"46,568,414"
,Buckinghamshire,4,"390,042",43,"65,838,347",43,"66,228,389"
,Cambridgeshire,0,0,9,"17,028,043",9,"17,028,043"
,Cheshire,19,"1,845,823",626,"830,277,325",626,"832,123,148"
,Cleveland,1,"75,668",53,"46,049,073",53,"46,124,741"
,Cornwall & Isles of Scilly,22,"2,699,296",563,"584,594,052",565,"587,293,348"
,Cumbria,16,"344,113",876,"893,812,479",877,"894,156,592"
,Derbyshire,7,"1,877,558",407,"332,398,268",406,"334,275,826"
,Devon,21,"4,822,285","1,019","1,062,967,904","1,020","1,067,790,189"
,Dorset,8,"5,626,582",360,"516,797,543",360,"522,424,125"
,Durham,2,"29,436",57,"49,321,100",57,"49,350,536"
,East Sussex,6,"282,835",42,"51,759,418",42,"52,042,253"
,Essex,2,"1,219,906",17,"23,161,884",17,"24,381,790"
,Gloucestershire,13,"999,379",200,"233,265,656",201,"234,265,035"
,Greater London,1,"602,715",3,"4,266,267",3,"4,868,982"
,Greater Manchester,17,"4,788,888",44,"26,385,321",47,"31,174,209"
,Hampshire,6,"522,793",86,"144,019,867",86,"144,542,660"
,Hereford and Worcester,9,"5,360,892",183,"175,862,412",184,"181,223,304"
,Hertfordshire,3,"2,634,469",15,"14,500,115",16,"17,134,584"
,Humberside,2,"20,389",31,"23,733,545",32,"23,753,934"
,Isle of Wight,5,"680,649",17,"15,418,502",17,"16,099,151"
,Kent,9,"931,777",61,"86,337,816",62,"87,269,593"
,Lancashire,50,"18,827,332",632,"542,658,712",636,"561,486,044"
,Leicestershire,0,0,152,"159,970,715",152,"159,970,715"
,Lincolnshire,4,"2,296,036",47,"58,575,004",47,"60,871,040"
,Merseyside,0,0,13,"16,397,543",13,"16,397,543"
,Norfolk,7,"639,263",59,"72,300,439",59,"72,939,702"
,North Yorkshire,18,"4,511,749",507,"487,259,054",509,"491,770,803"
,Northamptonshire,1,"86,723",30,"40,968,759",30,"41,055,482"
