Age in Years,Welsh Black,Welsh Black Cross,Other Non Dairy Breeds,Total Non Dairy Cattle
0,"9,677","3,251","1,722,132","1,735,060"
1,"8,981","3,191","1,427,195","1,439,367"
2,"6,080","1,552","529,592","537,224"
3,"3,502",769,"274,277","278,548"
4,"2,844",649,"223,025","226,518"
5,"2,492",507,"198,144","201,143"
6,"2,117",440,"168,580","171,137"
7,"1,871",474,"152,074","154,419"
8,"1,735",385,"134,207","136,327"
9,"1,311",345,"111,437","113,093"
10,"1,032",298,"98,048","99,378"
11,835,281,"85,598","86,714"
12,711,246,"65,131","66,088"
13,684,289,"81,340","82,313"
14,578,251,"113,747","114,576"
15,155,27,"8,878","9,060"
16,84,45,"6,687","6,816"
17,45,14,"3,478","3,537"
18,29,15,"1,944","1,988"
19,36,2,"1,279","1,317"
20,18,2,708,728
21,15,6,649,670
22,4,3,289,296
23,9,1,181,191
24,1,0,93,94
25,1,0,65,66
26,1,0,31,32
27,0,0,15,15
28,0,0,11,11
29,0,0,6,6
30,1,0,3,4
31,1,0,2,3
34,0,0,1,1
Age not known,93,30,"14,159","14,282"
Total ,"44,943","13,073","5,423,006","5,481,022"
