"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OF5","85726","96259","Military","296.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OF4","70760","84218","Military","1114.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OF3","50417","64199","Military","3587.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OF2","40025","50124","Military","3932.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OF1","25984","35744","Military","1268.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OR9","47488","50685","Military","1206.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OR8","41002","47895","Military","3161.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OR7","37698","47895","Military","5084.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OR6","33490","41441","Military","7365.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OR4","29769","35378","Military","12159.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OR3","25525","29899","Military","12504.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OR2","18489","29899","Military","21115.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Director of Studies","70968","73807","Business Management","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","B1","60041","73272","Teaching","3.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Senior Lecturer RMAS","37976","44935","Teaching","21.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Senior Lecturer RMAS","37976","44935","Training Support","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Senior Lecturer (Special Responsibilities)","38056","48390","Teaching","10.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Senior Lecturer (Special Responsibilities)","38056","48390","Training Support","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Academic Professor of Music (6048)","57678","57678","Specialist Instruction","2.57","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Academic Professor of Music (6048)","57678","57678","Training Support","1.62","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Soulbury Tier 4","59744","66207","Teaching Support","2.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Retired Officer 1","40261","44935","Business Management","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Retired Officer 2","32093","36879","Administrative Support","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Retired Officer 2","32093","36879","Business Management","3.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Retired Officer 2","32093","36879","Direct Military Support","3.76","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Retired Officer 2","32093","36879","Obsolete Security","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Retired Officer 2","32093","36879","Service HR Expert","0.69","Human Resources"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Retired Officer 2","32093","36879","Teaching","0.65","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Retired Officer 2","32093","36879","Training Support","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Retired Officer 3","27139","29530","Business Management","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Retired Officer 3","27139","29530","Direct Military Support","0.69","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Medical Officer","60193","73272","Business Management","0.43","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Civilian Medical Practitioner","67043","79646","General Practice Medical","1.00","Medicine"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Mess Manager A","25001","29530","Soft Facilities Management","1.00","Property and asset management"
