"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","DVLA","Commercial","203","Grade 6","57855","66533","Senior Procurement Officer","4.00","Procurement"
"Department for Transport","DVLA","Commercial","203","Grade 7","46696","53700","Senior Procurement Officer","9.00","Procurement"
"Department for Transport","DVLA","Commercial","203","SEO","37428","41173","Senior Business Manager","1.00","Other"
"Department for Transport","DVLA","Commercial","203","SEO","37428","41173","Senior Procurement Officer","23.16","Procurement"
"Department for Transport","DVLA","Commercial","203","HEO","29832","32367","Business Support Manager","3.04","Other"
"Department for Transport","DVLA","Commercial","203","HEO","29832","32367","Procurement Officer","1.00","Communications"
"Department for Transport","DVLA","Commercial","203","HEO","29832","32367","Procurement Officer","30.99","Procurement"
"Department for Transport","DVLA","Commercial","203","EO","25259","26120","Business Support Manager","4.00","Other"
"Department for Transport","DVLA","Commercial","203","EO","25259","26120","Procurement Officer","24.42","Procurement"
"Department for Transport","DVLA","Commercial","203","AO","20855","20855","Procurement Support Officer","8.19","Procurement"
"Department for Transport","DVLA","Commercial","203","AO","20855","20855","Business Support","13.52","Other"
"Department for Transport","DVLA","Commercial","203","AA","17275","17275","Business Support","8.00","Other"
"Department for Transport","DVLA","Estates","192","Grade 6","57855","66533","Senior Estates Manager","1.00","Property and asset management"
"Department for Transport","DVLA","Estates","192","Grade 7","46696","53700","Senior Estates Manager","1.00","Property and asset management"
"Department for Transport","DVLA","Estates","192","SEO","37428","41173","Senior Estates Manager","3.00","Property and asset management"
"Department for Transport","DVLA","Estates","192","HEO","29832","32367","Estates Officer","12.70","Property and asset management"
"Department for Transport","DVLA","Estates","192","EO","25259","26120","Estates Officer","13.00","Property and asset management"
"Department for Transport","DVLA","Estates","192","AO","20855","20855","Business Support","0.68","Other"
"Department for Transport","DVLA","Estates","192","AO","20855","20855","Estates Support Officer","21.82","Property and asset management"
"Department for Transport","DVLA","Estates","192","AA","17275","17275","Estates Support Officer","39.64","Property and asset management"
"Department for Transport","DVLA","Finance","195","Grade 6","57855","66533","Senior Finance  Manager","3.00","Finance"
"Department for Transport","DVLA","Finance","195","Grade 7","46696","53700","Senior Finance  Manager","11.65","Finance"
"Department for Transport","DVLA","Finance","195","SEO","37428","41173","Senior Business Manager","2.00","Other"
"Department for Transport","DVLA","Finance","195","SEO","37428","41173","Senior Finance  Manager","26.81","Finance"
"Department for Transport","DVLA","Finance","195","HEO","29832","32367","Business Support Manager","1.00","Other"
"Department for Transport","DVLA","Finance","195","HEO","29832","32367","Communications Manager","1.00","Communications"
"Department for Transport","DVLA","Finance","195","HEO","29832","32367","Finance Officer","24.40","Finance"
"Department for Transport","DVLA","Finance","195","EO","25259","26120","Business Support Manager","4.00","Other"
"Department for Transport","DVLA","Finance","195","EO","25259","26120","Finance Officer","17.84","Finance"
"Department for Transport","DVLA","Finance","195","AO","20855","20855","Business Support","2.00","Other"
"Department for Transport","DVLA","Finance","195","AO","20855","20855","Finance Support Officer","19.11","Finance"
"Department for Transport","DVLA","Finance","195","AA","17275","17275","Finance Support Officer","12.71","Finance"
"Department for Transport","DVLA","Human Resources","192","Grade 6","57855","66533","Senior HR Manager","2.00","Human Resources"
"Department for Transport","DVLA","Human Resources","192","Grade 7","46696","53700","Senior HR Manager","7.31","Human Resources"
"Department for Transport","DVLA","Human Resources","192","SEO","37428","41173","Senior Business Manager","1.00","Other"
"Department for Transport","DVLA","Human Resources","192","SEO","37428","41173","Senior HR Manager","21.31","Human Resources"
"Department for Transport","DVLA","Human Resources","192","HEO","29832","32367","Business Support Manager","1.00","Other"
"Department for Transport","DVLA","Human Resources","192","HEO","29832","32367","Communications Manager","1.00","Communications"
"Department for Transport","DVLA","Human Resources","192","HEO","29832","32367","HR Officer","42.62","Human Resources"
"Department for Transport","DVLA","Human Resources","192","EO","25259","26120","HR Officer","23.95","Human Resources"
"Department for Transport","DVLA","Human Resources","192","AO","20855","20855","HR Support Officer","6.54","Human Resources"
"Department for Transport","DVLA","Human Resources","192","AA","17275","17275","HR Support Officer","4.85","Human Resources"
"Department for Transport","DVLA","Information Systems","197","Grade 6","57855","66533","Senior Business Manager","2.00","Other"
"Department for Transport","DVLA","Information Systems","197","Grade 6","57855","66533","Senior IT Manager","10.00","Information Technology"
"Department for Transport","DVLA","Information Systems","197","Grade 6","57855","66533","Senior Project Manager","11.00","Programme and Project Management (PPM)"
"Department for Transport","DVLA","Information Systems","197","Grade 7","46696","53700","Senior Business Manager","4.81","Other"
"Department for Transport","DVLA","Information Systems","197","Grade 7","46696","53700","Senior IT Manager","38.00","Information Technology"
"Department for Transport","DVLA","Information Systems","197","Grade 7","46696","53700","Senior Project Manager","56.50","Programme and Project Management (PPM)"
"Department for Transport","DVLA","Information Systems","197","SEO","37428","41173","Senior Business Manager","8.70","Other"
"Department for Transport","DVLA","Information Systems","197","SEO","37428","41173","Senior IT Manager","112.31","Information Technology"
"Department for Transport","DVLA","Information Systems","197","SEO","37428","41173","Senior Project Manager","73.33","Programme and Project Management (PPM)"
"Department for Transport","DVLA","Information Systems","197","HEO","29832","32367","Business Support Manager","23.46","Other"
"Department for Transport","DVLA","Information Systems","197","HEO","29832","32367","Communications Manager","1.81","Communications"
"Department for Transport","DVLA","Information Systems","197","HEO","29832","32367","IT Manager","67.04","Information Technology"
"Department for Transport","DVLA","Information Systems","197","HEO","29832","32367","Project Manager","46.52","Programme and Project Management (PPM)"
"Department for Transport","DVLA","Information Systems","197","EO","25259","26120","Business Support Manager","9.00","Other"
"Department for Transport","DVLA","Information Systems","197","EO","25259","26120","IT Manager","73.57","Information Technology"
"Department for Transport","DVLA","Information Systems","197","EO","25259","26120","Project Support Manager","37.93","Programme and Project Management (PPM)"
"Department for Transport","DVLA","Information Systems","197","AO","20855","20855","IT Support Officer","23.44","Information Technology"
"Department for Transport","DVLA","Information Systems","197","AO","20855","20855","Project Support Officer","1.81","Programme and Project Management (PPM)"
"Department for Transport","DVLA","Information Systems","197","AO","20855","20855","Business Support","3.90","Other"
"Department for Transport","DVLA","Information Systems","197","AA","17275","17275","IT Support Officer","4.00","Information Technology"
"Department for Transport","DVLA","Information Systems","197","AA","17275","17275","Project Support Officer","2.00","Programme and Project Management (PPM)"
"Department for Transport","DVLA","Operations","196","Grade 6","57855","66533","Head of Contact Centre","1.00","Operational Delivery"
"Department for Transport","DVLA","Operations","196","Grade 6","57855","66533","Senior Business Manager","3.57","Operational Delivery"
"Department for Transport","DVLA","Operations","196","Grade 6","57855","66533","Senior Operational Manager","33.43","Medicine"
"Department for Transport","DVLA","Operations","196","Grade 6","57855","66533","Senior Operational Manager","4.00","Operational Delivery"
"Department for Transport","DVLA","Operations","196","Grade 7","46696","53700","Contact Centre Senior Manager","2.00","Operational Delivery"
"Department for Transport","DVLA","Operations","196","Grade 7","46696","53700","Senior Business Manager","6.82","Operational Delivery"
"Department for Transport","DVLA","Operations","196","Grade 7","46696","53700","Senior Business Manager","2.00","Other"
"Department for Transport","DVLA","Operations","196","Grade 7","46696","53700","Senior Operational Manager","8.00","Operational Delivery"
"Department for Transport","DVLA","Operations","196","SEO","37428","41173","Contact Centre Senior Manager","9.00","Operational Delivery"
"Department for Transport","DVLA","Operations","196","SEO","37428","41173","Senior Business Manager","25.80","Operational Delivery"
"Department for Transport","DVLA","Operations","196","SEO","37428","41173","Senior Business Manager","6.00","Other"
"Department for Transport","DVLA","Operations","196","SEO","37428","41173","Senior Operational Manager","29.38","Operational Delivery"
"Department for Transport","DVLA","Operations","196","HEO","29832","32367","Business Support Manager","30.83","Operational Delivery"
"Department for Transport","DVLA","Operations","196","HEO","29832","32367","Business Support Manager","25.54","Other"
"Department for Transport","DVLA","Operations","196","HEO","29832","32367","Communications Manager","2.00","Communications"
"Department for Transport","DVLA","Operations","196","HEO","29832","32367","Contact Centre Team Manager","21.00","Operational Delivery"
"Department for Transport","DVLA","Operations","196","HEO","29832","32367","Operational Manager","9.02","Medicine"
"Department for Transport","DVLA","Operations","196","HEO","29832","32367","Operational Manager","56.01","Operational Delivery"
"Department for Transport","DVLA","Operations","196","EO (London)","25259","26120","Operational Team Leader","6.00","Operational Delivery"
"Department for Transport","DVLA","Operations","196","EO","25259","26120","Business Support Manager","6.00","Operational Delivery"
"Department for Transport","DVLA","Operations","196","EO","25259","26120","Business Support Manager","61.99","Other"
"Department for Transport","DVLA","Operations","196","EO","25259","26120","Communications Manager","6.00","Communications"
"Department for Transport","DVLA","Operations","196","EO","25259","26120","Contact Centre Team Leader","108.62","Operational Delivery"
"Department for Transport","DVLA","Operations","196","EO","25259","26120","Operational Team Leader","311.22","Operational Delivery"
"Department for Transport","DVLA","Operations","196","AO (London)","20855","20855","Operations Support Officer","4.00","Operational Delivery"
"Department for Transport","DVLA","Operations","196","AO","20855","20855","Business Support","32.03","Other"
"Department for Transport","DVLA","Operations","196","AO","20855","20855","Contact Centre Officer","908.21","Operational Delivery"
"Department for Transport","DVLA","Operations","196","AO","20855","20855","Communications Support Officer","5.38","Communications"
"Department for Transport","DVLA","Operations","196","AO","20855","20855","Operations Support Officer","1349.45","Operational Delivery"
"Department for Transport","DVLA","Operations","196","AA","17275","17275","Contact Centre Officer","2.93","Operational Delivery"
"Department for Transport","DVLA","Operations","196","AA","17275","17275","Operations Support Officer","999.09","Operational Delivery"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","Grade 6","57855","66533","Senior Communications Manager","1.00","Communications"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","Grade 6","57855","66533","Knowledge Information Management Senior Manager","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","Grade 7","46696","53700","Senior Communications Manager","2.81","Communications"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","Grade 7","46696","53700","Legal Advisor","0.80","Law"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","Grade 7","46696","53700","Senior Policy Adviser","6.53","Policy"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","Grade 7","46696","53700","Knowledge Information Management Senior Manager","2.00","Knowledge and Information Management (KIM)"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","SEO","37428","41173","Senior Communications Manager","2.81","Communications"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","SEO","37428","41173","Senior Policy Adviser","17.86","Policy"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","SEO","37428","41173","Knowledge Information Management Senior Manager","2.00","Knowledge and Information Management (KIM)"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","HEO","29832","32367","Business Support Manager","2.13","Other"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","HEO","29832","32367","Communications Manager","11.86","Communications"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","HEO","29832","32367","Communications Manager","1.00","Communications"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","HEO","29832","32367","Policy Adviser","39.73","Policy"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","HEO","29832","32367","Knowledge Information Management Manager","7.81","Knowledge and Information Management (KIM)"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","EO","25259","26120","Business Support Manager","2.64","Other"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","EO","25259","26120","Communications Manager","19.87","Communications"
"Department for Transport","DVLA","Strategy, Policy & Communciations","193","EO","25259","26120","Policy Adviser","34.96","Policy"
