"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF5","85726","96259","Army","10.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF4","70760","84218","Army","34.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF3","50417","64199","Army","105.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF2","40025","50124","Army","92.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF1","25984","35744","Army","30.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR9","47488","50685","Army","52.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR8","41002","47895","Army","119.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR7","37698","47895","Army","137.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR6 Nurses","37739","40861","Army","3.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR6","33490","41441","Army","233.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR4 Nurses","32076","35907","Army","2.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR4","29769","35378","Army","286.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR3","25525","29899","Army","195.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR2","18489","29899","Army","131.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF5","85726","96259","Royal Air Force","10.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF4","70760","84218","Royal Air Force","21.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF3","50417","64199","Royal Air Force","73.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF2","40025","50124","Royal Air Force","59.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF1","25984","35744","Royal Air Force","18.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR9","47488","50685","Royal Air Force","34.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR7","37698","47895","Royal Air Force","79.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR6","33490","41441","Royal Air Force","224.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR4","29769","35378","Royal Air Force","267.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR2","18489","29899","Royal Air Force","236.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF5","85726","96259","Royal Navy","6.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF4","70760","84218","Royal Navy","14.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF3","50417","64199","Royal Navy","44.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF2","40025","50124","Royal Navy","32.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR9","47488","50685","Royal Navy","21.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR8","41002","47895","Royal Navy","10.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR7","37698","47895","Royal Navy","68.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR6","33490","41441","Royal Navy","61.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR4","29769","35378","Royal Navy","67.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR3","25525","29899","Royal Navy","2.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR2","18489","29899","Royal Navy","19.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF5","85726","96259","Army","7.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF4","70760","84218","Army","16.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF3","50417","64199","Army","34.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF2","40025","50124","Army","15.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR9","47488","50685","Army","9.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR8","41002","47895","Army","16.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR7","37698","47895","Army","10.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR6","33490","41441","Army","10.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR4","29769","35378","Army","5.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR3","25525","29899","Army","3.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF5","85726","96259","Royal Air Force","4.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF4","70760","84218","Royal Air Force","12.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF3","50417","64199","Royal Air Force","30.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF2","40025","50124","Royal Air Force","23.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF1","25984","35744","Royal Air Force","4.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR9","47488","50685","Royal Air Force","12.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR7","37698","47895","Royal Air Force","24.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR6","33490","41441","Royal Air Force","38.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR4","29769","35378","Royal Air Force","50.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR2","18489","29899","Royal Air Force","22.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF5","85726","96259","Royal Navy","5.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF4","70760","84218","Royal Navy","9.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF3","50417","64199","Royal Navy","13.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF2","40025","50124","Royal Navy","11.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OF1","25984","35744","Royal Navy","1.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR9","47488","50685","Royal Navy","4.00","Military"
"Ministry of Defence","Ministry of Defence","Joint Forces Command","1926203","OR8","41002","47895","Royal Navy","1.00","Military"
