"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band A","50534","67969","Policy Officer","0.80","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band A","50534","67969","Policy Manager","0.80","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band A","50534","67969","Policy Advisor","0.60","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band A","50534","67969","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band A","50534","67969","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band A","50534","67969","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band A","50534","67969","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band A","50534","67969","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band A","50534","67969","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band A","50534","67969","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band A","50534","67969","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band A","50534","67969","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band B","35188","44964","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band B","35188","44964","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band B","35188","44964","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band B","35188","44964","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band B","35188","44964","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band B","35188","44964","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band C","29465","36061","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band C","29465","36061","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band C","29465","36061","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Fast Streamer","27500","43400","Policy Advisor","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band D","24007","28000","Correspondence Manager","1.00","Policy"
"Ministry of Justice","Ministry of Justice","Criminal Justice Group","CJG1001","Band D","24007","28000","Policy Advisor","1.00","Policy"
