"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFMCEO","Rank 0","70445","77583","Director","2.00","Policy"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Rank 2","46000","50024","Senior Management","3.00","Policy"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM542","Rank 2","46000","50024","Senior Management","3.00","Policy"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFMCEO","Rank 3","35152","45302","Head of Department","2.00","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM542","Rank 3","35152","45302","Head of Department","10.00","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Rank 4","29306","40780","Manager/Senior Specialist","2.40","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM542","Rank 4","29306","40780","Manager/Senior Specialist","14.60","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFMCEO","Rank 5","22163","30985","Manager/Senior Specialist","1.00","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Rank 5","22163","30985","Manager/Senior Specialist","3.80","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM542","Rank 5","22163","30985","Supervisor/Senior Assistant","28.60","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFMCEO","Rank 6","18974","27964","Supervisor/Senior Assistant","13.00","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Rank 6","18974","27964","Supervisor/Senior Assistant","4.00","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM542","Rank 6","18974","27964","Supervisor/Senior Assistant","18.50","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFMCEO","Rank 7","16407","23503","Supervisor/Senior Assistant","2.94","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Rank 7","16407","23503","Supervisor/Senior Assistant","4.00","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM542","Rank 7","16407","23503","Assistant","5.83","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFMCEO","Rank 8","16182","19552","Assistant","54.03","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM515","Apprentice","14764","17863","Assistant","1.00","Other"
"Ministry of Defence","Royal Air Force Museum","Royal Air Force Museum","RAFM542","Apprentice","14764","17863","Assistant","9.00","Other"
