"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","2ND ENGINEER","36996","40368","2nd Engineer","4.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","2ND OFFICER","32496","36060","2nd Officer","7.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","F","32928","47040","Acceptance Engineer","1.00","Science and Engineering"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","D","21396","28524","Administration and Stores Officer","1.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","A","13956","17376","Administration Assistant/Receptionist","2.00","Communications"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","D","21396","28524","Aids to Navigation (AToN) Inspector","1.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","F","32928","47040","Area Maintenance Engineer","3.00","Science and Engineering"
"Department for Transport","The Northern Lighthouse Board","Finance & Admin. Dept","NLB02","C","20220","25272","Assistant Facilities Officer","1.00","Property and Asset Management"
"Department for Transport","The Northern Lighthouse Board","Chief Executive's Office","NLB01","D","21396","28524","Assistant to the Chief Executive/Secretary to the Board","1.00","Policy"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","C","20220","25272","Base Assistant","6.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","BOATSWAIN","27216","29784","Boatswain","4.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","E","26484","35316","Buoyage Engineer","1.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","SM1","38532","55044","Business Development Manager","1.00","Programme and Project Management (PPM)"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","SM2","44820","64032","Capital Projects Engineer","1.00","Science and Engineering"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","CATERER","27216","28524","Caterer","4.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","CHIEF CATERER","27216","29784","Chief Caterer","4.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","CHIEF ENGINEER","41964","49464","Chief Engineer","4.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","CHIEF OFFICER","36996","40368","Chief Officer","4.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","SM1","38532","55044","Civil Engineer","2.00","Science and Engineering"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","E","26484","35316","Civil Engineering Technician","5.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","F","32928","47040","Civil Incorporated Engineer","2.00","Science and Engineering"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","F","32928","47040","Civil Maintenance Engineer","1.00","Science and Engineering"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","E","26484","35316","Clerk of Works","1.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","E","26484","35316","Coastal Inspector","1.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Finance & Admin. Dept","NLB02","C","20220","25272","Commercial Co-ordinator","1.00","Procurement"
"Department for Transport","The Northern Lighthouse Board","Finance & Admin. Dept","NLB02","SM1","38532","55044","Commercial Manager","1.00","Procurement"
"Department for Transport","The Northern Lighthouse Board","Finance & Admin. Dept","NLB02","E","26484","35316","Compliance Officer","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","B","15456","19260","Database Administrator","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","C","20220","25272","Database Assistant","1.00","Knowledge and Information Management (KIM)"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","F","32928","47040","Differential Global Positioning System (DGPS) Engineer","1.00","Science and Engineering"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","SM1","38532","55044","Electrical Engineer (Maintenance)","1.00","Science and Engineering"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","E","26484","35316","Electrical Engineering Technician","4.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","F","32928","47040","Electrical Incorporated Engineer","1.00","Science and Engineering"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","EME","36996","40368","Electromechanical Engineer","2.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","ER TECHNICIAN","27216","29784","Engineroom Technician","4.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Finance & Admin. Dept","NLB02","D","21396","28524","Facilities Officer","1.00","Property and Asset Management"
"Department for Transport","The Northern Lighthouse Board","Finance & Admin. Dept","NLB02","B","15456","19260","Finance Assistant","2.00","Finance"
"Department for Transport","The Northern Lighthouse Board","Finance & Admin. Dept","NLB02","SM1","38532","55044","Finance Manager","1.00","Finance"
"Department for Transport","The Northern Lighthouse Board","Chief Executive's Office","NLB01","E","26484","35316","Health & Safety Officer","3.00","Human resources"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","D","21396","28524","Helicopter and Buoy Co-ordinator","1.00","Property and Asset Management"
"Department for Transport","The Northern Lighthouse Board","Chief Executive's Office","NLB01","E","26484","35316","HR Advisor","2.00","Human resources"
"Department for Transport","The Northern Lighthouse Board","Chief Executive's Office","NLB01","A","13956","17376","HR Assistant","0.80","Human resources"
"Department for Transport","The Northern Lighthouse Board","Chief Executive's Office","NLB01","C","20220","25272","HR Coordinator","1.00","Human resources"
"Department for Transport","The Northern Lighthouse Board","Chief Executive's Office","NLB01","SM1","38532","55044","HR Manager","0.80","Human resources"
"Department for Transport","The Northern Lighthouse Board","Chief Executive's Office","NLB01","E","26484","35316","Information Officer","0.90","Knowledge and Information Management (KIM)"
"Department for Transport","The Northern Lighthouse Board","Finance & Admin. Dept","NLB02","SM1","38532","55044","Information Systems Manager","1.00","Information Technology"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","F","32928","47040","Instrumentation, Control & Automation (ICA) Engineer","1.00","Science and Engineering"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","SM2","44820","64032","Maintenance Engineer","1.00","Science and Engineering"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","E","26484","35316","Maintenance Systems Engineer","1.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Finance & Admin. Dept","NLB02","D","21396","28524","Management Accountant Trainee","0.80","Finance"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","D","21396","28524","Marine Co-ordinator","1.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","SM2","44820","64032","Marine Operations Manager","1.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","C","20220","25272","Marine Personnel Assistant","1.00","Human resources"
"Department for Transport","The Northern Lighthouse Board","Marine Operations Dept","NLB04","MASTER","46356","53412","Master","4.00","Operational delivery"
"Department for Transport","The Northern Lighthouse Board","Engineering Dept","NLB03","SM1","38532","55044","Mechanical Engineer","1.00","Science and Engineering"
