"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Transport","Passenger Focus","Passenger Focus","CEO","Band A","13295","17660","Passenger Focus Assistant","1.00","Operational Delivery"
"Department for Transport","Passenger Focus","Passenger Focus","CEO","Band C","23169","35374","Passenger Focus Co-ordinator","3.00","Operational Delivery"
"Department for Transport","Passenger Focus","Passenger Focus","CEO","Band D","33132","49889","Passenger Focus Policy Executive","2.00","Policy"
"Department for Transport","Passenger Focus","Passenger Focus","CEO","Band D","33132","49889","Passenger Focus Researcher","6.80","Operational Research"
"Department for Transport","Passenger Focus","Passenger Focus","CEO","Band E","47109","65924","Passenger Focus Manager","7.00","Operational Delivery"
"Department for Transport","Passenger Focus","Passenger Focus","PTD2011","Band C","23169","35374","Passenger Focus Adviser","6.80","Operational Delivery"
"Department for Transport","Passenger Focus","Passenger Focus","PTD2011","Band C","23169","35374","Passenger Focus Co-ordinator","4.00","Programme and Project Management (PPM)"
"Department for Transport","Passenger Focus","Passenger Focus","PTD2011","Band D","33132","49889","Passenger Focus Executive","2.00","Operational Delivery"
"Department for Transport","Passenger Focus","Passenger Focus","PTD2011","Band E","47109","65924","Passenger Focus Manager","3.00","Operational Delivery"
"Department for Transport","Passenger Focus","Passenger Focus","RPCFD","Band C","23169","35374","Passenger Focus Co-ordinator","0.80","Finance"
"Department for Transport","Passenger Focus","Passenger Focus","RPCFD","Band D","33132","49889","Passenger Focus Executive","1.00","Finance"
"Department for Transport","Passenger Focus","Passenger Focus","RPCFD","Band C","23169","35374","Passenger Focus Co-ordinator","1.00","Operational Delivery"
"Department for Transport","Passenger Focus","Passenger Focus","RPCFD","Band D","33132","49889","Passenger Focus Executive","1.00","Operational Delivery"
