"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Plymouth Business Centre","V3","VOA Band 1","54120","67856","Senior Business Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Business Services","V2","VOA Band 1","54120","67856","Policy Senior Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Business Services","V2","VOA Band 1","54120","67856","Policy Senior Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Chief Operating Officer","V3","VOA Band 1","54120","67856","Policy Senior Manager","0.81","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Chief Operating Officer","V3","VOA Band 1","54120","67856","Policy Senior Support Officer","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Strategy People & Change","V9","VOA Band 1","54120","67856","Senior Policy Manager","1.00","Human Resources"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Analysis & Information","V9","VOA Band 1","54120","67856","Senior Policy Manager","1.00","Statisticians"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Customer Strategy & Insight","V9","VOA Band 1","54120","67856","Senior Policy Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Corporate Communications","V13","VOA Band 1","54120","67856","Senior Communications Manager","1.00","Communications"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Corporate Communications","V13","VOA Band 1","54120","67856","Not In Post","1.00","Communications"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Agency Security Programme","V2","VOA Band 1","54120","67856","Senior Policy Manager","1.00","Knowledge and Information Management (KIM)"
"Her Majesty's Revenue and Customs","Valuation Office Agency","VOA 2015 Strategy","V9","VOA Band 1","54120","67856","Project Senior Manager","1.00","Programme and Project Management (PPM)"
"Her Majesty's Revenue and Customs","Valuation Office Agency","Data Strategy","V2","VOA Band 1","54120","67856","Policy Senior Manager","1.00","Knowledge and Information Management (KIM)"
"Her Majesty's Revenue and Customs","Valuation Office Agency","CS Caseworker Costs","V7","VOA Band 1","54120","67856","Senior Business Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","CS Caseworker Costs","V7","VOA Band 1","54120","67856","Senior Business Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","CS Caseworker Costs","V7","VOA Band 1","54120","67856","Senior Business Manager","1.00","Operational Delivery"
"Her Majesty's Revenue and Customs","Valuation Office Agency","CS Caseworker Costs","V7","VOA Band 1","54120","67856","Senior Business Manager","1.00","Operational Delivery"
