"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Transport","Active Travel England","Active Travel England","25276458","EO","26780","31483","Administrative or secretarial support","<5","Operational Delivery Profession","Yorkshire and The Humber"
"Department for Transport","Active Travel England","Active Travel England","25278939","EO","26780","31483","Briefing & Correspondence","<5","Operational Delivery Profession","Yorkshire and The Humber"
"Department for Transport","Active Travel England","Active Travel England","25280890","G6","61940","73442","Chief of Staff","<5","Operational Delivery Profession","Yorkshire and The Humber"
"Department for Transport","Active Travel England","Active Travel England","25276459","G6","61940","73442","Head of Department","<5","Policy Profession","London"
"Department for Transport","Active Travel England","Active Travel England","25280890","G6","61940","73442","Head of Department","<5","Government Finance Profession","London"
"Department for Transport","Active Travel England","Active Travel England","25280890","G6","61940","73442","Head of Department","<5","Policy Profession","London"
"Department for Transport","Active Travel England","Active Travel England","25286542","G6","61940","73442","Head of Department","<5","Digital, Data and Technology Professions","Yorkshire and The Humber"
"Department for Transport","Active Travel England","Active Travel England","25280890","G6","61940","73442","Head of Department","<5","Government Communication Service","Yorkshire and The Humber"
"Department for Transport","Active Travel England","Active Travel England","25276458","G6","61940","73442","Head of Department","<5","Government Planning Profession","Yorkshire and The Humber"
"Department for Transport","Active Travel England","Active Travel England","25276459","G6","61940","73442","Inspector","<5","Other","Yorkshire and The Humber"
"Department for Transport","Active Travel England","Active Travel England","25276459","G6","61940","73442","Planner","<5","Government Planning Profession","Yorkshire and The Humber"
"Department for Transport","Active Travel England","Active Travel England","25286542","G6","61940","73442","Senior Research Officer","<5","Government Operational Research Service","Yorkshire and The Humber"
"Department for Transport","Active Travel England","Active Travel England","25276459","G6","61940","73442","Senior Policy Advisor","<5","Policy Profession","Yorkshire and The Humber"
"Department for Transport","Active Travel England","Active Travel England","25286542","G7","50238","60431","Data Engineer","<5","Digital, Data and Technology Professions","Yorkshire and The Humber"
"Department for Transport","Active Travel England","Active Travel England","25276459","G7","50238","60431","Engagement Manager","<5","Policy Profession","East Midlands"
"Department for Transport","Active Travel England","Active Travel England","25276459","G7","50238","60431","Engagement Manager","<5","Policy Profession","West Midlands"
"Department for Transport","Active Travel England","Active Travel England","25276459","G7","50238","60431","Engagement Manager","<5","Policy Profession","East of England"
"Department for Transport","Active Travel England","Active Travel England","25276459","G7","50238","60431","Engagement Manager","<5","Policy Profession","London"
"Department for Transport","Active Travel England","Active Travel England","25276459","G7","50238","60431","Engagement Manager","<5","Policy Profession","North East"
"Department for Transport","Active Travel England","Active Travel England","25276459","G7","50238","60431","Engagement Manager","<5","Policy Profession","North West"
"Department for Transport","Active Travel England","Active Travel England","25280890","G7","50238","60431","Senior Communications Manager","<5","Government Communication Service","Yorkshire and The Humber"
"Department for Transport","Active Travel England","Active Travel England","25276459","G7","50238","60431","Engagement Manager","<5","Policy Profession","Yorkshire and The Humber"
"Department for Transport","Active Travel England","Active Travel England","25278939","G7","50238","60431","Head of Department","<5","Operational Delivery Profession","Yorkshire and The Humber"
"Department for Transport","Active Travel England","Active Travel England","25280890","G7","50238","60431","Project  Manager","<5","Project Delivery Profession","Yorkshire and The Humber"
