"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","10.68","Operational Delivery Profession","South East"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Logistics","<5","Operational Delivery Profession","South East"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","South East"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","5.49","Operational Delivery Profession","South East"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Logistics","<5","Operational Delivery Profession","Yorkshire and The Humber"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","Yorkshire and The Humber"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Security (Civil Service)","<5","Government Security Profession","London"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","London"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","London"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","London"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","Wales"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Security (Civil Service)","<5","Government Security Profession","North East"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","Wales"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","North East"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Logistics","<5","Operational Delivery Profession","Wales"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","North East"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","North East"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","5.15","Operational Delivery Profession","East of England"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Logistics","6","Operational Delivery Profession","East of England"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Human Resources","<5","Human Resources Profession","East of England"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Security (Civil Service)","<5","Government Security Profession","East of England"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Security (Civil Service)","<5","Government Security Profession","South East"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Security (Civil Service)","<5","Government Security Profession","Scotland"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Security (Civil Service)","<5","Government Security Profession","Scotland"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Human Resources","<5","Human Resources Profession","Scotland"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Communication","<5","Government Communication Service","East of England"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","18.61","Operational Delivery Profession","Scotland"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Logistics","<5","Operational Delivery Profession","Scotland"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","Scotland"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","Scotland"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","North West"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","Northern Ireland"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","Northern Ireland"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","Northern Ireland"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Human Resources","<5","Human Resources Profession","South East"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Training and Education","<5","Human Resources Profession","South East"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Knowledge and Information Management","<5","Government Knowledge and Information Management Profession","West Midlands"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Security (Civil Service)","<5","Government Security Profession","West Midlands"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Security (Civil Service)","<5","Government Security Profession","West Midlands"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Training and Education","<5","Human Resources Profession","West Midlands"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","North West"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Communication","<5","Government Communication Service","South East"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","South West"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","South West"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","West Midlands"
"Ministry of Defence","Ministry of Defence","Air","1017733","Administrative Assistant","21380","21380","Operational Delivery","<5","Operational Delivery Profession","East of England"
