"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OF5","87441","96122","Military","297.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OF4","72175","83573","Military","1098.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OF3","51425","61589","Military","3446.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OF2","40826","48550","Military","3958.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OF1","26504","35213","Military","1235.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OR9","48438","51699","Military","1159.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OR8","41822","48853","Military","3093.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OR7","38452","48853","Military","5081.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OR6","34160","42270","Military","7689.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OR4","30364","36086","Military","12247.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OR3","26036","30497","Military","12546.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","OR2","18859","30497","Military","20259.00","Military"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Director of Studies","72033","74914","Business Management","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","B1","61122","73858","Teaching","3.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Senior Lecturer RMAS","38660","45294","Teaching","21.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Senior Lecturer RMAS","38660","45294","Training Support","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Senior Lecturer (Special Responsibilities)","38741","48777","Teaching","11.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Senior Lecturer (Special Responsibilities)","38741","48777","Training Support","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Academic Professor of Music (6048)","57678","57678","Specialist Instruction","2.57","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Academic Professor of Music (6048)","57678","57678","Training Support","1.62","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Soulbury Tier 4","59744","66207","Teaching","1.00","Operational Delivery"
"Ministry of Defence","Ministry of Defence","Army Command","1971252","Soulbury Tier 4","59744","66207","Teaching Advice/Inspection","1.00","Operational Delivery"
