"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Arts and Libraries","POSN005803","A","47073","58207","Senior Policy Adviser","8.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Arts and Libraries","POSN005803","A(U)","53328","68310","Senior Policy Adviser","3.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Arts and Libraries","POSN005803","B","30955","44558","Policy Adviser","10.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Arts and Libraries","POSN005803","C","23826","27397","Policy Adviser","4.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Arts, Heritage and Tourism","POSN000054","C","23826","27397","Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Festival UK 2022, City of Culture and Major Events","POSN002145","A","47073","58207","Senior Policy Adviser","4.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Festival UK 2022, City of Culture and Major Events","POSN002145","A(U)","53328","68310","Senior Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Festival UK 2022, City of Culture and Major Events","POSN002145","B","30955","44558","Policy Adviser","4.81","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Festival UK 2022, City of Culture and Major Events","POSN002145","C","23826","27397","Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Financial Support for Reopening Live Events","POSN005743","A","47073","58207","Senior Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Government Art Collection","POSN000061","A","47073","58207","Commercial","1.00","Procurement"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Government Art Collection","POSN000061","A(U)","53328","68310","Commercial","1.00","Procurement"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Government Art Collection","POSN000061","B","30955","44558","Policy Adviser","9.91","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Government Art Collection","POSN000061","C","23826","27397","Policy Adviser","4.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Heritage and Cultural Analysis","POSN004288","A","47073","58207","Senior Policy Adviser","9.69","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Heritage and Cultural Analysis","POSN004288","A(U)","53328","68310","Senior Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Heritage and Cultural Analysis","POSN004288","B","30955","44558","Policy Adviser","9.09","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Heritage and Cultural Analysis","POSN004288","C","23826","27397","Policy Adviser","2.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Museums and Cultural Property","POSN000110","A","47073","58207","Senior Policy Adviser","6.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Museums and Cultural Property","POSN000110","B","30955","44558","Policy Adviser","9.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Museums and Cultural Property","POSN000110","C","23826","27397","Policy Adviser","4.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Museums and Cultural Property","POSN000110","D","21216","23314","Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Tourism, International and Cultural Diplomacy","POSN004289","A","47073","58207","Senior Policy Adviser","8.60","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Tourism, International and Cultural Diplomacy","POSN004289","A(U)","53328","68310","Senior Policy Adviser","2.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Tourism, International and Cultural Diplomacy","POSN004289","B","30955","44558","Policy Adviser","11.90","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Tourism, International and Cultural Diplomacy","POSN004289","C","23826","27397","Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","BDUK Commercial","POSN004669","A","47073","58207","Commercial","24.71","Procurement"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","BDUK Commercial","POSN004669","A(U)","53328","68310","Commercial","5.00","Procurement"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","BDUK Commercial","POSN004669","B","30955","44558","Commercial","19.00","Procurement"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","BDUK Commercial","POSN004669","C","23826","27397","Commercial","1.00","Procurement"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Corporate Services","POSN004368","A","47073","58207","Business Support Manager","11.76","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Corporate Services","POSN004368","A(U)","53328","68310","Business Support Manager","4.21","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Corporate Services","POSN004368","B","30955","44558","Business Support","18.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Corporate Services","POSN004368","C","23826","27397","Business Support","8.40","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Corporate Services","POSN004368","D","21216","23314","Business Support","1.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital","POSN004117","A","47073","58207","Business Support Manager","1.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital","POSN004117","A(U)","53328","68310","Business Support Manager","1.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital","POSN004117","C","23826","27397","Business Support","2.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Risk and Compliance","POSN004119","A","47073","58207","Senior Project Manager","9.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Risk and Compliance","POSN004119","A(U)","53328","68310","Senior Project Manager","4.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Risk and Compliance","POSN004119","B","30955","44558","Project Manager","14.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Risk and Compliance","POSN004119","C","23826","27397","Project Manager","2.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Strategy","POSN004118","A","47073","58207","Senior Project Manager","13.61","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Strategy","POSN004118","A(U)","53328","68310","Senior Project Manager","4.80","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Strategy","POSN004118","B","30955","44558","Project Manager","18.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Strategy","POSN004118","C","23826","27397","Project Manager","2.60","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Transformation and Change","POSN004557","A","47073","58207","Senior Project Manager","1.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Transformation and Change","POSN004557","A(U)","53328","68310","Senior Project Manager","1.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Transformation and Change","POSN004557","B","30955","44558","Project Manager","1.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","UK Fibre Programme","POSN004749","A","47073","58207","Senior Project Manager","26.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","UK Fibre Programme","POSN004749","A(U)","53328","68310","Senior Project Manager","5.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","UK Fibre Programme","POSN004749","B","30955","44558","Project Manager","16.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","UK Fibre Programme","POSN004749","C","23826","27397","Project Manager","7.80","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","UK Mobile Programme","POSN006301","A","47073","58207","Senior Project Manager","3.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","UK Mobile Programme","POSN006301","A(U)","53328","68310","Senior Project Manager","1.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Central Analysis Team","POSN005111","A","47073","58207","Senior Analyst","14.70","Economics"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Central Analysis Team","POSN005111","A(U)","53328","68310","Senior Analyst","5.90","Economics"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Central Analysis Team","POSN005111","B","30955","44558","Analyst","20.50","Economics"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Central Analysis Team","POSN005111","C","23826","27397","Analyst","2.00","Economics"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Central Analysis Team","POSN005111","D","21216","23314","Analyst","0.31","Economics"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AI Monitoring","POSN004074","A","47073","58207","Senior Policy Adviser","3.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AI Monitoring","POSN004074","A(U)","53328","68310","Senior Policy Adviser","2.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AI Monitoring","POSN004074","B","30955","44558","Policy Adviser","3.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","External Affairs and Insight","POSN004072","A","47073","58207","Senior Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","External Affairs and Insight","POSN004072","A(U)","53328","68310","Senior Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","External Affairs and Insight","POSN004072","B","30955","44558","Policy Adviser","6.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Governance, Strategic Engagement and Private Office","POSN004072","A","47073","58207","Senior Policy Adviser","1.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Governance, Strategic Engagement and Private Office","POSN004072","C","23826","27397","Policy Adviser","2.00","Policy"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Projects","POSN004072","A","47073","58207","Senior Project Manager","4.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Projects","POSN004072","A(U)","53328","68310","Senior Project Manager","0.90","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Projects","POSN004072","B","30955","44558","Project Manager","3.00","Programme and Project Management (PPM)"
"Department for Culture, Media and Sport","Department for Digital, Culture, Media and Sport","CDEI Strategy and Operations","POSN004074","A","47073","58207","Business Support Manager","2.00","Programme and Project Management (PPM)"
