"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Education","Department for Education","Data Engineering","DFE-2392","Grade 6 - National","62540","69061","Manager - Data Engineering Grade 6-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Strategic Data Visualisation","DFE-2557","HEO - London","34031","37494","Higher Executive Officer - Strategic Data Visualisation HEO-London","1.81","Other","London"
"Department for Education","Department for Education","Technical Standards","DFE-2208","Grade 7 - London","55022","63601","Manager - Technical Standards Grade 7 (Position Vacate:11/07/2023)-Unknown","0.80","Other","Unknown"
"Department for Education","Department for Education","Independent Education and School Safeguarding","DFE-2004","HEO - National","30332","33371","Higher Executive Officer - Independent Education and School Safeguarding HEO-North East","8.89","Other","North East"
"Department for Education","Department for Education","Corporate Assurance and Academy Returns","DFE-2185","EO: EO (Experienced) - National","26936","26936","Executive Officer - Corporate Assurance and Academy Returns EO-North East","2.00","Other","North East"
"Department for Education","Department for Education","Data Operations","DFE-2366","EA - National","22015","22015","Executive Assistant - Data Operations EA-North East","3.47","Other","North East"
"Department for Education","Education and Skills Funding Agency","Operational Excellence","DFE-2292","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Operational Excellence SEO-North East","16.62","Other","North East"
"Department for Education","Department for Education","Independent Education and School Safeguarding","DFE-2004","Grade 7 - National","51357","59332","Manager - Independent Education and School Safeguarding Grade 7-North East","5.96","Other","North East"
"Department for Education","Department for Education","Data Operations","DFE-2366","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Data Operations SEO-North East","18.55","Other","North East"
"Department for Education","Department for Education","Regions Group: North East","DFE-2056","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Regions Group: North East SEO-North East","9.50","Other","North East"
"Department for Education","Education and Skills Funding Agency","Assurance","DFE-2192","Grade 6 - National","62540","69061","Manager - Assurance Grade 6-North East","1.00","Other","North East"
"Department for Education","Department for Education","Data Operations","DFE-2366","EO: EO (Experienced) - National","26936","26936","Executive Officer - Data Operations EO-North East","4.00","Other","North East"
"Department for Education","Department for Education","Regions Group: Yorkshire and the Humber","DFE-2375","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Regions Group: Yorkshire and the Humber SEO-North East","6.81","Other","North East"
"Department for Education","Education and Skills Funding Agency","Schools Financial Support & Oversight","DFE-2198","Grade 7 - National","51357","59332","Manager - Operational Delivery – North & UTC Grade 7 (On Leave)-North East","2.00","Other","North East"
"Department for Education","Department for Education","Regions Group: National","DFE-2021","SEO (Senior Prof & Technical Officer) - National","43249","47560","Senior Executive Officer - Regions Group: National SEO-North East","14.71","Other","North East"
"Department for Education","Department for Education","Regions Group: North East","DFE-2056","Grade 6 - National","62540","69061","Manager - Regions Group: North East Grade 6-North East","4.00","Other","North East"
"Department for Education","Department for Education","Legal & Transactions","DFE-2207","Grade 7 - National","51357","59332","Manager - Legal & Transactions Grade 7-North East","5.43","Other","North East"
"Department for Education","Education and Skills Funding Agency","Assurance","DFE-2192","HEO - National","30332","33371","Higher Executive Officer - Assurance HEO-North East","10.81","Other","North East"
"Department for Education","Department for Education","Teachers' Pension Scheme","DFE-2554","Grade 6 - National","62540","69061","Manager - Teachers' Pension Scheme Grade 6 PT-North East","0.60","Other","North East"
"Department for Education","Department for Education","Looked After Children Care System","DFE-2443","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Looked After Children Care System SEO-North East","4.63","Other","North East"
"Department for Education","Education and Skills Funding Agency","Operational Excellence","DFE-2292","Grade 6 - National","62540","69061","Manager - Operational Excellence Grade 6-North East","1.00","Other","North East"
"Department for Education","Department for Education","Attendance","DFE-2533","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Attendance SEO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Education and Skills Funding Agency","Specialist Restructuring","DFE-2173","EA - National","22015","22015","Executive Assistant - Specialist Restructuring EA-North East","0.70","Other","North East"
"Department for Education","Department for Education","Child Protection and Safeguarding inc DV, IICSA","DFE-2337","Senior Executive Officer - London","41435","45875","Senior Executive Officer - Child Protection and Safeguarding inc DV, IICSA SEO-London","2.64","Other","London"
"Department for Education","Department for Education","Independent Education and School Safeguarding","DFE-2004","EO: EO (Experienced) - National","26936","26936","Executive Officer - Independent Education and School Safeguarding EO-North East","12.21","Other","North East"
"Department for Education","Department for Education","Future Student Finance and Funding​","DFE-2391","Grade 6 - London","65783","73146","Manager - Future Student Finance and Funding​ Grade 6-London","3.70","Other","London"
"Department for Education","Department for Education","Technical Standards","DFE-2208","Grade 6 - National","62540","69061","Manager - Technical Standards Grade 6-Unknown","56.67","Other","Unknown"
"Department for Education","Department for Education","Regions Group: South East","DFE-2439","Grade 7 - London","55022","63601","Manager - Regions Group: South East Grade 7-London","11.60","Other","London"
"Department for Education","Department for Education","Regions Group: East of England","DFE-2563","Grade 7 - London","55022","63601","Manager - Regions Group: East of England Grade 7-London","5.80","Other","London"
"Department for Education","Department for Education","Condition Funding & Response","DFE-2344","Grade 6 - London","65783","73146","Manager - Condition Funding & Response Grade 6-London","1.00","Other","London"
"Department for Education","Department for Education","Adoption, Family Justice and Care Leavers","DFE-2458","Grade 7 - London","55022","63601","Manager - Adoption, Family Justice and Care Leavers Grade 7-London","6.60","Other","London"
"Department for Education","Department for Education","Teaching Workforce Teaching Analysis","DFE-2183","HEO - London","34031","37494","Higher Executive Officer - Teaching Workforce Teaching Analysis HEO-London","3.00","Other","London"
"Department for Education","Education and Skills Funding Agency","National Operations","DFE-2149","EO: EO (Experienced) - London","30562","30562","Executive Officer - National Operations EO-London","1.00","Other","London"
"Department for Education","Department for Education","Schools System Accountability","DFE-2224","Grade 6 - London","65783","73146","Manager - Schools System Accountability Grade 6-London","4.00","Other","London"
"Department for Education","Department for Education","Regions Group: Yorkshire and the Humber","DFE-2375","Grade 7 - National","51357","59332","Manager - Regions Group: Yorkshire and the Humber Grade 7-North East","4.90","Other","North East"
"Department for Education","Department for Education","Qualifications Strategy and Systems","DFE-2341","Grade 7 - London","55022","63601","Manager - Qualifications Strategy and Systems Grade 7-London","6.00","Other","London"
"Department for Education","Department for Education","Teaching Workforce Teaching Analysis","DFE-2183","Grade 7 - London","55022","63601","Manager - Teaching Workforce Teaching Analysis Grade 7-London","5.58","Other","London"
"Department for Education","Department for Education","Sustainability and Climate Change Unit","DFE-2351","Grade 6 - London","65783","73146","Manager - Sustainability and Climate Change Unit Grade 6-London","2.00","Other","London"
"Department for Education","Department for Education","Schools Regulation and Quality","DFE-2212","Grade 6 - London","65783","73146","Manager - Schools Regulation and Quality Grade 6-London","3.00","Other","London"
"Department for Education","Department for Education","Digital Strategy","DFE-2327","Grade 7 - London","55022","63601","Manager - Digital Strategy Grade 7-London","4.00","Other","London"
"Department for Education","Department for Education","Strategic Operations Analysis","DFE-2280","Grade 6 - London","65783","73146","Manager - Strategic Operations Analysis Grade 6-London","1.00","Other","London"
"Department for Education","Department for Education","Technical Standards","DFE-2208","Grade 7 - London","55022","63601","Manager - Technical Standards Grade 7-Unknown","28.97","Other","Unknown"
"Department for Education","Department for Education","Attendance","DFE-2533","Grade 6 - London","65783","73146","Manager - Attendance Grade 6-London","2.28","Other","London"
"Department for Education","Department for Education","Corporate Assurance and Academy Returns","DFE-2185","HEO (Accountant) - London","41714","45899","Higher Executive Officer - Corporate Assurance and Academy Returns HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Regions Group: National","DFE-2279","HEO - London","34031","37494","Higher Executive Officer - Regions Group: National HEO-London","11.00","Other","London"
"Department for Education","Department for Education","Admissions, School Organisation, Transport and FRU","DFE-2296","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Admissions, School Organisation, Transport and FRU SEO-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: London","DFE-2204","Grade 6 - London","65783","73146","Manager - Regions Group: London Grade 6-London","3.81","Other","London"
"Department for Education","Department for Education","Counter Extremism and Non-School Education","DFE-2398","EO: EO (Experienced) - London","30562","30562","Executive Officer - Counter Extremism and Non-School Education EO-London","0.86","Other","London"
"Department for Education","Department for Education","Admissions, School Organisation, Transport and FRU","DFE-2296","Grade 7 - National","51357","59332","Manager - Admissions, School Organisation, Transport and FRU Grade 7-North East","7.64","Other","North East"
"Department for Education","Department for Education","Regions Group: North East","DFE-2056","HEO - National","30332","33371","Higher Executive Officer - Regions Group: North East HEO-North East","6.81","Other","North East"
"Department for Education","Department for Education","Regions Group: National","DFE-2279","Grade 7 - National","51357","59332","Manager - Regions Group: National Grade 7-Yorkshire and The Humber","9.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Ministerial and Public Communications Division","DFE-2249","SEO (Information Officer) - National","43249","47560","Senior Executive Officer - Ministerial and Public Communications Division SEO-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","End User Compute Services","DFE-2461","Senior Executive Officer - National","37593","41506","Senior Executive Officer - End User Compute Services SEO-Yorkshire and The Humber","8.75","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Infrastructure & Platforms","DFE-2281","Senior Executive Officer - National","37593","41506","Senior Executive Officer - Infrastructure & Platforms SEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: London","DFE-2204","HEO - London","34031","37494","Higher Executive Officer - Regions Group: London HEO-East Midlands","2.00","Other","East Midlands"
"Department for Education","Department for Education","Funding Policy Unit","DFE-2009","Grade 7 - London","55022","63601","Manager - Funding Policy Unit Grade 7-London","8.31","Other","London"
"Department for Education","Department for Education","Outcomes of Children with a Social Worker","DFE-2347","Senior Executive Officer - London","41435","45875","Senior Executive Officer - Outcomes of Children with a Social Worker SEO-London","8.32","Other","London"
"Department for Education","Department for Education","Sustainability and Climate Change Unit","DFE-2351","Grade 7 - National","51357","59332","Manager - Sustainability and Climate Change Unit Grade 7-North East","1.00","Other","North East"
"Department for Education","Department for Education","HEALD/Curriculum Policy/Strategy","DFE-2418","Grade 7 - London","55022","63601","Manager - HEALD/Curriculum Policy/Strategy Grade 7-London","4.24","Other","London"
"Department for Education","Department for Education","Becoming a Teacher","DFE-2539","Senior Executive Officer - London","41435","45875","Senior Executive Officer - Becoming a Teacher SEO-London","6.00","Other","London"
"Department for Education","Department for Education","Free Schools, FE and Skills","DFE-2003","Grade 6 - National","62540","69061","Manager - Free Schools, FE and Skills Grade 6 (Position Vacate:31/10/2023)-Unknown","0.50","Other","Unknown"
"Department for Education","Department for Education","Technology Services","DFE-2529","Senior Executive Officer - London","41435","45875","Senior Executive Officer - Legal Advisor's Office SEO-London","4.00","Other","London"
"Department for Education","Department for Education","Regions Group: East of England","DFE-2563","Grade 6 - London","65783","73146","Manager - Regions Group: East of England Grade 6-London","3.00","Other","London"
"Department for Education","Department for Education","Early Years Markets and Strategy","DFE-2225","Grade 7 - National","51357","59332","Manager - Early Years Sufficiency and Entitlements Grade 7-Yorkshire and The Humber","6.00","Other","Yorkshire and The Humber"
