"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Transport","Department for Transport","AMIS","21101987","AA","18312","22277","Administrative Assistant","1.00","Operational Delivery Profession","East Midlands"
"Department for Transport","Department for Transport","AMIS","21101987","AO","21841","25733","Admin Support Officer","9.44","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","AMIS","21101987","AO","21841","25733","Admin Support Officer","4.59","Operational Delivery Profession","South East"
"Department for Transport","Department for Transport","AMIS","21101987","AO","21841","25733","Analyst","2.00","Digital, Data and Technology Professions","London"
"Department for Transport","Department for Transport","AMIS","21101987","AO","21841","25733","Analyst","1.00","Digital, Data and Technology Professions","South East"
"Department for Transport","Department for Transport","AMIS","21101987","AO","21841","25733","Communications Support Officer","2.00","Government Communication Service","South East"
"Department for Transport","Department for Transport","AMIS","21101987","AO","21841","25733","Finance Support Officer","1.00","Government Finance Profession","East Midlands"
"Department for Transport","Department for Transport","AMIS","21101987","AO","21841","25733","Operations Support Officer","1.00","Operational Delivery Profession","East Midlands"
"Department for Transport","Department for Transport","AMIS","21101987","AO","21841","25733","Operations Support Officer","2.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","AMIS","21101987","AO","21841","25733","Operations Support Officer","5.25","Operational Delivery Profession","South East"
"Department for Transport","Department for Transport","AMIS","21101987","AO","21841","25733","Policy Support Officer","3.00","Policy Profession","London"
"Department for Transport","Department for Transport","CDG","21102308","AO","21841","25733","Admin Support Officer","1.00","Operational Delivery Profession","South East"
"Department for Transport","Department for Transport","CDG","21102308","AO","21841","25733","Communications Support Officer","2.00","Government Communication Service","London"
"Department for Transport","Department for Transport","HSR","25187642","AO","21841","25733","Admin Support Officer","2.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","RPE","21101762","AO","21841","25733","Admin Support Officer","5.54","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","RPE","21101762","AO","21841","25733","Admin Support Officer","3.78","Operational Delivery Profession","North East"
"Department for Transport","Department for Transport","RPE","21101762","AO","21841","25733","Admin Support Officer","7.39","Operational Delivery Profession","South East"
"Department for Transport","Department for Transport","RPE","21101762","AO","21841","25733","Admin Support Officer","1.00","Operational Delivery Profession","Wales"
"Department for Transport","Department for Transport","RPE","21101762","AO","21841","25733","Analyst","1.00","Digital, Data and Technology Professions","South East"
"Department for Transport","Department for Transport","RPE","21101762","AO","21841","25733","Assistant Economist","1.00","Government Economic Service","London"
"Department for Transport","Department for Transport","RPE","21101762","AO","21841","25733","Operations Support Officer","64.34","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","RPE","21101762","AO","21841","25733","Policy Support Officer","0.66","Policy Profession","London"
"Department for Transport","Department for Transport","RPE","21101762","AO","21841","25733","Project Support Officer","1.00","Project Delivery Profession","South East"
"Department for Transport","Department for Transport","RSSG","25207532","AO","21841","25733","Admin Support Officer","1.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","RSSG","25207532","AO","21841","25733","Commercial Support Officer","1.00","Procurement Profession","London"
"Department for Transport","Department for Transport","RSSG","25207532","AO","21841","25733","Finance Support Officer","3.00","Government Finance Profession","London"
"Department for Transport","Department for Transport","RSSG","25207532","AO","21841","25733","Policy Support Officer","1.00","Policy Profession","London"
"Department for Transport","Department for Transport","RSSG","25207532","AO","21841","25733","Project Support Officer","1.00","Project Delivery Profession","London"
"Department for Transport","Department for Transport","RSSG","25207532","AO","21841","25733","Statistical Support Officer","1.00","Government Statistical Service Profession","London"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Admin Support Officer","1.00","Operational Delivery Profession","East Midlands"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Admin Support Officer","18.65","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Admin Support Officer","2.41","Operational Delivery Profession","South East"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Admin Support Officer","2.00","Operational Delivery Profession","West Midlands"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Analyst","8.00","Digital, Data and Technology Professions","London"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Analyst","1.00","Digital, Data and Technology Professions","South East"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Analyst","1.00","Digital, Data and Technology Professions","West Midlands"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Assistant Economist","2.00","Government Economic Service","London"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Communications Support Officer","1.91","Government Communication Service","London"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Communications Support Officer","2.20","Government Communication Service","South East"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Diary Manager","9.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Executive Assistant","1.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Finance Support Officer","1.00","Government Finance Profession","East Midlands"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Finance Support Officer","1.00","Government Finance Profession","South East"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","IT Support Officer","1.00","Government IT Profession","London"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","IT Support Officer","2.00","Government IT Profession","South East"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Knowledge Information Management Support Officer","1.00","Government Knowledge and Information Management Profession","South East"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Operations Support Officer","2.00","Operational Delivery Profession","East Midlands"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Operations Support Officer","4.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Operations Support Officer","6.00","Operational Delivery Profession","South East"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Policy Support Officer","22.00","Policy Profession","London"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Policy Support Officer","1.00","Policy Profession","West Midlands"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Project Support Officer","2.67","Project Delivery Profession","London"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Project Support Officer","1.00","Project Delivery Profession","Yorkshire and The Humber"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Property Support Officer","1.00","Government Property Profession","South East"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Security Support Officer","5.00","Government Security Profession","London"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Security Support Officer","1.00","Government Security Profession","West Midlands"
"Department for Transport","Department for Transport","AMIS","21101987","EO","26126","30714","Technical Support Officer","2.00","Government Science and Engineering Profession","South East"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Admin Support Officer","11.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Admin Support Officer","2.08","Operational Delivery Profession","South East"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Admin Support Officer","1.00","Operational Delivery Profession","West Midlands"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Admin Support Officer","1.00","Operational Delivery Profession","Yorkshire and The Humber"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Analyst","12.00","Digital, Data and Technology Professions","London"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Analyst","2.68","Digital, Data and Technology Professions","South East"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Analyst","1.00","Digital, Data and Technology Professions","Yorkshire and The Humber"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Diary Manager","3.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Executive Assistant","1.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Executive Assistant","1.00","Operational Delivery Profession","Yorkshire and The Humber"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Finance Support Officer","4.00","Government Finance Profession","London"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Finance Support Officer","4.49","Government Finance Profession","South East"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Finance Support Officer","3.00","Government Finance Profession","Yorkshire and The Humber"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","HR Support Officer","5.00","Human Resources Profession","London"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","HR Support Officer","0.50","Human Resources Profession","South East"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","HR Support Officer","4.00","Human Resources Profession","Wales"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","IT Support Officer","1.00","Government IT Profession","London"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Knowledge Information Management Support Officer","1.28","Government Knowledge and Information Management Profession","South East"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Operations Support Officer","3.21","Operational Delivery Profession","South East"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Policy Support Officer","3.00","Policy Profession","London"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Policy Support Officer","1.00","Policy Profession","Yorkshire and The Humber"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Project Support Officer","3.00","Project Delivery Profession","London"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Project Support Officer","1.00","Project Delivery Profession","South East"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Project Support Officer","1.00","Project Delivery Profession","Wales"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Project Support Officer","1.00","Project Delivery Profession","West Midlands"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Property Support Officer","2.00","Government Property Profession","London"
"Department for Transport","Department for Transport","CDG","21102308","EO","26126","30714","Property Support Officer","0.41","Government Property Profession","South East"
"Department for Transport","Department for Transport","HSR","25187642","EO","26126","30714","Admin Support Officer","3.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","HSR","25187642","EO","26126","30714","Assistant Economist","2.00","Government Economic Service","London"
"Department for Transport","Department for Transport","HSR","25187642","EO","26126","30714","Communications Support Officer","1.00","Government Communication Service","London"
"Department for Transport","Department for Transport","HSR","25187642","EO","26126","30714","Diary Manager","1.00","Operational Delivery Profession","Yorkshire and The Humber"
"Department for Transport","Department for Transport","HSR","25187642","EO","26126","30714","Executive Assistant","1.00","Operational Delivery Profession","West Midlands"
"Department for Transport","Department for Transport","HSR","25187642","EO","26126","30714","Policy Support Officer","1.00","Policy Profession","London"
"Department for Transport","Department for Transport","HSR","25187642","EO","26126","30714","Private Secretary","1.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","HSR","25187642","EO","26126","30714","Project Support Officer","1.00","Project Delivery Profession","London"
"Department for Transport","Department for Transport","RIG","25272525","EO","26126","30714","Admin Support Officer","5.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","RIG","25272525","EO","26126","30714","Admin Support Officer","1.00","Operational Delivery Profession","West Midlands"
"Department for Transport","Department for Transport","RIG","25272525","EO","26126","30714","Diary Manager","1.89","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","RIG","25272525","EO","26126","30714","HR Support Officer","1.00","Human Resources Profession","London"
"Department for Transport","Department for Transport","RIG","25272525","EO","26126","30714","Policy Support Officer","3.00","Policy Profession","London"
"Department for Transport","Department for Transport","RIG","25272525","EO","26126","30714","Project Support Officer","5.00","Project Delivery Profession","London"
"Department for Transport","Department for Transport","RIG","25272525","EO","26126","30714","Project Support Officer","1.00","Project Delivery Profession","West Midlands"
"Department for Transport","Department for Transport","RIG","25272525","EO","26126","30714","Project Support Officer","2.00","Project Delivery Profession","Yorkshire and The Humber"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Admin Support Officer","15.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Admin Support Officer","5.31","Operational Delivery Profession","North East"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Admin Support Officer","4.00","Operational Delivery Profession","South East"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Admin Support Officer","2.00","Operational Delivery Profession","West Midlands"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Admin Support Officer","1.00","Operational Delivery Profession","Yorkshire and The Humber"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Analyst","3.89","Digital, Data and Technology Professions","London"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Assistant Economist","2.00","Government Economic Service","London"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Business Manager","1.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Diary Manager","2.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Finance Support Officer","2.00","Government Finance Profession","London"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","HR Support Officer","1.00","Human Resources Profession","London"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Operations Support Officer","7.47","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Operations Support Officer","0.72","Operational Delivery Profession","North East"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Operations Support Officer","1.56","Operational Delivery Profession","South East"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Policy Support Officer","23.41","Policy Profession","London"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Policy Support Officer","1.00","Policy Profession","South East"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Policy Support Officer","4.00","Policy Profession","West Midlands"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Policy Support Officer","2.00","Policy Profession","Yorkshire and The Humber"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Project Support Officer","1.00","Project Delivery Profession","South East"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Project Support Officer","1.00","Project Delivery Profession","West Midlands"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Project Support Officer","1.00","Project Delivery Profession","Yorkshire and The Humber"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Statistical Support Officer","9.51","Government Statistical Service Profession","London"
"Department for Transport","Department for Transport","RPE","21101762","EO","26126","30714","Statistical Support Officer","1.00","Government Statistical Service Profession","West Midlands"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","Admin Support Officer","18.89","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","Admin Support Officer","3.00","Operational Delivery Profession","West Midlands"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","Assistant Economist","4.00","Government Economic Service","London"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","Commercial Support Officer","2.00","Procurement Profession","London"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","Commercial Support Officer","1.00","Procurement Profession","West Midlands"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","Commercial Support Officer","3.00","Procurement Profession","Yorkshire and The Humber"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","Communications Support Officer","1.00","Government Communication Service","London"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","Executive Assistant","1.00","Operational Delivery Profession","London"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","Finance Support Officer","1.00","Government Finance Profession","London"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","HR Support Officer","1.00","Human Resources Profession","London"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","HR Support Officer","1.00","Human Resources Profession","West Midlands"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","Legal Support Officer","1.00","Government Legal Profession","London"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","Policy Support Officer","11.00","Policy Profession","London"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","Project Support Officer","3.00","Project Delivery Profession","London"
"Department for Transport","Department for Transport","RSSG","25207532","EO","26126","30714","Project Support Officer","1.00","Project Delivery Profession","West Midlands"
