"Post Unique Reference","Name","Grade (or equivalent)","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Office Region","Notes","Valid?"
"35397431","N/D","ESM 1","Regional Director East of England","Regional Director East of England","Department of Health & Social Care","Health Education England","984 EOE - Regional & Clinical Leadership Team L3","01293 227090","N/D","35398457","0","1.00","90000","94999","","Senior Manager","984 East of England","","1"
"30833958","N/D","ESM 1","Regional Director - Y, H & NE","Regional Director - Y, H & NE","Department of Health & Social Care","Health Education England","984 NEY - Regional Business Management & Senior Management Team L3","01293 227090","N/D","35398457","0","1.00","90000","94999","","Manager","984 North East and Yorkshire","","1"
"35478946","N/D","ESM 1","Regional Director - North West","Regional Director - North West","Department of Health & Social Care","Health Education England","984 NW - Professional Leads & Senior Management Team L3","01293 227090","N/D","35398457","0","1.00","90000","94999","","Manager","984 North West","","1"
"10000000","N/D","ESM 3","Chief Executive","Chief Executive","Department of Health & Social Care","Health Education England","984 Nat - Corporate Accountability and Engagement L3","01293 227090","N/D","XX","0","1.00","160000","164999","","Chief Executive","984 National","","1"
"35398457","N/D","ESM 2","Chief Operating Officer","Chief Operating Officer","Department of Health & Social Care","Health Education England","984 Nat - Chief Operating Office L3","01293 227090","N/D","10000000","0","1.00","130000","134999","","Senior Manager","984 National","","1"
"30832625","N/D","ESM 1","Interim Regional Director - Midlands","Interim Regional Director - Midlands","Department of Health & Social Care","Health Education England","984 MID - Regional Corporate Team L3","01293 227090","N/D","35398457","0","1.00","90000","94999","","Senior Manager","984 Midlands","","1"
"24665874","N/D","ESM 2","Director of Strategy","Director of Strategy","Department of Health & Social Care","Health Education England","984 Nat - Workforce Planning and Intelligence L3","01293 227090","N/D","10000000","0","1.00","130000","134999","","Board Level Director","984 National","","1"
"40012556","N/D","ESM 1","Director of People and Culture","Director of People and Culture","Department of Health & Social Care","Health Education England","984 Nat - People & Culture L3","01293 227090","N/D","10000000","0","1.00","90000","94999","","Senior Manager","984 National","","1"
"38745594","N/D","ESM 1","Director of Innovation, Digital and Transformation","Director of Innovation, Digital and Transformation","Department of Health & Social Care","Health Education England","984 Nat - Innovation Transformation and Digital L3","01293 227090","N/D","10000000","0","1.00","90000","94999","","Senior Manager","984 National","","1"
"35396846","N/D","ESM 1","Regional Director South East","Regional Director South East","Department of Health & Social Care","Health Education England","984 SE - Corporate & Business Team L3","01293 227090","N/D","35398457","0","1.00","90000","94999","","Manager","984 South East","","1"
"13130794","N/D","ESM 2","Director of Finance","Director of Finance","Department of Health & Social Care","Health Education England","984 Nat - Finance L3","01293 227090","N/D","10000000","0","1.00","130000","134999","","Board Level Director","984 National","","1"
"35398634","N/D","ESM 2","HEE Chief Nurse Officer","HEE Chief Nurse Officer","Department of Health & Social Care","Health Education England","984 Nat - Nursing and Midwifery Development and Delivery L3","01293 227090","N/D","10000000","0","1.00","130000","134999","","Senior Manager","984 National","","1"
"35559205","N/D","ESM 1","Regional Director - South West","Regional Director - South West","Department of Health & Social Care","Health Education England","984 SW - Corporate & Business Team L3","01293 227090","N/D","35398457","0","1.00","90000","94999","","Manager","984 South West","","1"
"31075049","N/D","ESM 1","Regional Director - London","Regional Director - London","Department of Health & Social Care","Health Education England","984 London - Regional Leadership Team L3","01293 227090","N/D","35398457","0","1.00","90000","94999","","Senior Manager","984 London","","1"
"24665882","N/D","ESM 2","Director of Workforce Planning & Intelligence","Director of Workforce Planning & Intelligence","Department of Health & Social Care","Health Education England","984 Nat - Workforce Planning and Intelligence L3","01293 227090","N/D","10000000","0","1.00","130000","134999","","Board Level Director","984 National","","1"
"20228462","N/D","ESM 1","Director of Corporate Accountability and Engagement","Director of Corporate Accountability and Engagement","Department of Health & Social Care","Health Education England","984 Nat - Corporate Accountability and Engagement L3","01293 227090","N/D","10000000","0","1.00","90000","94999","","Board Level Director","984 National","","1"
"40067774","N/D","M&D","Director of Education & Quality & Executive Medical Director","Director of Education & Quality & Executive Medical Director","Department of Health & Social Care","Health Education England","984 Nat - Directorate of Education and Quality L3","01293 227090","N/D","10000000","0","1.00","95000","99999","","Medical Director","984 National","","1"
"35478424","N/D","Band 9","Director of Strategic Relationships","Director of Strategic Relationships","Department of Health & Social Care","Health Education England","984 Nat - Corporate Accountability and Engagement L3","01293 227090","N/D","10000000","0","1.00","95000","99999","","Senior Manager","984 National","","1"
