"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Transport","DVLA","Commercial","203","Grade 6","61940","68959","Senior Procurement Officer","<5","Procurement Profession","Wales"
"Department for Transport","DVLA","Commercial","203","Grade 7","50238","55997","Senior Procurement Officer","13","Procurement Profession","Wales"
"Department for Transport","DVLA","Commercial","203","SEO","39428","43159","Senior HR Manager","<5","Human Resources Profession","Wales"
"Department for Transport","DVLA","Commercial","203","SEO","39428","43159","Senior Procurement Officer","27.53","Procurement Profession","Wales"
"Department for Transport","DVLA","Commercial","203","HEO","31349","33846","Communications Manager","<5","Government Communication Service","Wales"
"Department for Transport","DVLA","Commercial","203","HEO","31349","33846","Finance Officer","<5","Government Finance Profession","Wales"
"Department for Transport","DVLA","Commercial","203","HEO","31349","33846","HR Officer","<5","Human Resources Profession","Wales"
"Department for Transport","DVLA","Commercial","203","HEO","31349","33846","Procurement Officer","37.02","Procurement Profession","Wales"
"Department for Transport","DVLA","Commercial","203","EO","26780","27448","HR Officer","<5","Human Resources Profession","Wales"
"Department for Transport","DVLA","Commercial","203","EO","26780","27448","Procurement Officer","30.91","Procurement Profession","Wales"
"Department for Transport","DVLA","Commercial","203","EO","26780","27448","Procurement Officer","<5","Digital, Data and Technology Professions","Wales"
"Department for Transport","DVLA","Commercial","203","AO","22497","22497","HR Support Officer","<5","Human Resources Profession","Wales"
"Department for Transport","DVLA","Commercial","203","AO","22497","22497","Procurement Support Officer","26.7","Procurement Profession","Wales"
"Department for Transport","DVLA","Commercial","203","AA","19000","19000","Procurement Support Officer","9.8","Procurement Profession","Wales"
"Department for Transport","DVLA","Estates","204","Grade 7","50238","55997","Senior Estates Manager","<5","Government Security Profession","Wales"
"Department for Transport","DVLA","Estates","204","Grade 7","50238","55997","Senior Estates Manager","<5","Government Property Profession","Wales"
"Department for Transport","DVLA","Estates","204","SEO","39428","43159","Senior Estates Manager","<5","Government Security Profession","Wales"
"Department for Transport","DVLA","Estates","204","SEO","39428","43159","Senior Estates Manager","8.6","Government Property Profession","Wales"
"Department for Transport","DVLA","Estates","204","HEO","31349","33846","Estates Officer","<5","Government Security Profession","Wales"
"Department for Transport","DVLA","Estates","204","HEO","31349","33846","Estates Officer","21.52","Government Property Profession","Wales"
"Department for Transport","DVLA","Estates","204","HEO","31349","33846","Finance Officer","<5","Government Finance Profession","Wales"
"Department for Transport","DVLA","Estates","204","EO","26780","27448","Estates Officer","<5","Government Security Profession","Wales"
"Department for Transport","DVLA","Estates","204","EO","26780","27448","Estates Officer","9.45","Government Property Profession","Wales"
"Department for Transport","DVLA","Estates","204","EO","26780","27448","Finance Officer","<5","Government Finance Profession","Wales"
"Department for Transport","DVLA","Estates","204","AO","22497","22497","Estates Support Officer","9.8","Government Security Profession","Wales"
"Department for Transport","DVLA","Estates","204","AO","22497","22497","Estates Support Officer","12.61","Government Property Profession","Wales"
"Department for Transport","DVLA","Estates","204","AO","22497","22497","Finance Officer","<5","Government Finance Profession","Wales"
"Department for Transport","DVLA","Estates","204","AO","22497","22497","HR Support Officer","<5","Human Resources Profession","Wales"
"Department for Transport","DVLA","Estates","204","AA","19000","19000","Estates Support Officer","49.5","Government Security Profession","Wales"
"Department for Transport","DVLA","Finance","195","Grade 6","61940","68959","Senior Finance Manager","<5","Government Finance Profession","Wales"
"Department for Transport","DVLA","Finance","195","Grade 7","50238","55997","Senior Finance Manager","12","Government Finance Profession","Wales"
"Department for Transport","DVLA","Finance","195","SEO","39428","43159","Senior HR Manager","<5","Human Resources Profession","Wales"
"Department for Transport","DVLA","Finance","195","SEO","39428","43159","Senior Finance Manager","34.27","Government Finance Profession","Wales"
"Department for Transport","DVLA","Finance","195","SEO","39428","43159","Senior Finance Manager","<5","Project Delivery Profession","Wales"
"Department for Transport","DVLA","Finance","195","HEO","31349","33846","Communications Manager","<5","Government Communication Service","Wales"
"Department for Transport","DVLA","Finance","195","HEO","31349","33846","Finance Officer","23.12","Government Finance Profession","Wales"
"Department for Transport","DVLA","Finance","195","HEO","31349","33846","Finance Officer","<5","Project Delivery Profession","Wales"
"Department for Transport","DVLA","Finance","195","HEO","31349","33846","HR Officer","<5","Human Resources Profession","Wales"
"Department for Transport","DVLA","Finance","195","EO","26780","27448","Business Support Manager","<5","Human Resources Profession","Wales"
"Department for Transport","DVLA","Finance","195","EO","26780","27448","Finance Officer","21.92","Government Finance Profession","Wales"
"Department for Transport","DVLA","Finance","195","EO","26780","27448","HR Officer","<5","Human Resources Profession","Wales"
"Department for Transport","DVLA","Finance","195","AO","22497","22497","Communications Support Officer","<5","Government Communication Service","Wales"
"Department for Transport","DVLA","Finance","195","AO","22497","22497","Finance Support Officer","14.95","Government Finance Profession","Wales"
"Department for Transport","DVLA","Finance","195","AO","22497","22497","HR Support Officer","<5","Human Resources Profession","Wales"
"Department for Transport","DVLA","Finance","195","AA","19000","19000","Finance Support Officer","8.65","Government Finance Profession","Wales"
"Department for Transport","DVLA","Human Resources","192","Grade 6","61940","68959","Senior HR Manager","<5","Human Resources Profession","Wales"
"Department for Transport","DVLA","Human Resources","192","Grade 7","50238","55997","Senior HR Manager","7.41","Human Resources Profession","Wales"
"Department for Transport","DVLA","Human Resources","192","SEO","39428","43159","Senior HR Manager","24.86","Human Resources Profession","Wales"
"Department for Transport","DVLA","Human Resources","192","SEO","39428","43159","Senior Project Manager","<5","Project Delivery Profession","Wales"
"Department for Transport","DVLA","Human Resources","192","HEO","31349","33846","Communications Manager","<5","Government Communication Service","Wales"
"Department for Transport","DVLA","Human Resources","192","HEO","31349","33846","HR Officer","42.76","Human Resources Profession","Wales"
"Department for Transport","DVLA","Human Resources","192","HEO","31349","33846","Project Manager","<5","Project Delivery Profession","Wales"
"Department for Transport","DVLA","Human Resources","192","EO","26780","27448","HR Officer","21.14","Human Resources Profession","Wales"
"Department for Transport","DVLA","Human Resources","192","AO","22497","22497","Communications Support Officer","<5","Government Communication Service","Wales"
"Department for Transport","DVLA","Human Resources","192","AO","22497","22497","HR Support Officer","<5","Human Resources Profession","South West"
"Department for Transport","DVLA","Human Resources","192","AO","22497","22497","HR Support Officer","7.19","Human Resources Profession","Wales"
"Department for Transport","DVLA","Human Resources","192","AA","19000","19000","Communications Support Officer","<5","Government Communication Service","Wales"
"Department for Transport","DVLA","Human Resources","192","AA","19000","19000","HR Support Officer","<5","Human Resources Profession","Wales"
"Department for Transport","DVLA","Information Systems","197","Grade 6","61940","68959","Senior HR Manager","<5","Human Resources Profession","Wales"
"Department for Transport","DVLA","Information Systems","197","Grade 6","61940","68959","Senior IT Manager","<5","Government Security Profession","Wales"
"Department for Transport","DVLA","Information Systems","197","Grade 6","61940","68959","Senior IT Manager","24","Digital, Data and Technology Professions","Wales"
"Department for Transport","DVLA","Information Systems","197","Grade 6","61940","68959","Senior Project Manager","<5","Project Delivery Profession","Wales"
